λ,σ
191,3.88e-21
192,3.38e-21
193,2.82e-21
194,2.44e-21
195,2.01e-21
196,1.66e-21
197,1.4e-21
198,1.14e-21
199,9.33e-22
200,7.79e-22
201,6.3e-22
202,5.07e-22
203,4.22e-22
204,3.39e-22
205,2.69e-22
206,2.16e-22
207,1.72e-22
208,1.41e-22
209,1.11e-22
210,8.8e-23
211,6.96e-23
212,5.54e-23
213,4.35e-23
214,3.54e-23
215,2.84e-23
216,2.3e-23
217,1.9e-23
218,1.48e-23
219,1.27e-23
220,1.11e-23
221,8.37e-24
222,7.46e-24
223,6.2e-24
224,5.25e-24
225,4.81e-24
226,4.55e-24
227,4.41e-24
228,3.64e-24
229,3.59e-24
230,3.48e-24
