λ,σ
55.029349,8.1314e-17
55.059448,8.15146e-17
55.089449,8.11067e-17
55.119348,8.05405e-17
55.149448,8.19459e-17
55.179449,8.2606e-17
55.209347,8.2034e-17
55.239447,8.24471e-17
55.269447,8.2441e-17
55.299346,8.25196e-17
55.329446,8.26803e-17
55.359445,8.23008e-17
55.389346,8.20194e-17
55.419345,8.24178e-17
55.449444,8.33525e-17
55.479345,8.30777e-17
55.509343,8.28003e-17
55.539443,8.33541e-17
55.569344,8.39902e-17
55.599345,8.39159e-17
55.629442,8.28504e-17
55.659343,8.4164e-17
55.689343,8.36501e-17
55.719443,8.41404e-17
55.749441,8.26619e-17
55.779343,8.51549e-17
55.809442,8.3895e-17
55.839441,8.45659e-17
55.869341,8.51227e-17
55.89944,8.44249e-17
55.92944,8.38152e-17
55.95934,8.46094e-17
55.98944,8.42454e-17
56.01944,8.52848e-17
56.049339,8.49322e-17
56.079439,8.54607e-17
56.109439,8.41641e-17
56.139337,8.47141e-17
56.169338,8.44729e-17
56.199437,8.49275e-17
56.229337,8.47337e-17
56.259337,8.53848e-17
56.289436,8.43738e-17
56.319336,8.55555e-17
56.349335,8.51099e-17
56.379435,8.61641e-17
56.409334,8.58236e-17
56.439334,8.52778e-17
56.469436,8.62793e-17
56.499435,8.52074e-17
56.529335,8.65779e-17
56.559435,8.61527e-17
56.589434,8.56565e-17
56.619334,8.61582e-17
56.649434,8.62333e-17
56.679433,8.68029e-17
56.709332,8.57548e-17
56.739431,8.63509e-17
56.769433,8.68338e-17
56.79933,8.57252e-17
56.829431,8.61218e-17
56.859431,8.63112e-17
56.88933,8.69077e-17
56.919331,8.66467e-17
56.949431,8.69998e-17
56.97933,8.708e-17
57.009329,8.74664e-17
57.03943,8.72134e-17
57.069329,8.75129e-17
57.099328,8.71551e-17
57.129427,8.71762e-17
57.159328,8.80728e-17
57.189327,8.79609e-17
57.219428,8.70595e-17
57.249427,8.81643e-17
57.279327,8.7191e-17
57.309425,8.86488e-17
57.339425,8.72849e-17
57.369326,8.89277e-17
57.399426,8.97389e-17
57.429425,8.87059e-17
57.459324,8.90909e-17
57.489425,8.90364e-17
57.519425,8.93185e-17
57.549325,8.86032e-17
57.579424,8.92303e-17
57.609423,8.87761e-17
57.639323,8.97098e-17
57.669323,8.87259e-17
57.699422,8.89394e-17
57.729321,8.97966e-17
57.759321,8.93011e-17
57.789423,8.97174e-17
57.819321,8.87865e-17
57.84932,8.93705e-17
57.87942,8.96969e-17
57.90932,8.89071e-17
57.93932,8.96281e-17
57.96942,9.03153e-17
57.99942,8.94464e-17
58.029319,8.95504e-17
58.05942,8.9743e-17
58.089418,9.0292e-17
58.11932,8.9044e-17
58.149418,8.94504e-17
58.179417,9.03628e-17
58.209318,8.9534e-17
58.239417,8.92886e-17
58.269416,9.00055e-17
58.299317,9.04873e-17
58.329415,9.12271e-17
58.359416,9.08769e-17
58.389316,9.10728e-17
58.419315,8.99752e-17
58.449414,9.02837e-17
58.479315,9.1565e-17
58.509316,9.08472e-17
58.539413,9.11876e-17
58.569313,9.0824e-17
58.599314,9.15362e-17
58.629413,9.17856e-17
58.659313,9.18261e-17
58.689312,9.18019e-17
58.719412,9.16529e-17
58.749412,9.17662e-17
58.779311,9.14583e-17
58.809411,9.19497e-17
58.839411,9.19001e-17
58.86931,9.18462e-17
58.89941,9.18713e-17
58.929409,9.13681e-17
58.95931,9.27212e-17
58.989409,9.24338e-17
59.01941,9.16146e-17
59.04931,9.24206e-17
59.07931,9.15565e-17
59.109408,9.34786e-17
59.139308,9.21915e-17
59.169307,9.19792e-17
59.199406,9.30531e-17
59.229307,9.25352e-17
59.259307,9.31076e-17
59.289407,9.34571e-17
59.319305,9.2186e-17
59.349305,9.327e-17
59.379406,9.33977e-17
59.409304,9.30153e-17
59.439306,9.29611e-17
59.469405,9.37297e-17
59.499405,9.33565e-17
59.529304,9.25888e-17
59.559405,9.38713e-17
59.589404,9.33017e-17
59.619302,9.30342e-17
59.649402,9.36472e-17
59.679403,9.35607e-17
59.709303,9.32718e-17
59.739401,9.24603e-17
59.769401,9.4306e-17
59.799301,9.32769e-17
59.8293,9.44219e-17
59.859402,9.48509e-17
59.889299,9.29432e-17
59.919299,9.37374e-17
59.949399,9.43431e-17
59.979299,9.43563e-17
60.009299,9.36966e-17
60.039399,9.42141e-17
60.069299,9.42525e-17
60.099299,9.54619e-17
60.129399,9.3745e-17
60.159298,9.40265e-17
60.189298,9.48081e-17
60.219397,9.48334e-17
60.249398,9.50207e-17
60.279296,9.46953e-17
60.309398,9.49374e-17
60.339397,9.51087e-17
60.369297,9.52888e-17
60.399394,9.53653e-17
60.429395,9.50284e-17
60.459296,9.62961e-17
60.489394,9.56414e-17
60.519393,9.56291e-17
60.549294,9.56967e-17
60.579293,9.61338e-17
60.609393,9.53166e-17
60.639294,9.67652e-17
60.669293,9.61112e-17
60.699393,9.6284e-17
60.729291,9.72109e-17
60.759293,9.64419e-17
60.78939,9.50997e-17
60.81929,9.65471e-17
60.849292,9.6699e-17
60.879391,9.67813e-17
60.90929,9.74552e-17
60.93929,9.68628e-17
60.969389,9.67739e-17
60.999389,9.70422e-17
61.029289,9.78456e-17
61.059389,9.73847e-17
61.089387,9.84534e-17
61.119288,9.7463e-17
61.149387,9.83228e-17
61.179389,9.88976e-17
61.209287,9.77964e-17
61.239387,9.79169e-17
61.269387,9.83724e-17
61.299285,9.75721e-17
61.329286,9.90935e-17
61.359385,9.92265e-17
61.389287,9.88521e-17
61.419284,9.89238e-17
61.449384,9.90547e-17
61.479285,9.93606e-17
61.509285,9.90507e-17
61.539384,9.86494e-17
61.569284,9.96966e-17
61.599283,1.00522e-16
61.629382,1.0008e-16
61.659283,9.87835e-17
61.689281,9.99463e-17
61.719382,1.00673e-16
61.749383,1.01194e-16
61.779281,1.007e-16
61.809381,1.00514e-16
61.83938,1.01251e-16
61.869282,1.00709e-16
61.899379,1.00798e-16
61.92938,1.01284e-16
61.959279,1.01712e-16
61.98938,1.00044e-16
62.019378,1.01609e-16
62.04928,1.02071e-16
62.079279,1.01812e-16
62.10938,1.01823e-16
62.139278,1.0184e-16
62.169278,1.0148e-16
62.199378,1.02305e-16
62.229276,1.01064e-16
62.259278,1.02109e-16
62.289378,1.02126e-16
62.319278,1.02361e-16
62.349275,1.01711e-16
62.379374,1.03466e-16
62.409276,1.03195e-16
62.439276,1.01783e-16
62.469374,1.03478e-16
62.499374,1.02648e-16
62.529275,1.03138e-16
62.559374,1.03422e-16
62.589373,1.03134e-16
62.619274,1.03431e-16
62.649372,1.02738e-16
62.679371,1.03496e-16
62.709273,1.03359e-16
62.739371,1.03358e-16
62.769371,1.03026e-16
62.799273,1.03455e-16
62.82927,1.04141e-16
62.859372,1.0322e-16
62.88927,1.0326e-16
62.91927,1.0442e-16
62.949369,1.0357e-16
62.97927,1.04688e-16
63.009269,1.03983e-16
63.039368,1.03078e-16
63.069267,1.04946e-16
63.099269,1.04314e-16
63.129367,1.04084e-16
63.159269,1.03887e-16
63.189266,1.05437e-16
63.219366,1.04427e-16
63.249366,1.03726e-16
