λ,σ
172,5.64e-19
174,6.23e-19
176,6.85e-19
178,7.51e-19
180,8.18e-19
182,8.86e-19
184,9.53e-19
186,1.018e-18
188,1.07e-18
190,1.12e-18
192,1.165e-18
194,1.2e-18
196,1.223e-18
198,1.237e-18
200,1.243e-18
202,1.236e-18
204,1.203e-18
206,1.159e-18
208,1.104e-18
210,1.042e-18
212,9.74e-19
214,9.01e-19
216,8.24e-19
218,7.48e-19
220,6.7e-19
222,5.96e-19
224,5.26e-19
226,4.59e-19
228,3.97e-19
230,3.39e-19
232,2.88e-19
234,2.41e-19
236,1.99e-19
238,1.64e-19
240,1.32e-19
242,1.06e-19
244,8.45e-20
246,6.68e-20
248,5.25e-20
250,4.03e-20
252,3.12e-20
254,2.37e-20
256,1.78e-20
258,1.34e-20
260,9.73e-21
262,7.18e-21
264,5.29e-21
266,3.95e-21
268,2.86e-21
270,2.08e-21
272,1.51e-21
274,1.1e-21
276,7.99e-22
278,5.8e-22
280,4.2e-22
282,3.04e-22
284,2.19e-22
286,1.57e-22
288,1.13e-22
290,8.04e-23
292,5.71e-23
294,4.04e-23
296,2.84e-23
298,1.99e-23
300,1.39e-23
302,9.67e-24
304,6.69e-24
306,4.61e-24
308,3.16e-24
310,2.16e-24
312,1.47e-24
314,1.0e-24
316,6.78e-25
318,4.58e-25
320,3.09e-25
322,2.09e-25
324,1.41e-25
326,9.49e-26
328,6.41e-26
330,4.34e-26
332,2.95e-26
334,2.01e-26
336,1.37e-26
338,9.46e-27
340,6.56e-27
342,4.59e-27
344,3.24e-27
346,2.31e-27
348,1.67e-27
350,1.22e-27
