λ,σ
191,4.92e-19
192,5.39e-19
193,6.02e-19
194,6.47e-19
195,7.23e-19
196,7.89e-19
197,8.55e-19
198,9.07e-19
199,9.67e-19
200,1.02e-18
201,1.06e-18
202,1.11e-18
203,1.14e-18
204,1.16e-18
205,1.18e-18
206,1.19e-18
207,1.2e-18
208,1.19e-18
209,1.18e-18
210,1.16e-18
211,1.14e-18
212,1.12e-18
213,1.09e-18
214,1.05e-18
215,1.01e-18
216,9.61e-19
217,9.17e-19
218,8.76e-19
219,8.28e-19
220,7.81e-19
221,7.34e-19
222,6.88e-19
223,6.5e-19
224,6.06e-19
225,5.64e-19
226,5.25e-19
227,4.92e-19
228,4.54e-19
229,4.2e-19
230,3.92e-19
231,3.55e-19
232,3.26e-19
233,2.99e-19
234,2.74e-19
235,2.51e-19
236,2.29e-19
237,2.09e-19
238,1.9e-19
239,1.72e-19
240,1.56e-19
241,1.41e-19
242,1.27e-19
243,1.15e-19
244,1.03e-19
245,9.22e-20
246,8.25e-20
247,7.38e-20
248,6.57e-20
249,5.83e-20
250,5.15e-20
251,4.44e-20
252,3.92e-20
253,3.46e-20
254,3.03e-20
255,2.6e-20
256,2.32e-20
257,1.99e-20
258,1.73e-20
259,1.5e-20
260,1.3e-20
261,1.12e-20
262,9.7e-21
263,8.35e-21
264,7.19e-21
265,6.17e-21
266,5.3e-21
267,4.54e-21
268,3.88e-21
269,3.31e-21
270,2.82e-21
271,2.4e-21
272,2.04e-21
273,1.73e-21
274,1.46e-21
275,1.24e-21
276,1.04e-21
277,8.8e-22
278,7.42e-22
279,6.23e-22
280,5.21e-22
281,4.36e-22
282,3.66e-22
283,3.07e-22
284,2.56e-22
285,1.97e-22
286,1.67e-22
287,1.41e-22
288,1.19e-22
289,1.0e-22
290,8.5e-23
291,7.18e-23
292,6.07e-23
293,5.08e-23
294,4.25e-23
295,3.53e-23
296,2.98e-23
297,2.5e-23
298,2.14e-23
299,1.78e-23
300,1.49e-23
301,1.24e-23
302,1.03e-23
303,9.01e-24
304,7.71e-24
305,6.41e-24
306,5.38e-24
307,4.74e-24
308,4.11e-24
309,3.86e-24
