λ,σ
172,2.285e-18
174,1.68e-18
176,1.175e-18
178,8.34e-19
180,5.79e-19
182,4.18e-19
184,3.56e-19
186,3.53e-19
188,4.2e-19
190,5.24e-19
192,6.66e-19
194,8.16e-19
196,9.74e-19
198,1.09e-18
200,1.284e-18
202,1.328e-18
204,1.35e-18
206,1.35e-18
208,1.328e-18
210,1.286e-18
212,1.227e-18
214,1.154e-18
216,1.07e-18
218,9.8e-19
220,8.85e-19
222,7.9e-19
224,6.97e-19
226,6.08e-19
228,5.24e-19
230,4.47e-19
232,3.78e-19
234,3.16e-19
236,2.62e-19
238,2.15e-19
240,1.75e-19
242,1.41e-19
244,1.13e-19
246,9.0e-20
248,7.09e-20
250,5.55e-20
252,4.31e-20
254,3.33e-20
256,2.55e-20
258,1.94e-20
260,1.47e-20
262,1.1e-20
264,8.21e-21
266,6.09e-21
268,4.49e-21
270,3.29e-21
272,2.39e-21
274,1.73e-21
276,1.24e-21
278,8.87e-22
280,6.29e-22
282,4.44e-22
284,3.11e-22
286,2.16e-22
288,1.49e-22
290,1.03e-22
292,6.98e-23
294,4.72e-23
296,3.17e-23
298,2.11e-23
300,1.39e-23
302,9.14e-24
