λ,σ
115.05,5.177624e-17
115.1,5.210516e-17
115.15,5.230959e-17
115.2,5.229128e-17
115.25,5.264011e-17
115.3,5.266797e-17
115.35,5.270785e-17
115.4,5.269648e-17
115.45,5.274188e-17
115.5,5.262702e-17
115.55,5.281601e-17
115.6,5.260911e-17
115.65,5.255782e-17
115.7,5.26945e-17
115.75,5.269247e-17
115.8,5.279985e-17
115.85,5.283482e-17
115.9,5.279996e-17
115.95,5.268356e-17
116.0,5.275445e-17
116.05,5.285033e-17
116.1,5.276277e-17
116.15,5.291826e-17
116.2,5.30257e-17
116.25,5.334064e-17
116.3,5.361134e-17
116.35,5.377336e-17
116.4,5.389425e-17
116.45,5.394259e-17
116.5,5.405377e-17
116.55,5.397071e-17
116.6,5.374395e-17
116.65,5.357131e-17
116.7,5.355995e-17
116.75,5.324355e-17
116.8,5.27048e-17
116.85,5.21117e-17
116.9,5.172467e-17
116.95,5.13103e-17
117.0,5.090223e-17
117.05,5.060279e-17
117.1,5.029002e-17
117.15,5.007504e-17
117.2,4.991642e-17
117.25,4.961789e-17
117.3,4.942832e-17
117.35,4.926153e-17
117.4,4.900849e-17
117.45,4.887968e-17
117.5,4.875878e-17
117.55,4.874684e-17
117.6,4.857187e-17
117.65,4.856824e-17
117.7,4.858239e-17
117.75,4.858212e-17
117.8,4.861148e-17
117.85,4.853465e-17
117.9,4.85083e-17
117.95,4.84254e-17
118.0,4.84237e-17
118.05,4.7841e-17
118.1,4.790414e-17
118.15,4.774881e-17
118.2,4.7556e-17
118.25,4.749272e-17
118.3,4.712623e-17
118.35,4.693143e-17
118.4,4.675925e-17
118.45,4.650526e-17
118.5,4.633797e-17
118.55,4.626745e-17
118.6,4.603625e-17
118.65,4.594579e-17
118.7,4.601716e-17
118.75,4.593879e-17
118.8,4.602753e-17
118.85,4.609133e-17
118.9,4.622361e-17
118.95,4.631647e-17
119.0,4.656956e-17
119.05,4.694482e-17
119.1,4.71317e-17
119.15,4.748268e-17
119.2,4.789529e-17
119.25,4.83455e-17
119.3,4.876031e-17
119.35,4.914451e-17
119.4,4.949885e-17
119.45,4.990478e-17
119.5,5.018206e-17
119.55,5.050365e-17
