λ,σ
170.95,8.21e-20
173.15,1.25e-19
174.65,1.56e-19
176.2,1.88e-19
177.8,2.19e-19
179.4,2.45e-19
181.0,2.66e-19
182.65,2.83e-19
184.35,2.96e-19
186.05,3.06e-19
187.8,3.14e-19
189.6,3.2e-19
191.4,3.23e-19
193.25,3.23e-19
195.15,3.19e-19
197.05,3.12e-19
199.0,3.01e-19
201.0,2.86e-19
203.05,2.68e-19
205.15,2.47e-19
207.25,2.24e-19
209.4,2.0e-19
211.65,1.74e-19
213.9,1.49e-19
216.2,1.24e-19
218.6,1.01e-19
221.0,8.06e-20
223.45,6.26e-20
226.0,4.71e-20
228.6,3.45e-20
231.25,2.45e-20
233.95,1.69e-20
236.7,1.14e-20
239.55,7.41e-21
242.45,4.62e-21
245.4,2.82e-21
248.45,1.65e-21
251.56,9.63e-22
254.76,5.25e-22
258.05,2.88e-22
261.45,1.48e-22
264.95,7.55e-23
