λ,σ
190.92,3.92e-17
191.38,4.05e-17
191.77,4.18e-17
192.17,4.29e-17
192.45,4.41e-17
192.79,4.52e-17
193.25,4.62e-17
193.89,4.73e-17
194.41,4.81e-17
194.64,4.86e-17
195.16,4.91e-17
196.33,4.96e-17
196.81,4.91e-17
197.34,4.84e-17
197.82,4.78e-17
198.12,4.71e-17
198.48,4.62e-17
198.84,4.53e-17
199.39,4.42e-17
199.57,4.34e-17
199.99,4.23e-17
200.18,4.13e-17
200.78,4.05e-17
200.96,3.96e-17
201.09,3.86e-17
201.64,3.74e-17
201.65,3.73e-17
201.83,3.55e-17
202.02,3.46e-17
202.44,3.33e-17
202.63,3.2e-17
202.88,3.1e-17
203.19,2.98e-17
203.61,2.86e-17
203.92,2.77e-17
204.16,2.65e-17
204.41,2.55e-17
204.54,2.46e-17
204.84,2.34e-17
205.09,2.21e-17
205.46,2.08e-17
205.77,1.96e-17
206.07,1.85e-17
206.44,1.74e-17
206.69,1.63e-17
207.05,1.53e-17
207.23,1.46e-17
207.3,1.41e-17
207.42,1.33e-17
207.96,1.26e-17
208.02,1.24e-17
208.26,1.17e-17
208.5,1.06e-17
208.51,1.06e-17
208.93,9.93e-18
209.35,9.19e-18
209.71,8.46e-18
210.01,7.74e-18
210.25,7.0e-18
210.79,6.34e-18
211.21,5.65e-18
211.62,5.19e-18
212.16,4.54e-18
212.64,4.11e-18
212.93,3.69e-18
213.47,3.28e-18
213.71,3.01e-18
214.3,2.62e-18
214.89,2.22e-18
215.42,1.97e-18
216.31,1.62e-18
217.31,1.31e-18
218.37,1.08e-18
219.55,8.37e-19
220.84,7.13e-19
222.25,5.9e-19
223.6,5.01e-19
225.01,4.48e-19
226.43,3.96e-19
227.84,3.6e-19
229.97,3.87e-19
231.44,3.87e-19
232.73,3.95e-19
233.96,4.14e-19
235.13,4.37e-19
236.25,4.55e-19
237.3,4.8e-19
238.3,5.06e-19
238.65,5.19e-19
239.7,5.46e-19
240.58,5.75e-19
241.98,6.25e-19
243.21,6.65e-19
244.38,7.1e-19
244.91,7.35e-19
245.73,7.67e-19
246.49,7.99e-19
247.19,8.33e-19
247.83,8.67e-19
248.47,9.02e-19
248.59,9.08e-19
249.29,9.42e-19
249.93,9.76e-19
250.46,1.01e-18
251.16,1.04e-18
251.62,1.07e-18
252.33,1.1e-18
253.14,1.15e-18
253.9,1.21e-18
254.54,1.24e-18
255.13,1.28e-18
255.88,1.33e-18
256.53,1.37e-18
256.87,1.4e-18
257.52,1.43e-18
258.04,1.47e-18
259.09,1.54e-18
259.73,1.58e-18
260.14,1.62e-18
260.72,1.65e-18
261.3,1.69e-18
261.89,1.72e-18
262.47,1.76e-18
263.0,1.79e-18
263.75,1.85e-18
264.39,1.9e-18
265.09,1.94e-18
265.74,1.97e-18
266.44,2.0e-18
267.37,2.06e-18
268.19,2.09e-18
268.89,2.12e-18
269.71,2.15e-18
270.53,2.18e-18
271.52,2.21e-18
272.52,2.24e-18
273.51,2.27e-18
274.75,2.28e-18
275.86,2.3e-18
276.97,2.32e-18
278.27,2.34e-18
279.5,2.36e-18
280.73,2.37e-18
281.9,2.39e-18
283.08,2.41e-18
284.07,2.43e-18
284.83,2.46e-18
285.59,2.5e-18
286.23,2.53e-18
286.76,2.56e-18
287.52,2.6e-18
289.45,2.69e-18
290.21,2.72e-18
290.85,2.75e-18
292.13,2.82e-18
292.89,2.86e-18
293.59,2.89e-18
294.35,2.92e-18
295.17,2.96e-18
295.64,2.98e-18
296.63,3.01e-18
297.63,3.04e-18
298.68,3.06e-18
299.74,3.08e-18
301.15,3.09e-18
302.44,3.09e-18
303.62,3.07e-18
304.8,3.05e-18
305.74,3.02e-18
306.39,2.99e-18
307.28,2.96e-18
308.04,2.93e-18
308.69,2.9e-18
309.46,2.86e-18
310.05,2.82e-18
310.65,2.79e-18
311.24,2.75e-18
311.77,2.72e-18
312.36,2.68e-18
313.43,2.61e-18
314.02,2.58e-18
314.49,2.54e-18
315.03,2.5e-18
315.44,2.47e-18
316.1,2.42e-18
316.57,2.38e-18
317.1,2.35e-18
317.58,2.31e-18
318.05,2.28e-18
318.59,2.23e-18
319.06,2.19e-18
320.07,2.1e-18
320.25,2.09e-18
320.6,2.07e-18
321.08,2.03e-18
321.43,2.0e-18
321.91,1.96e-18
322.56,1.9e-18
323.57,1.85e-18
324.22,1.82e-18
324.58,1.78e-18
325.35,1.72e-18
325.7,1.69e-18
327.01,1.6e-18
327.66,1.56e-18
328.72,1.5e-18
329.02,1.47e-18
329.61,1.44e-18
330.26,1.4e-18
330.97,1.37e-18
331.68,1.32e-18
332.27,1.28e-18
332.98,1.24e-18
333.63,1.21e-18
334.4,1.18e-18
335.11,1.14e-18
335.88,1.11e-18
336.94,1.06e-18
337.71,1.03e-18
338.6,9.98e-19
339.48,9.68e-19
339.72,9.63e-19
340.6,9.32e-19
341.54,9.03e-19
342.43,8.73e-19
343.37,8.46e-19
344.43,8.2e-19
345.44,7.93e-19
346.56,7.68e-19
347.67,7.46e-19
348.74,7.2e-19
350.03,6.99e-19
351.03,6.74e-19
352.09,6.49e-19
353.33,6.37e-19
354.39,6.11e-19
355.39,5.96e-19
356.57,5.75e-19
357.74,5.56e-19
358.92,5.37e-19
360.04,5.18e-19
361.1,4.97e-19
362.34,4.81e-19
363.57,4.6e-19
364.69,4.4e-19
365.93,4.19e-19
367.16,4.03e-19
368.28,3.83e-19
369.46,3.62e-19
