λ,σ
205.41,8.25e-19
205.83,7.91e-19
206.37,7.55e-19
206.81,7.04e-19
207.2,6.45e-19
207.73,5.89e-19
208.0,5.55e-19
208.27,5.22e-19
208.61,4.86e-19
208.95,4.51e-19
209.44,4.07e-19
209.71,3.81e-19
209.98,3.45e-19
210.42,2.97e-19
210.79,2.7e-19
211.15,2.43e-19
211.64,2.24e-19
212.13,2.04e-19
212.72,1.83e-19
213.51,1.64e-19
214.3,1.45e-19
215.28,1.31e-19
216.22,1.17e-19
217.3,1.06e-19
218.38,9.66e-20
219.51,8.98e-20
220.75,8.73e-20
221.98,8.71e-20
223.11,9.13e-20
224.29,9.43e-20
225.33,1.03e-19
226.41,1.09e-19
227.5,1.19e-19
228.48,1.3e-19
229.47,1.43e-19
230.46,1.57e-19
231.39,1.71e-19
232.38,1.84e-19
233.3,2.04e-19
234.06,2.2e-19
235.04,2.42e-19
235.83,2.62e-19
236.62,2.8e-19
237.35,2.97e-19
237.91,3.15e-19
238.7,3.34e-19
239.5,3.55e-19
240.18,3.72e-19
241.07,4.04e-19
241.81,4.24e-19
242.45,4.44e-19
243.14,4.65e-19
244.23,4.99e-19
244.87,5.27e-19
245.66,5.54e-19
246.8,5.91e-19
247.44,6.14e-19
247.93,6.36e-19
248.48,6.6e-19
249.32,6.91e-19
249.81,7.15e-19
250.5,7.46e-19
251.15,7.74e-19
251.76,7.99e-19
252.38,8.25e-19
252.98,8.47e-19
253.37,8.72e-19
253.92,8.97e-19
254.41,9.16e-19
255.05,9.54e-19
255.65,9.83e-19
256.14,1.01e-18
256.59,1.03e-18
257.13,1.06e-18
257.58,1.08e-18
257.92,1.1e-18
258.42,1.13e-18
258.76,1.15e-18
259.21,1.17e-18
259.7,1.19e-18
260.15,1.22e-18
260.69,1.25e-18
261.34,1.29e-18
262.33,1.33e-18
262.87,1.35e-18
263.56,1.37e-18
264.1,1.4e-18
264.75,1.42e-18
265.49,1.44e-18
266.38,1.45e-18
267.21,1.47e-18
268.25,1.48e-18
269.28,1.48e-18
270.52,1.48e-18
271.65,1.48e-18
272.63,1.47e-18
273.42,1.45e-18
274.55,1.41e-18
275.14,1.39e-18
275.63,1.37e-18
276.17,1.34e-18
276.76,1.32e-18
277.35,1.3e-18
277.94,1.28e-18
278.38,1.25e-18
279.12,1.22e-18
279.8,1.18e-18
280.3,1.17e-18
280.83,1.14e-18
281.08,1.13e-18
281.62,1.11e-18
282.01,1.08e-18
282.35,1.06e-18
282.75,1.03e-18
283.43,1.0e-18
283.92,9.78e-19
284.71,9.41e-19
285.49,8.97e-19
286.03,8.75e-19
286.38,8.49e-19
287.21,8.02e-19
287.65,7.77e-19
288.39,7.43e-19
288.83,7.23e-19
289.42,7.01e-19
290.05,6.61e-19
290.64,6.39e-19
291.33,6.1e-19
291.77,5.86e-19
292.41,5.64e-19
292.61,5.48e-19
293.25,5.28e-19
293.69,5.04e-19
294.37,4.84e-19
295.06,4.64e-19
295.7,4.42e-19
296.29,4.19e-19
297.08,4.01e-19
297.52,3.82e-19
298.45,3.53e-19
299.24,3.33e-19
300.08,3.17e-19
300.81,2.98e-19
301.7,2.81e-19
302.63,2.65e-19
303.52,2.48e-19
304.4,2.32e-19
305.24,2.17e-19
306.17,2.04e-19
307.11,1.88e-19
308.19,1.77e-19
309.23,1.65e-19
310.16,1.5e-19
311.24,1.4e-19
312.18,1.26e-19
313.26,1.15e-19
314.34,1.07e-19
315.38,9.61e-20
316.41,8.6e-20
317.54,7.92e-20
318.58,7.12e-20
319.71,6.44e-20
320.79,5.54e-20
321.88,4.97e-20
322.96,4.28e-20
324.04,3.49e-20
325.22,3.03e-20
326.31,2.45e-20
327.64,1.88e-20
330.0,1.17e-20
