λ,σ
112.5306,6.875685e-17
112.5460,6.917136e-17
112.5613,6.919132e-17
112.5757,6.869205e-17
112.5911,6.891606e-17
112.6065,6.893094e-17
112.6218,6.92718e-17
112.6383,6.972068e-17
112.6537,6.878801e-17
112.6691,6.928786e-17
112.6835,6.839848e-17
112.6989,6.854522e-17
112.7143,6.842379e-17
112.7298,6.816119e-17
112.7462,6.858491e-17
112.7617,6.899399e-17
112.7770,6.839706e-17
112.7915,6.815358e-17
112.8069,6.846443e-17
112.8224,6.854048e-17
112.8379,6.874458e-17
112.8533,6.807746e-17
112.8699,6.866891e-17
112.8853,6.790226e-17
112.9008,6.834736e-17
112.9152,6.782312e-17
112.9307,6.833195e-17
112.9461,6.771801e-17
112.9617,6.803559e-17
112.9782,6.78214e-17
112.9937,6.80388e-17
113.0091,6.740957e-17
113.0237,6.802007e-17
113.0391,6.799682e-17
113.0547,6.762292e-17
113.0702,6.812869e-17
113.0868,6.828175e-17
113.1023,6.720971e-17
113.1178,6.757264e-17
113.1334,6.779968e-17
113.1479,6.756182e-17
113.1635,6.72793e-17
113.1790,6.710483e-17
113.1946,6.734533e-17
113.2111,6.755119e-17
113.2267,6.71056e-17
113.2422,6.7713e-17
113.2568,6.693232e-17
113.2723,6.666307e-17
113.2880,6.660277e-17
113.3035,6.72203e-17
113.3202,6.692773e-17
113.3357,6.699827e-17
113.3513,6.667458e-17
113.3658,6.678924e-17
113.3815,6.656859e-17
113.3972,6.632044e-17
113.4127,6.654094e-17
113.4294,6.633325e-17
113.4450,6.66849e-17
113.4607,6.670956e-17
113.4762,6.628664e-17
113.4909,6.609707e-17
113.5065,6.62772e-17
113.5222,6.55593e-17
113.5378,6.635715e-17
113.5545,6.624225e-17
113.5701,6.639389e-17
113.5858,6.637604e-17
113.6004,6.538261e-17
113.6161,6.552833e-17
113.6317,6.57169e-17
113.6475,6.581731e-17
113.6642,6.602909e-17
113.6799,6.563057e-17
113.6956,6.514789e-17
113.7102,6.52806e-17
113.7260,6.49961e-17
113.7416,6.521786e-17
113.7574,6.531261e-17
113.7741,6.497732e-17
113.7898,6.526191e-17
113.8055,6.495102e-17
113.8213,6.529376e-17
113.8359,6.482492e-17
113.8517,6.495446e-17
113.8674,6.456144e-17
113.8832,6.448707e-17
113.8999,6.472903e-17
113.9157,6.472318e-17
113.9314,6.47429e-17
113.9462,6.49124e-17
113.9619,6.429873e-17
113.9777,6.448474e-17
113.9934,6.421637e-17
114.0103,6.486583e-17
114.0261,6.438847e-17
