λ,σ
166,4.07e-17
168,4.28e-17
170,4.34e-17
172,4.25e-17
174,4.01e-17
176,3.62e-17
178,3.16e-17
180,2.66e-17
182,2.18e-17
184,1.75e-17
186,1.39e-17
188,1.1e-17
190,8.6e-18
192,6.78e-18
194,5.37e-18
196,4.23e-18
198,3.39e-18
200,2.75e-18
202,2.23e-18
204,1.8e-18
206,1.48e-18
208,1.21e-18
210,9.93e-19
212,8.24e-19
214,6.82e-19
216,5.69e-19
218,4.75e-19
220,3.94e-19
222,3.27e-19
224,2.71e-19
226,2.25e-19
228,1.846e-19
230,1.518e-19
232,1.244e-19
234,1.004e-19
236,8.08e-20
238,6.51e-20
240,5.18e-20
242,4.11e-20
244,3.22e-20
246,2.54e-20
248,1.99e-20
250,1.54e-20
252,1.21e-20
254,9.4e-21
256,7.3e-21
258,5.8e-21
260,4.5e-21
