λ,σ
95.39,1.2269e-16
95.4,1.2117e-16
95.42,1.2288e-16
95.43,1.2333e-16
95.45,1.2302e-16
95.46,1.2237e-16
95.48,1.2311e-16
95.49,1.2311e-16
95.5,1.2314e-16
95.52,1.2398e-16
95.53,1.2356e-16
95.55,1.2241e-16
95.56,1.2202e-16
95.58,1.2169e-16
95.59,1.2214e-16
95.61,1.2198e-16
95.62,1.2251e-16
95.64,1.2193e-16
95.65,1.2117e-16
95.67,1.2177e-16
95.68,1.2146e-16
95.7,1.2166e-16
95.71,1.2142e-16
95.73,1.2018e-16
95.74,1.176e-16
95.76,1.2288e-16
95.77,1.2085e-16
95.79,1.2019e-16
95.8,1.1949e-16
95.81,1.1843e-16
95.83,1.2004e-16
95.84,1.2001e-16
95.86,1.2004e-16
95.87,1.2027e-16
95.89,1.2118e-16
95.9,1.2462e-16
95.92,1.2188e-16
95.93,1.1823e-16
95.95,1.1855e-16
95.96,1.1872e-16
95.98,1.2004e-16
95.99,1.2044e-16
96.01,1.2097e-16
96.02,1.2097e-16
96.04,1.2122e-16
96.05,1.2131e-16
96.07,1.2147e-16
96.08,1.2076e-16
96.1,1.2022e-16
96.11,1.1943e-16
96.13,1.193e-16
96.14,1.1925e-16
96.16,1.1916e-16
96.17,1.1848e-16
96.19,1.1882e-16
96.2,1.1857e-16
96.22,1.1873e-16
96.23,1.1874e-16
96.25,1.1857e-16
96.26,1.1893e-16
96.28,1.183e-16
96.29,1.1803e-16
96.31,1.1849e-16
96.32,1.1839e-16
96.34,1.183e-16
96.35,1.1857e-16
96.37,1.1828e-16
96.38,1.1844e-16
96.4,1.1834e-16
96.41,1.1817e-16
96.43,1.1754e-16
96.44,1.1908e-16
96.46,1.1875e-16
96.47,1.1897e-16
96.49,1.1991e-16
96.5,1.1724e-16
96.52,1.1696e-16
96.53,1.2035e-16
96.55,1.1688e-16
96.56,1.1648e-16
96.58,1.1779e-16
96.59,1.1695e-16
96.61,1.1718e-16
96.62,1.1953e-16
96.64,1.1497e-16
96.65,1.1461e-16
96.67,1.2074e-16
96.68,1.164e-16
96.7,1.1389e-16
96.71,1.186e-16
96.73,1.1638e-16
96.74,1.1441e-16
96.76,1.1807e-16
96.77,1.1516e-16
96.79,1.1532e-16
96.8,1.1573e-16
96.82,1.1465e-16
96.83,1.1445e-16
96.85,1.1414e-16
96.86,1.1468e-16
96.88,1.1392e-16
96.89,1.1362e-16
96.91,1.1336e-16
96.92,1.1383e-16
96.94,1.1348e-16
96.95,1.133e-16
96.97,1.1339e-16
96.98,1.1315e-16
97.0,1.1323e-16
97.01,1.1247e-16
97.03,1.1262e-16
97.04,1.1328e-16
97.06,1.1407e-16
97.08,1.1166e-16
97.09,1.1321e-16
97.11,1.1031e-16
97.12,1.1023e-16
97.14,1.1126e-16
97.15,1.115e-16
97.17,1.1249e-16
97.18,1.1102e-16
97.2,1.1187e-16
97.21,1.1199e-16
97.23,1.1139e-16
97.24,1.119e-16
97.26,1.0982e-16
97.27,1.1271e-16
97.29,1.1172e-16
97.3,1.0845e-16
97.32,1.117e-16
97.33,1.1154e-16
97.35,1.0886e-16
97.36,1.1263e-16
97.38,1.1022e-16
97.4,1.0853e-16
97.41,1.1091e-16
97.43,1.0987e-16
97.44,1.096e-16
97.46,1.0974e-16
97.47,1.1017e-16
97.49,1.0996e-16
97.5,1.0953e-16
97.52,1.0935e-16
97.53,1.0906e-16
97.55,1.095e-16
97.56,1.0915e-16
97.58,1.089e-16
97.59,1.0858e-16
97.61,1.0844e-16
97.63,1.0847e-16
97.64,1.0855e-16
97.66,1.0855e-16
97.67,1.0832e-16
97.69,1.0795e-16
97.7,1.0849e-16
97.72,1.0754e-16
97.73,1.0779e-16
97.75,1.0771e-16
97.76,1.0834e-16
97.78,1.0697e-16
97.79,1.0651e-16
97.81,1.0688e-16
97.83,1.0719e-16
97.84,1.074e-16
97.86,1.0776e-16
97.87,1.0839e-16
97.89,1.0803e-16
97.9,1.076e-16
97.92,1.0721e-16
97.93,1.071e-16
97.95,1.0771e-16
97.96,1.0707e-16
97.98,1.0692e-16
98.0,1.0641e-16
98.01,1.0667e-16
98.03,1.068e-16
98.04,1.0601e-16
98.06,1.0624e-16
98.07,1.0567e-16
98.09,1.0649e-16
98.1,1.0566e-16
98.12,1.0574e-16
98.14,1.0599e-16
98.15,1.0583e-16
98.17,1.0581e-16
98.18,1.061e-16
98.2,1.0607e-16
98.21,1.0659e-16
98.23,1.0663e-16
98.24,1.0593e-16
98.26,1.0625e-16
98.28,1.0594e-16
98.29,1.0595e-16
98.31,1.0582e-16
98.32,1.0553e-16
98.34,1.0605e-16
98.35,1.0593e-16
98.37,1.0601e-16
98.38,1.0539e-16
98.4,1.056e-16
98.42,1.0554e-16
98.43,1.0521e-16
98.45,1.0333e-16
98.46,1.0748e-16
98.48,1.0724e-16
98.49,1.0681e-16
98.51,1.0624e-16
98.53,1.0642e-16
98.54,1.0629e-16
98.56,1.0621e-16
98.57,1.0643e-16
98.59,1.0659e-16
98.6,1.0549e-16
98.62,1.059e-16
98.64,1.0661e-16
98.65,1.058e-16
98.67,1.0648e-16
98.68,1.0613e-16
98.7,1.0595e-16
98.71,1.0637e-16
98.73,1.0599e-16
98.75,1.0568e-16
98.76,1.0617e-16
98.78,1.0605e-16
98.79,1.0589e-16
98.81,1.0618e-16
98.82,1.065e-16
98.84,1.0672e-16
98.86,1.0678e-16
98.87,1.073e-16
98.89,1.0686e-16
98.9,1.0709e-16
98.92,1.0692e-16
98.93,1.0737e-16
98.95,1.0768e-16
98.97,1.0794e-16
98.98,1.0777e-16
99.0,1.0796e-16
99.01,1.0771e-16
99.03,1.0788e-16
99.04,1.0856e-16
99.06,1.1027e-16
99.08,1.109e-16
99.09,1.0788e-16
99.11,1.0795e-16
99.12,1.0837e-16
99.14,1.0826e-16
99.16,1.0929e-16
99.17,1.0894e-16
99.19,1.0952e-16
99.2,1.0891e-16
99.22,1.0916e-16
99.24,1.0882e-16
99.25,1.0886e-16
99.27,1.086e-16
99.28,1.0861e-16
99.3,1.0864e-16
99.31,1.0868e-16
99.33,1.094e-16
99.35,1.0955e-16
99.36,1.0944e-16
99.38,1.0948e-16
99.39,1.0964e-16
99.41,1.1e-16
99.43,1.0987e-16
99.44,1.1028e-16
99.46,1.1025e-16
99.47,1.1064e-16
99.49,1.1076e-16
99.51,1.1086e-16
99.52,1.1097e-16
99.54,1.1121e-16
99.55,1.1142e-16
99.57,1.1176e-16
99.59,1.1194e-16
99.6,1.1219e-16
99.62,1.1192e-16
99.63,1.1234e-16
99.65,1.1232e-16
99.67,1.1238e-16
99.68,1.1266e-16
99.7,1.1283e-16
99.71,1.1297e-16
99.73,1.1277e-16
99.75,1.1322e-16
99.76,1.1351e-16
99.78,1.1346e-16
99.79,1.1392e-16
99.81,1.1398e-16
99.83,1.1439e-16
99.84,1.1448e-16
99.86,1.1508e-16
99.87,1.1458e-16
99.89,1.1506e-16
99.91,1.1488e-16
99.92,1.148e-16
99.94,1.1546e-16
99.96,1.1525e-16
99.97,1.1523e-16
99.99,1.1543e-16
100.0,1.1555e-16
100.02,1.1595e-16
100.04,1.1575e-16
100.05,1.1586e-16
100.07,1.16e-16
100.08,1.163e-16
100.1,1.1626e-16
100.12,1.1626e-16
100.13,1.1634e-16
100.15,1.1674e-16
100.17,1.169e-16
100.18,1.1687e-16
100.2,1.1692e-16
100.21,1.1704e-16
100.23,1.1742e-16
100.25,1.1736e-16
100.26,1.1725e-16
100.28,1.1766e-16
100.29,1.1752e-16
100.31,1.1775e-16
