λ,σ
99.41,6.24e-17
99.44,6.23e-17
99.48,6.24e-17
99.51,6.29e-17
99.54,6.34e-17
99.57,6.34e-17
99.61,6.35e-17
99.64,6.34e-17
99.67,6.28e-17
99.7,6.24e-17
99.74,6.21e-17
99.77,6.16e-17
99.8,6.16e-17
99.83,6.16e-17
99.87,6.17e-17
99.9,6.14e-17
99.93,6.14e-17
99.97,6.19e-17
100.0,6.22e-17
100.03,6.22e-17
100.06,6.22e-17
100.1,6.21e-17
100.13,6.33e-17
100.16,6.37e-17
100.2,6.39e-17
100.23,6.39e-17
100.26,6.37e-17
100.29,6.19e-17
100.33,6.08e-17
100.36,6.07e-17
100.39,6.1e-17
100.43,6.12e-17
100.46,6.13e-17
100.49,6.13e-17
100.53,6.19e-17
100.56,6.24e-17
100.59,6.27e-17
100.63,6.31e-17
100.66,6.34e-17
100.69,6.34e-17
100.73,6.33e-17
100.76,6.29e-17
100.79,6.17e-17
100.83,6.01e-17
100.86,6.0e-17
100.89,6.01e-17
100.93,6.05e-17
100.96,6.13e-17
100.99,6.16e-17
101.03,6.17e-17
101.06,6.19e-17
101.09,6.23e-17
101.13,6.25e-17
101.16,6.27e-17
101.19,6.31e-17
101.23,6.31e-17
101.26,6.3e-17
101.3,6.29e-17
101.33,6.29e-17
101.36,6.27e-17
101.4,6.21e-17
101.43,6.16e-17
101.46,6.12e-17
101.5,6.12e-17
101.53,6.21e-17
101.57,6.29e-17
101.6,6.33e-17
101.63,6.35e-17
101.67,6.37e-17
101.7,6.37e-17
101.74,6.36e-17
101.77,6.35e-17
101.8,6.35e-17
101.84,6.34e-17
101.87,6.3e-17
101.91,6.3e-17
101.94,6.29e-17
101.97,6.25e-17
102.01,6.25e-17
102.04,6.31e-17
102.08,6.36e-17
102.11,6.63e-17
102.14,6.67e-17
102.18,6.69e-17
102.21,6.69e-17
102.25,6.69e-17
102.28,6.64e-17
102.32,6.57e-17
102.35,6.52e-17
102.39,6.51e-17
102.42,6.46e-17
102.45,6.4e-17
102.49,6.36e-17
102.52,6.34e-17
102.56,6.35e-17
102.59,6.51e-17
102.63,6.63e-17
102.66,6.81e-17
102.7,6.9e-17
102.73,6.93e-17
102.77,6.94e-17
102.8,6.94e-17
102.83,6.93e-17
102.87,6.88e-17
102.9,6.82e-17
102.94,6.73e-17
102.97,6.71e-17
103.01,6.71e-17
103.04,6.7e-17
103.08,6.69e-17
103.11,6.67e-17
103.15,6.76e-17
103.18,6.84e-17
103.22,6.94e-17
103.25,7.05e-17
103.29,7.4e-17
103.32,7.41e-17
103.36,7.42e-17
103.39,7.41e-17
103.43,7.36e-17
103.46,7.16e-17
103.5,7.08e-17
103.53,7.04e-17
103.57,7.01e-17
103.6,7.02e-17
103.64,7.04e-17
103.67,7.05e-17
103.71,7.17e-17
103.75,7.4e-17
103.78,7.43e-17
103.82,7.51e-17
103.85,7.47e-17
103.89,7.47e-17
103.92,7.47e-17
103.96,7.4e-17
103.99,7.31e-17
104.03,7.24e-17
104.06,7.2e-17
104.1,7.18e-17
