λ,σ,Δσ
115.0,7.51396e-18,NaN
115.1,7.53808e-18,NaN
115.2,7.47125e-18,NaN
115.3,7.432375e-18,NaN
115.4,7.461183e-18,NaN
115.5,7.379862e-18,NaN
115.6,7.317474e-18,NaN
115.7,7.25099e-18,NaN
115.8,7.185843e-18,NaN
115.9,7.199629e-18,NaN
116.0,7.182734e-18,NaN
116.1,7.179234e-18,NaN
116.2,7.235141e-18,NaN
116.3,7.205201e-18,NaN
116.4,7.223067e-18,NaN
116.5,7.226779e-18,NaN
116.6,7.212921e-18,NaN
116.7,7.245143e-18,NaN
116.8,7.37294e-18,NaN
116.9,7.458772e-18,NaN
117.0,7.345164e-18,NaN
117.1,7.137762e-18,NaN
117.2,6.963824e-18,NaN
117.3,6.826796e-18,NaN
117.4,6.709454e-18,NaN
117.5,6.620264e-18,NaN
117.6,6.522803e-18,NaN
117.7,6.436332e-18,NaN
117.8,6.407439e-18,NaN
117.9,6.37341e-18,NaN
118.0,6.350162e-18,NaN
118.1,6.391074e-18,NaN
118.2,6.378282e-18,NaN
118.3,6.498219e-18,NaN
118.4,6.486784e-18,NaN
118.5,6.46316e-18,NaN
118.6,6.348173e-18,NaN
118.7,6.326114e-18,NaN
118.8,6.393135e-18,NaN
118.9,6.314537e-18,NaN
119.0,6.274565e-18,NaN
119.1,6.303509e-18,NaN
119.2,6.263841e-18,NaN
119.3,6.140754e-18,NaN
119.4,5.961654e-18,NaN
119.5,5.789997e-18,NaN
119.6,5.684279e-18,NaN
119.7,5.592282e-18,NaN
119.8,5.521134e-18,NaN
119.9,5.427187e-18,NaN
120.0,5.384443e-18,NaN
120.1,5.361894e-18,NaN
120.2,5.353498e-18,NaN
120.3,5.346076e-18,NaN
120.4,5.423072e-18,NaN
120.5,5.48034e-18,NaN
120.6,5.561063e-18,NaN
120.7,5.739061e-18,NaN
120.8,5.630286e-18,NaN
120.9,5.402498e-18,NaN
121.0,5.201955e-18,NaN
121.1,5.110476e-18,NaN
121.2,4.978635e-18,NaN
121.3,4.93588e-18,NaN
121.4,4.934567e-18,NaN
121.5,4.84843e-18,NaN
121.6,4.780833e-18,NaN
121.7,4.659868e-18,NaN
121.8,4.485831e-18,NaN
121.9,4.306982e-18,NaN
122.0,4.249428e-18,NaN
122.1,4.19944e-18,NaN
122.2,4.149734e-18,NaN
122.3,4.160713e-18,NaN
122.4,4.095475e-18,NaN
122.5,4.064196e-18,NaN
122.6,4.072724e-18,NaN
122.7,4.049858e-18,NaN
122.8,4.078743e-18,NaN
122.9,4.169016e-18,NaN
123.0,4.323054e-18,NaN
123.1,4.70735e-18,NaN
123.2,4.848242e-18,NaN
123.3,4.625374e-18,NaN
123.4,4.196377e-18,NaN
123.5,3.94807e-18,NaN
123.6,3.883283e-18,NaN
123.7,3.804866e-18,NaN
123.8,3.721689e-18,NaN
123.9,3.624943e-18,NaN
124.0,3.628688e-18,NaN
124.1,3.578667e-18,NaN
124.2,3.53182e-18,NaN
124.3,3.40219e-18,NaN
124.4,3.276991e-18,NaN
124.5,3.248912e-18,NaN
124.6,3.296524e-18,NaN
124.7,3.310756e-18,NaN
124.8,3.346896e-18,NaN
124.9,3.316572e-18,NaN
125.0,3.323666e-18,NaN
125.1,3.463564e-18,NaN
125.2,3.589928e-18,NaN
125.3,3.751203e-18,NaN
125.4,3.89537e-18,NaN
125.5,4.085957e-18,NaN
125.6,4.63281e-18,NaN
125.7,5.300611e-18,NaN
125.8,5.280863e-18,NaN
125.9,4.855807e-18,NaN
126.0,4.490716e-18,NaN
126.1,4.325593e-18,NaN
126.2,4.239549e-18,NaN
126.3,4.158447e-18,NaN
126.4,4.050191e-18,NaN
126.5,4.037231e-18,NaN
126.6,4.006355e-18,NaN
126.7,3.976997e-18,NaN
126.8,4.050462e-18,NaN
126.9,3.999848e-18,NaN
127.0,3.926053e-18,NaN
127.1,3.936408e-18,NaN
127.2,4.01811e-18,NaN
127.3,4.074217e-18,NaN
127.4,4.155378e-18,NaN
127.5,4.271991e-18,NaN
127.6,4.342731e-18,NaN
127.7,4.496355e-18,NaN
127.8,4.693679e-18,NaN
127.9,4.900664e-18,NaN
128.0,5.084878e-18,NaN
128.1,5.265789e-18,NaN
128.2,5.462796e-18,NaN
128.3,5.970932e-18,NaN
128.4,6.443613e-18,NaN
128.5,6.375365e-18,NaN
128.6,6.206416e-18,NaN
128.7,6.037589e-18,NaN
128.8,5.940916e-18,NaN
128.9,5.918238e-18,NaN
129.0,5.827847e-18,NaN
129.1,5.733947e-18,NaN
129.2,5.692208e-18,NaN
129.3,5.611909e-18,NaN
129.4,5.557e-18,NaN
129.5,5.562771e-18,NaN
129.6,5.560522e-18,NaN
129.7,5.593007e-18,NaN
129.8,5.681137e-18,NaN
129.9,5.713129e-18,NaN
130.0,5.800448e-18,NaN
130.1,5.881389e-18,NaN
130.2,5.96944e-18,NaN
130.3,6.020357e-18,NaN
130.4,6.052796e-18,NaN
130.5,6.150858e-18,NaN
130.6,6.262033e-18,NaN
130.7,6.318905e-18,NaN
130.8,6.407229e-18,NaN
130.9,6.496629e-18,NaN
131.0,6.543845e-18,NaN
131.1,6.668958e-18,NaN
131.2,6.706159e-18,NaN
131.3,6.822849e-18,NaN
131.4,6.911014e-18,NaN
131.5,6.968228e-18,NaN
131.6,6.988161e-18,NaN
131.7,6.884684e-18,NaN
131.8,6.825208e-18,NaN
131.9,6.721738e-18,NaN
132.0,6.642066e-18,NaN
132.1,6.53765e-18,NaN
132.2,6.501718e-18,NaN
132.3,6.468455e-18,NaN
132.4,6.450374e-18,NaN
132.5,6.428134e-18,NaN
132.6,6.453652e-18,NaN
132.7,6.435157e-18,NaN
132.8,6.398356e-18,NaN
132.9,6.374264e-18,NaN
133.0,6.31072e-18,NaN
133.1,6.28219e-18,NaN
133.2,6.286223e-18,NaN
133.3,6.319031e-18,NaN
133.4,6.402555e-18,NaN
133.5,6.40909e-18,NaN
133.6,6.412307e-18,NaN
133.7,6.434799e-18,NaN
133.8,6.476446e-18,NaN
133.9,6.503787e-18,NaN
134.0,6.545651e-18,NaN
134.1,6.57299e-18,NaN
134.2,6.621548e-18,NaN
134.3,6.670911e-18,NaN
134.4,6.727178e-18,NaN
