λ,σ
211.79,2.69e-17
212.96,2.48e-17
214.14,2.26e-17
215.31,2.06e-17
216.48,1.9e-17
217.66,1.8e-17
218.83,1.74e-17
220.0,1.7e-17
221.18,1.7e-17
222.35,1.71e-17
223.52,1.75e-17
224.7,1.79e-17
225.87,1.84e-17
227.05,1.89e-17
228.22,1.95e-17
229.39,2.01e-17
230.56,2.06e-17
231.74,2.12e-17
232.91,2.17e-17
234.08,2.21e-17
235.26,2.25e-17
236.43,2.28e-17
237.6,2.3e-17
238.77,2.3e-17
239.94,2.3e-17
241.11,2.28e-17
242.29,2.25e-17
243.46,2.21e-17
244.63,2.16e-17
245.8,2.09e-17
246.97,2.03e-17
248.14,1.94e-17
249.31,1.85e-17
250.48,1.76e-17
251.65,1.67e-17
252.82,1.57e-17
253.99,1.48e-17
255.16,1.39e-17
256.32,1.31e-17
257.49,1.23e-17
258.66,1.16e-17
259.83,1.09e-17
260.99,1.03e-17
262.16,9.8e-18
263.33,9.4e-18
264.49,9.0e-18
265.66,8.6e-18
266.82,8.2e-18
267.99,7.9e-18
269.15,7.6e-18
270.32,7.4e-18
271.48,7.1e-18
272.64,6.9e-18
273.81,6.7e-18
274.97,6.5e-18
276.13,6.2e-18
277.29,6.0e-18
278.45,5.8e-18
279.61,5.6e-18
280.77,5.4e-18
281.93,5.1e-18
283.09,5.0e-18
284.25,4.7e-18
285.41,4.5e-18
286.56,4.3e-18
287.72,4.1e-18
288.88,3.9e-18
290.03,3.7e-18
291.19,3.5e-18
292.34,3.3e-18
293.5,3.1e-18
294.65,2.9e-18
295.8,2.7e-18
296.95,2.6e-18
298.1,2.4e-18
299.25,2.2e-18
300.4,2.1e-18
301.55,1.9e-18
302.7,1.8e-18
303.85,1.7e-18
305.0,1.5e-18
306.14,1.4e-18
307.29,1.3e-18
308.43,1.2e-18
309.58,1.1e-18
310.72,1.0e-18
311.86,9.0e-19
313.0,8.0e-19
314.14,8.0e-19
315.28,7.0e-19
316.42,6.0e-19
317.56,6.0e-19
318.7,5.0e-19
319.84,5.0e-19
320.97,4.0e-19
322.11,4.0e-19
323.24,4.0e-19
324.38,3.0e-19
325.51,3.0e-19
326.64,3.0e-19
327.77,2.0e-19
328.9,2.0e-19
330.03,2.0e-19
331.16,2.0e-19
332.28,2.0e-19
333.41,1.0e-19
334.53,1.0e-19
335.66,1.0e-19
336.78,1.0e-19
337.9,1.0e-19
339.02,1.0e-19
340.14,1.0e-19
341.26,0.0
342.38,0.0
343.49,0.0
344.61,1.0e-19
345.72,0.0
346.83,0.0
347.95,0.0
349.06,0.0
