λ,σ,Δσ
200.0,2.95e-20,NaN
210.0,4.27e-20,NaN
220.0,6.31e-20,NaN
230.0,6.61e-20,NaN
240.0,5.62e-20,NaN
250.0,4.07e-20,NaN
260.0,5.5e-20,NaN
270.0,1.29e-20,NaN
280.0,6.6e-21,NaN
290.0,3.9e-21,NaN
300.0,5.6e-21,NaN
310.0,1.51e-20,NaN
320.0,4.07e-20,NaN
330.0,9.12e-20,NaN
340.0,1.7e-19,NaN
350.0,2.818e-19,NaN
360.0,3.467e-19,NaN
370.0,4.169e-19,NaN
380.0,3.981e-19,NaN
390.0,3.388e-19,NaN
400.0,2.818e-19,NaN
410.0,2.239e-19,NaN
420.0,1.778e-19,NaN
430.0,1.445e-19,NaN
440.0,1.259e-19,NaN
450.0,1.072e-19,NaN
460.0,9.33e-20,NaN
470.0,7.94e-20,NaN
480.0,6.31e-20,NaN
490.0,5.01e-20,NaN
500.0,3.39e-20,NaN
510.0,2.63e-20,NaN
520.0,1.66e-20,NaN
530.0,1.1e-20,NaN
540.0,6.6e-21,NaN
550.0,4.1e-21,NaN
560.0,2.5e-21,NaN
570.0,1.44e-21,NaN
580.0,8.32e-21,NaN
590.0,4.79e-22,NaN
600.0,2.51e-22,NaN
