λ,σ
192.51,1.35e-18
199.47,1.4e-18
205.98,1.43e-18
211.46,1.41e-18
216.93,1.33e-18
219.43,1.26e-18
224.2,1.11e-18
228.51,9.5e-19
232.36,7.9e-19
234.62,6.79e-19
236.43,6.09e-19
239.59,4.95e-19
242.41,4.08e-19
244.66,3.37e-19
247.93,2.71e-19
250.19,2.25e-19
252.89,1.79e-19
255.59,1.42e-19
258.29,1.12e-19
260.31,9.33e-20
262.79,7.35e-20
265.49,5.86e-20
267.73,4.62e-20
270.2,3.68e-20
272.9,2.9e-20
274.92,2.31e-20
277.39,1.84e-20
280.2,1.41e-20
283.13,1.06e-20
285.36,8.03e-21
288.07,6.53e-21
289.86,5.35e-21
292.0,4.5e-21
294.93,3.62e-21
297.41,3.04e-21
300.35,2.53e-21
304.2,2.08e-21
308.51,1.79e-21
313.28,1.57e-21
318.29,1.45e-21
