λ,σ,Δσ
190.0,9.0e-22,NaN
200.0,7.0e-22,NaN
210.0,5.0e-22,NaN
220.0,5.0e-22,NaN
230.0,5.0e-22,NaN
240.0,4.0e-22,NaN
250.0,4.0e-22,NaN
260.0,3.7e-21,NaN
270.0,8.9e-21,NaN
280.0,2.5e-20,NaN
290.0,6.0e-20,NaN
300.0,1.13e-19,NaN
310.0,1.75e-19,NaN
320.0,2.32e-19,NaN
330.0,2.52e-19,NaN
340.0,2.37e-19,NaN
350.0,1.93e-19,NaN
360.0,1.31e-19,NaN
370.0,8.4e-20,NaN
380.0,5.2e-20,NaN
390.0,3.1e-20,NaN
400.0,1.9e-20,NaN
410.0,1.4e-20,NaN
420.0,1.0e-20,NaN
430.0,7.6e-21,NaN
440.0,5.8e-21,NaN
450.0,4.5e-21,NaN
460.0,2.9e-21,NaN
470.0,1.7e-21,NaN
480.0,9.0e-22,NaN
490.0,7.0e-22,NaN
500.0,5.0e-22,NaN
