λ,σ
210,1.91e-22
220,1.53e-22
230,2.3e-22
240,1.53e-22
250,4.59e-22
260,2.3e-21
270,8.49e-21
280,2.631e-20
290,6.267e-20
300,1.196e-19
310,1.866e-19
320,2.413e-19
330,2.612e-19
340,2.408e-19
350,1.927e-19
360,1.353e-19
370,8.584e-20
380,5.093e-20
390,3.04e-20
400,1.93e-20
410,1.33e-20
420,9.98e-21
430,7.57e-21
440,5.7e-21
450,4.02e-21
460,2.79e-21
470,1.8e-21
480,1.15e-21
490,7.65e-22
500,4.59e-22
510,2.68e-22
520,1.15e-22
530,1.53e-22
540,3.82e-23
550,1.15e-22
560,1.15e-22
570,1.15e-22
580,1.15e-22
590,7.65e-23
600,7.65e-23
