λ,σ,Δσ
357.1,2.37e-20,NaN
363.6,2.68e-20,NaN
370.4,3.25e-20,NaN
377.4,4.59e-20,NaN
384.6,6.12e-20,NaN
392.2,9.94e-20,NaN
400.0,1.19e-19,NaN
408.2,1.53e-19,NaN
416.7,2.26e-19,NaN
425.5,3.21e-19,NaN
434.8,4.28e-19,NaN
444.4,5.62e-19,NaN
454.5,7.0e-19,NaN
465.1,8.45e-19,NaN
476.2,9.98e-19,NaN
487.8,1.13e-18,NaN
500.0,1.23e-18,NaN
512.8,1.29e-18,NaN
526.3,1.3e-18,NaN
540.5,1.27e-18,NaN
555.6,1.25e-18,NaN
571.4,1.18e-18,NaN
588.2,1.07e-18,NaN
606.1,9.71e-19,NaN
625.0,8.18e-19,NaN
645.2,6.5e-19,NaN
666.7,5.31e-19,NaN
678.0,4.4e-19,NaN
689.7,4.59e-19,NaN
701.8,4.89e-19,NaN
714.3,4.66e-19,NaN
727.3,3.98e-19,NaN
740.7,3.14e-19,NaN
