λ,σ,Δσ
216.5,1.59e-19,NaN
219.5,1.984e-19,NaN
224.5,2.658e-19,NaN
226.4,2.915e-19,NaN
228.9,3.2e-19,NaN
230.8,3.388e-19,NaN
233.7,3.768e-19,NaN
235.9,3.989e-19,NaN
237.0,4.218e-19,NaN
239.5,4.314e-19,NaN
240.6,4.399e-19,NaN
241.3,4.399e-19,NaN
243.8,4.387e-19,NaN
245.3,4.387e-19,NaN
246.5,4.387e-19,NaN
247.9,4.341e-19,NaN
248.7,4.246e-19,NaN
251.0,4.147e-19,NaN
252.7,4.03e-19,NaN
253.7,3.919e-19,NaN
256.2,3.637e-19,NaN
258.2,3.411e-19,NaN
264.4,2.766e-19,NaN
269.9,2.254e-19,NaN
276.2,1.61e-19,NaN
280.4,1.22e-19,NaN
285.1,8.17e-20,NaN
291.2,5.35e-20,NaN
299.4,2.84e-20,NaN
307.5,1.6e-20,NaN
310.0,4.3e-21,NaN
