λ,σ,Δσ
60.64,1.85e-17,NaN
60.94,1.85e-17,NaN
61.25,1.85e-17,NaN
61.55,1.86e-17,NaN
61.84,1.87e-17,NaN
62.12,1.88e-17,NaN
62.42,1.88e-17,NaN
62.73,1.88e-17,NaN
63.02,1.89e-17,NaN
63.32,1.9e-17,NaN
63.62,1.91e-17,NaN
63.9,1.91e-17,NaN
64.22,1.91e-17,NaN
64.52,1.91e-17,NaN
64.83,1.91e-17,NaN
65.1,1.9e-17,NaN
65.39,1.89e-17,NaN
65.7,1.89e-17,NaN
65.98,1.89e-17,NaN
66.28,1.88e-17,NaN
66.56,1.88e-17,NaN
66.84,1.89e-17,NaN
67.06,1.85e-17,NaN
67.33,1.86e-17,NaN
67.54,1.9e-17,NaN
67.64,1.89e-17,NaN
67.85,1.86e-17,NaN
68.1,1.83e-17,NaN
68.33,1.88e-17,NaN
68.42,1.9e-17,NaN
68.55,1.88e-17,NaN
68.59,1.87e-17,NaN
68.82,1.84e-17,NaN
69.08,1.84e-17,NaN
69.34,1.86e-17,NaN
69.61,1.87e-17,NaN
69.81,1.81e-17,NaN
70.04,1.82e-17,NaN
70.31,1.84e-17,NaN
70.61,1.85e-17,NaN
70.74,1.8e-17,NaN
70.98,1.78e-17,NaN
71.16,1.82e-17,NaN
71.49,1.81e-17,NaN
71.71,1.78e-17,NaN
71.98,1.77e-17,NaN
72.24,1.76e-17,NaN
72.31,1.79e-17,NaN
72.37,1.81e-17,NaN
72.46,1.84e-17,NaN
72.5,1.81e-17,NaN
72.6,1.76e-17,NaN
72.65,1.71e-17,NaN
72.78,1.65e-17,NaN
73.0,1.68e-17,NaN
73.17,1.72e-17,NaN
73.42,1.75e-17,NaN
73.78,1.63e-17,NaN
73.93,1.61e-17,NaN
73.98,1.61e-17,NaN
74.1,1.66e-17,NaN
74.24,1.68e-17,NaN
74.42,1.64e-17,NaN
74.61,1.6e-17,NaN
74.84,1.57e-17,NaN
75.1,1.54e-17,NaN
75.32,1.57e-17,NaN
75.49,1.53e-17,NaN
75.63,1.49e-17,NaN
75.82,1.45e-17,NaN
76.07,1.47e-17,NaN
76.32,1.46e-17,NaN
76.37,1.43e-17,NaN
76.53,1.39e-17,NaN
76.81,1.38e-17,NaN
77.06,1.36e-17,NaN
77.35,1.37e-17,NaN
77.57,1.34e-17,NaN
77.62,1.32e-17,NaN
77.85,1.3e-17,NaN
78.12,1.31e-17,NaN
78.38,1.3e-17,NaN
78.65,1.3e-17,NaN
78.9,1.26e-17,NaN
79.17,1.27e-17,NaN
79.45,1.28e-17,NaN
79.68,1.25e-17,NaN
79.94,1.27e-17,NaN
80.24,1.28e-17,NaN
80.55,1.28e-17,NaN
