λ,σ,Δσ
79.37,5.42e-18,NaN
79.38,7.85e-18,NaN
79.39,9.59e-18,NaN
79.39,1.13e-17,NaN
79.4,1.52e-17,NaN
79.41,1.92e-17,NaN
79.42,2.35e-17,NaN
79.43,2.73e-17,NaN
79.43,2.96e-17,NaN
79.44,3.18e-17,NaN
79.45,3.02e-17,NaN
79.46,2.42e-17,NaN
79.46,2.83e-17,NaN
79.46,2.63e-17,NaN
79.46,2.21e-17,NaN
79.46,1.96e-17,NaN
79.47,1.71e-17,NaN
79.47,1.67e-17,NaN
79.49,1.75e-17,NaN
79.5,1.87e-17,NaN
79.51,1.75e-17,NaN
79.52,1.56e-17,NaN
79.52,1.38e-17,NaN
79.53,1.2e-17,NaN
79.53,1.04e-17,NaN
79.55,9.23e-18,NaN
79.57,9.88e-18,NaN
79.58,1.06e-17,NaN
79.58,1.0e-17,NaN
79.6,9.73e-18,NaN
79.6,8.76e-18,NaN
79.61,7.65e-18,NaN
79.61,6.62e-18,NaN
79.62,5.76e-18,NaN
79.65,6.63e-18,NaN
79.66,7.16e-18,NaN
79.68,7.46e-18,NaN
79.7,8.01e-18,NaN
79.71,8.61e-18,NaN
79.72,8.99e-18,NaN
79.76,8.93e-18,NaN
79.77,8.39e-18,NaN
79.77,7.41e-18,NaN
79.78,6.94e-18,NaN
79.8,6.61e-18,NaN
79.81,6.35e-18,NaN
79.82,6.33e-18,NaN
79.86,6.2e-18,NaN
79.87,6.23e-18,NaN
79.87,5.7e-18,NaN
79.89,5.18e-18,NaN
79.9,4.59e-18,NaN
79.91,4.14e-18,NaN
79.92,4.25e-18,NaN
79.93,3.83e-18,NaN
79.95,3.64e-18,NaN
79.96,3.7e-18,NaN
79.99,3.54e-18,NaN
80.0,3.98e-18,NaN
80.01,4.26e-18,NaN
80.03,3.91e-18,NaN
80.05,3.66e-18,NaN
80.08,4.44e-18,NaN
80.08,5.61e-18,NaN
80.09,6.3e-18,NaN
80.1,7.17e-18,NaN
80.1,7.17e-18,NaN
80.12,7.52e-18,NaN
80.14,6.82e-18,NaN
80.15,5.86e-18,NaN
80.16,6.14e-18,NaN
80.18,6.04e-18,NaN
80.2,5.68e-18,NaN
80.21,5.26e-18,NaN
80.22,4.69e-18,NaN
80.24,3.86e-18,NaN
80.26,4.36e-18,NaN
80.27,3.96e-18,NaN
80.3,4.7e-18,NaN
80.32,5.58e-18,NaN
80.33,6.41e-18,NaN
80.35,5.99e-18,NaN
80.36,5.7e-18,NaN
80.38,6.14e-18,NaN
80.38,6.51e-18,NaN
80.39,7.54e-18,NaN
80.39,1.01e-17,NaN
80.41,1.26e-17,NaN
80.41,1.53e-17,NaN
80.42,1.82e-17,NaN
80.43,2.22e-17,NaN
80.44,2.55e-17,NaN
80.45,2.92e-17,NaN
80.46,2.72e-17,NaN
80.46,2.42e-17,NaN
80.47,1.83e-17,NaN
80.47,1.47e-17,NaN
80.47,1.67e-17,NaN
80.47,2.03e-17,NaN
80.48,1.4e-17,NaN
80.49,1.51e-17,NaN
80.51,1.6e-17,NaN
80.52,1.54e-17,NaN
80.53,1.44e-17,NaN
80.53,1.34e-17,NaN
