λ,σ
396.4335,4.29e-27
396.525,1.73e-26
396.5831,5.83e-27
396.6125,1.54e-26
396.6358,1.53e-26
396.8878,1.42e-26
396.9189,8.98e-27
396.9442,4.18e-27
397.047,1.75e-26
397.0628,1.4e-26
397.1415,7.15e-27
397.2244,7.74e-27
397.2348,2.26e-26
397.2448,3.35e-26
397.259,8.43e-27
397.2694,1.16e-26
397.2781,3.38e-26
397.2925,1.24e-26
397.3019,7.59e-27
397.356,1.43e-26
397.3701,7.66e-27
397.4163,2.65e-26
397.4294,6.34e-27
397.4916,1.32e-26
397.4971,1.26e-26
397.5038,2.97e-26
397.5161,1.82e-26
397.5465,4.69e-27
397.7269,5.39e-27
397.9058,1.0e-26
398.0846,1.38e-26
398.1288,9.86e-27
398.2827,2.15e-26
398.4345,1.1e-26
398.4622,1.61e-26
398.4914,3.09e-26
398.5312,8.8e-27
398.7705,1.39e-26
398.8726,1.53e-26
398.992,1.95e-26
398.9981,2.23e-26
399.1327,1.17e-26
399.1789,7.33e-27
399.2965,9.72e-27
399.3091,2.99e-26
399.5776,2.41e-26
399.6445,7.41e-27
399.7221,1.95e-26
399.7599,2.79e-26
399.7689,6.49e-27
399.8144,8.25e-27
399.8435,7.48e-27
399.9988,4.62e-27
400.144,7.85e-27
400.1783,1.02e-26
400.2101,5.72e-27
400.2436,1.05e-26
400.2673,1.0e-26
400.3346,9.53e-27
400.74,1.7e-26
400.81,6.34e-27
400.8196,9.79e-27
401.0036,4.22e-27
401.3946,7.74e-27
415.0154,3.78e-27
415.0517,4.69e-27
415.6748,4.18e-27
415.8321,3.04e-27
415.9456,7.63e-27
416.0555,3.23e-27
416.1938,4.8e-27
416.5716,4.36e-27
416.6089,3.85e-27
416.645,5.28e-27
416.6743,2.24e-27
416.7349,4.88e-27
416.7398,5.06e-27
416.7459,1.65e-27
416.7806,9.53e-27
416.789,8.8e-27
416.7977,5.06e-27
416.907,6.42e-27
416.9546,2.53e-27
416.9925,9.2e-27
417.4049,5.06e-27
417.7219,5.83e-27
417.7431,6.01e-27
417.795,3.59e-27
418.1662,3.01e-27
418.1742,5.9e-27
418.3707,6.86e-27
418.8802,1.14e-26
419.0864,4.84e-27
419.0952,2.75e-27
419.2739,5.21e-27
419.4527,5.35e-27
420.321,7.37e-27
421.9956,5.57e-27
425.6313,3.56e-27
425.9433,2.75e-27
426.2041,5.76e-27
426.4708,2.94e-27
426.4814,6.63e-27
427.4368,4.02e-27
427.5461,7.48e-27
428.6137,4.17e-27
429.0808,5.26e-27
429.4346,3.7e-27
429.5973,2.49e-27
435.3515,1.94e-27
437.7319,2.13e-27
438.1695,1.43e-27
438.1896,1.76e-27
438.218,2.53e-27
439.2353,3.75e-27
439.3225,6.91e-27
439.4177,4.12e-27
439.4509,2.76e-27
439.5812,2.46e-27
439.8284,7.03e-27
439.9152,6.27e-27
439.9912,8.2e-27
440.0368,2.27e-27
440.1203,1.72e-27
440.1382,7.3e-27
440.1905,4.97e-27
440.1935,2.89e-27
440.1988,3.19e-27
440.2214,4.91e-27
440.2428,2.02e-27
440.2518,2.13e-27
440.2642,1.78e-27
440.3971,2.39e-27
440.556,7.66e-27
440.6186,2.52e-27
440.6508,8.88e-27
440.7031,4.56e-27
440.7981,4.72e-27
440.8188,2.44e-27
440.8834,1.91e-27
440.9466,1.87e-27
440.9707,1.29e-26
441.0877,7.08e-27
441.1168,3.7e-27
441.1642,7.1e-27
441.2224,6.43e-27
441.2519,2.69e-27
441.2875,2.22e-26
441.3166,3.98e-27
441.3385,2.78e-27
441.3753,1.53e-26
441.3813,4.26e-27
441.3838,2.42e-27
441.3867,1.04e-26
441.4145,2.43e-26
441.4263,2.21e-27
441.4465,8.27e-27
441.4987,2.26e-26
441.5384,4.52e-27
441.5841,7.47e-27
441.6074,1.1e-26
441.6123,4.79e-26
441.6259,2.52e-27
441.653,2.56e-27
441.7023,1.09e-26
441.7595,4.48e-26
441.7729,2.15e-26
441.7928,1.43e-27
441.8111,1.25e-26
441.8425,3.56e-27
441.9146,4.23e-26
441.9445,1.51e-26
441.964,1.38e-26
441.9727,7.26e-27
442.0,9.99e-27
442.0333,4.84e-27
442.167,5.57e-27
442.1985,4.12e-27
442.251,6.49e-27
442.2744,5.68e-26
442.2827,2.42e-26
442.3495,7.38e-27
442.3683,1.4e-26
442.3796,3.92e-26
442.3962,1.75e-26
442.451,4.78e-27
442.4621,6.9e-27
442.4668,5.38e-27
