λ,σ,Δσ
140.0,5.74e-19,NaN
140.2,5.51e-19,NaN
140.4,5.32e-19,NaN
140.6,4.71e-19,NaN
140.8,5.1e-19,NaN
141.0,4.97e-19,NaN
141.2,4.8e-19,NaN
141.4,4.3e-19,NaN
141.6,4.26e-19,NaN
141.8,4.28e-19,NaN
142.0,3.9e-19,NaN
142.2,3.79e-19,NaN
142.4,3.68e-19,NaN
142.6,4.02e-19,NaN
142.8,3.84e-19,NaN
143.0,3.99e-19,NaN
143.2,4.01e-19,NaN
143.4,4.0e-19,NaN
143.6,3.82e-19,NaN
143.8,3.85e-19,NaN
144.0,3.71e-19,NaN
144.2,4.18e-19,NaN
144.4,4.3e-19,NaN
144.6,4.08e-19,NaN
144.8,4.37e-19,NaN
145.0,4.36e-19,NaN
145.2,4.5e-19,NaN
145.4,5.11e-19,NaN
145.6,4.97e-19,NaN
145.8,4.99e-19,NaN
146.0,5.42e-19,NaN
146.2,5.46e-19,NaN
146.4,5.78e-19,NaN
146.6,5.84e-19,NaN
146.8,6.1e-19,NaN
147.0,6.22e-19,NaN
147.2,6.56e-19,NaN
147.4,7.06e-19,NaN
147.6,7.07e-19,NaN
147.8,7.19e-19,NaN
148.0,8.05e-19,NaN
148.2,8.24e-19,NaN
148.4,8.4e-19,NaN
148.6,8.89e-19,NaN
148.8,9.05e-19,NaN
149.0,9.41e-19,NaN
149.2,1.0e-18,NaN
149.4,1.07e-18,NaN
149.6,1.09e-18,NaN
149.8,1.14e-18,NaN
150.0,1.21e-18,NaN
150.2,1.26e-18,NaN
150.4,1.32e-18,NaN
150.6,1.31e-18,NaN
150.8,1.29e-18,NaN
151.0,1.32e-18,NaN
151.2,1.46e-18,NaN
151.4,1.42e-18,NaN
151.6,1.61e-18,NaN
151.8,1.56e-18,NaN
152.0,1.69e-18,NaN
152.2,1.7e-18,NaN
152.4,1.75e-18,NaN
152.8,1.96e-18,NaN
153.0,2.08e-18,NaN
153.2,2.05e-18,NaN
153.4,2.13e-18,NaN
153.6,2.13e-18,NaN
153.8,2.3e-18,NaN
154.0,2.35e-18,NaN
154.2,2.37e-18,NaN
154.4,2.4e-18,NaN
154.6,2.52e-18,NaN
154.8,2.62e-18,NaN
155.0,2.85e-18,NaN
155.2,2.89e-18,NaN
155.4,3.0e-18,NaN
155.6,3.02e-18,NaN
155.8,3.03e-18,NaN
156.0,3.07e-18,NaN
156.2,3.15e-18,NaN
156.4,3.24e-18,NaN
156.6,3.41e-18,NaN
156.8,3.46e-18,NaN
157.0,3.41e-18,NaN
157.2,3.71e-18,NaN
157.4,3.72e-18,NaN
157.6,3.8e-18,NaN
157.8,3.97e-18,NaN
158.0,4.0e-18,NaN
158.2,4.01e-18,NaN
158.4,4.26e-18,NaN
158.6,4.12e-18,NaN
158.8,4.27e-18,NaN
159.0,4.31e-18,NaN
159.2,4.43e-18,NaN
159.4,4.44e-18,NaN
159.6,4.55e-18,NaN
159.8,4.57e-18,NaN
160.0,4.83e-18,NaN
160.2,4.69e-18,NaN
160.4,4.86e-18,NaN
160.6,4.89e-18,NaN
160.8,4.86e-18,NaN
161.0,5.13e-18,NaN
161.2,5.14e-18,NaN
161.4,5.4e-18,NaN
161.6,5.5e-18,NaN
161.8,5.47e-18,NaN
162.0,5.44e-18,NaN
162.2,5.6e-18,NaN
162.4,5.52e-18,NaN
162.6,5.52e-18,NaN
162.8,5.65e-18,NaN
163.0,5.73e-18,NaN
163.2,5.85e-18,NaN
163.4,5.83e-18,NaN
163.6,5.92e-18,NaN
163.8,5.96e-18,NaN
164.0,6.0e-18,NaN
164.2,5.9e-18,NaN
164.4,5.93e-18,NaN
164.6,6.25e-18,NaN
164.8,6.05e-18,NaN
165.0,6.21e-18,NaN
165.2,6.25e-18,NaN
165.4,6.35e-18,NaN
165.6,6.23e-18,NaN
165.8,6.37e-18,NaN
166.0,6.19e-18,NaN
166.2,6.35e-18,NaN
166.4,6.23e-18,NaN
166.6,6.1e-18,NaN
166.8,6.27e-18,NaN
167.0,6.33e-18,NaN
167.2,6.2e-18,NaN
167.4,6.15e-18,NaN
167.6,6.01e-18,NaN
167.8,6.0e-18,NaN
168.0,6.04e-18,NaN
168.2,5.9e-18,NaN
168.4,5.95e-18,NaN
168.6,5.99e-18,NaN
168.8,5.82e-18,NaN
169.0,5.9e-18,NaN
169.2,5.76e-18,NaN
169.4,5.62e-18,NaN
169.6,5.62e-18,NaN
169.8,5.68e-18,NaN
170.0,5.66e-18,NaN
170.2,5.46e-18,NaN
170.4,5.42e-18,NaN
170.6,5.42e-18,NaN
170.8,5.26e-18,NaN
171.0,5.24e-18,NaN
171.2,5.04e-18,NaN
171.4,5.0e-18,NaN
171.6,4.85e-18,NaN
171.8,4.62e-18,NaN
172.0,4.54e-18,NaN
172.2,4.51e-18,NaN
172.4,4.21e-18,NaN
172.6,4.14e-18,NaN
172.8,4.15e-18,NaN
173.0,3.9e-18,NaN
173.2,3.78e-18,NaN
173.4,3.72e-18,NaN
173.6,3.61e-18,NaN
173.8,3.45e-18,NaN
174.0,3.49e-18,NaN
174.2,3.43e-18,NaN
174.4,3.28e-18,NaN
174.6,3.1e-18,NaN
174.8,3.08e-18,NaN
175.0,3.03e-18,NaN
175.2,2.96e-18,NaN
175.4,2.81e-18,NaN
175.6,2.73e-18,NaN
175.8,2.64e-18,NaN
176.0,2.47e-18,NaN
176.2,2.28e-18,NaN
176.4,2.18e-18,NaN
176.6,2.05e-18,NaN
176.8,1.84e-18,NaN
177.0,1.78e-18,NaN
177.2,1.73e-18,NaN
177.4,1.59e-18,NaN
177.6,1.44e-18,NaN
177.8,1.3e-18,NaN
178.0,1.18e-18,NaN
178.2,1.08e-18,NaN
178.4,9.66e-19,NaN
178.6,8.61e-19,NaN
178.8,7.82e-19,NaN
179.0,7.09e-19,NaN
179.2,6.29e-19,NaN
179.4,5.77e-19,NaN
179.6,5.15e-19,NaN
179.8,4.56e-19,NaN
180.0,4.01e-19,NaN
180.2,3.73e-19,NaN
180.4,3.36e-19,NaN
180.6,2.97e-19,NaN
180.8,2.68e-19,NaN
181.0,2.37e-19,NaN
181.2,2.17e-19,NaN
181.4,1.89e-19,NaN
181.6,1.68e-19,NaN
181.8,1.5e-19,NaN
182.0,1.35e-19,NaN
182.2,1.2e-19,NaN
182.4,1.1e-19,NaN
182.6,9.7e-20,NaN
182.8,8.79e-20,NaN
183.0,7.94e-20,NaN
183.2,7.15e-20,NaN
183.4,6.43e-20,NaN
183.6,5.81e-20,NaN
183.8,5.14e-20,NaN
184.0,4.68e-20,NaN
184.2,4.24e-20,NaN
184.4,3.84e-20,NaN
184.6,3.45e-20,NaN
184.8,3.13e-20,NaN
185.0,2.83e-20,NaN
185.2,2.58e-20,NaN
185.4,2.35e-20,NaN
185.6,2.11e-20,NaN
185.8,1.92e-20,NaN
186.0,1.73e-20,NaN
186.2,1.57e-20,NaN
186.4,1.42e-20,NaN
186.6,1.32e-20,NaN
186.8,1.18e-20,NaN
187.0,1.08e-20,NaN
187.2,9.91e-21,NaN
187.4,8.75e-21,NaN
187.6,7.82e-21,NaN
187.8,7.12e-21,NaN
188.0,6.67e-21,NaN
188.2,6.15e-21,NaN
188.4,5.16e-21,NaN
188.6,4.59e-21,NaN
188.8,4.81e-21,NaN
189.0,4.21e-21,NaN
189.2,3.76e-21,NaN
189.4,3.3e-21,NaN
189.6,3.08e-21,NaN
189.8,2.42e-21,NaN
190.0,2.61e-21,NaN
190.2,2.19e-21,NaN
190.4,2.11e-21,NaN
190.6,1.73e-21,NaN
190.8,1.65e-21,NaN
191.0,1.35e-21,NaN
191.2,1.26e-21,NaN
191.4,1.21e-21,NaN
191.6,1.14e-21,NaN
191.8,1.06e-21,NaN
192.0,9.03e-22,NaN
192.2,7.81e-22,NaN
192.4,7.0e-22,NaN
192.6,5.48e-22,NaN
192.8,5.58e-22,NaN
193.0,5.15e-22,NaN
193.2,4.57e-22,NaN
193.4,4.23e-22,NaN
193.6,3.97e-22,NaN
193.8,3.55e-22,NaN
194.0,3.2e-22,NaN
194.2,3.03e-22,NaN
194.4,2.46e-22,NaN
194.6,2.29e-22,NaN
194.8,2.1e-22,NaN
195.0,1.94e-22,NaN
