λ,σ,Δσ
293.6,6.2e-20,NaN
301.8,3.4e-20,NaN
309.09,2.4e-20,NaN
314.5,6.0e-20,NaN
319.99,8.77e-20,NaN
320.0,1.059e-19,NaN
324.54,1.37e-19,NaN
329.9,1.513e-19,NaN
329.9,1.64e-19,NaN
329.9,1.92e-19,NaN
335.45,2.19e-19,NaN
339.0,2.1e-19,NaN
339.0,1.83e-19,NaN
344.5,1.6e-19,NaN
350.0,1.74e-19,NaN
350.0,9.6e-20,NaN
354.9,1.1e-19,NaN
360.4,9.2e-20,NaN
360.4,1.28e-19,NaN
360.4,1.46e-19,NaN
370.4,1.92e-19,NaN
380.4,1.01e-19,NaN
390.9,1.24e-19,NaN
400.0,1.78e-19,NaN
400.0,2.83e-19,NaN
406.0,1.87e-19,NaN
410.9,2.87e-19,NaN
410.9,3.29e-19,NaN
415.4,2.15e-19,NaN
420.4,1.86e-19,NaN
425.1,1.5e-19,NaN
431.3,1.1e-19,NaN
431.3,1.2e-19,NaN
436.4,1.0e-19,NaN
446.8,6.0e-20,NaN
461.8,1.8e-20,NaN
480.4,5.67e-21,NaN
500.0,9.76e-21,NaN
