λ,σ,Δσ
206.0,6.6e-18,NaN
208.0,5.9e-18,NaN
210.0,5.2e-18,NaN
212.0,4.4e-18,NaN
214.0,3.7e-18,NaN
216.0,3.0e-18,NaN
218.0,2.48e-18,NaN
220.0,2.06e-18,NaN
222.0,1.71e-18,NaN
224.0,1.41e-18,NaN
226.0,1.23e-18,NaN
228.0,1.05e-18,NaN
230.0,9.3e-19,NaN
232.0,8.4e-19,NaN
234.0,7.5e-19,NaN
236.0,6.9e-19,NaN
238.0,6.3e-19,NaN
240.0,5.7e-19,NaN
242.0,5.3e-19,NaN
244.0,4.7e-19,NaN
246.0,4.3e-19,NaN
248.0,3.8e-19,NaN
250.0,3.5e-19,NaN
252.0,3.0e-19,NaN
254.0,2.72e-19,NaN
256.0,2.55e-19,NaN
258.0,2.33e-19,NaN
260.0,2.12e-19,NaN
262.0,1.97e-19,NaN
264.0,1.86e-19,NaN
266.0,1.7e-19,NaN
268.0,1.64e-19,NaN
270.0,1.52e-19,NaN
272.0,1.42e-19,NaN
274.0,1.31e-19,NaN
276.0,1.2e-19,NaN
278.0,1.15e-19,NaN
280.0,1.07e-19,NaN
282.0,9.9e-20,NaN
284.0,8.9e-20,NaN
286.0,7.8e-20,NaN
288.0,7.1e-20,NaN
290.0,6.3e-20,NaN
292.0,5.7e-20,NaN
294.0,4.9e-20,NaN
296.0,4.4e-20,NaN
298.0,3.8e-20,NaN
300.0,3.2e-20,NaN
302.0,2.7e-20,NaN
304.0,2.4e-20,NaN
306.0,2.1e-20,NaN
308.0,1.8e-20,NaN
310.0,1.5e-20,NaN
320.0,7.5e-21,NaN
330.0,4.0e-21,NaN
340.0,2.7e-21,NaN
350.0,1.8e-21,NaN
360.0,1.0e-21,NaN
370.0,4.7e-22,NaN
380.0,1.3e-22,NaN
