λ,σ,Δσ
186.47,1.43e-20,NaN
186.56,1.87e-20,NaN
186.62,2.52e-20,NaN
186.73,3.52e-20,NaN
186.84,5.17e-20,NaN
186.91,7.44e-20,NaN
186.99,1.04e-19,NaN
187.03,1.36e-19,NaN
187.11,1.94e-19,NaN
187.15,2.74e-19,NaN
187.21,3.93e-19,NaN
187.25,5.3e-19,NaN
187.46,3.91e-19,NaN
187.65,3.07e-19,NaN
187.81,3.49e-19,NaN
187.97,3.96e-19,NaN
187.98,3.81e-19,NaN
188.02,1.64e-19,NaN
188.05,1.16e-19,NaN
188.1,7.01e-20,NaN
188.16,4.22e-20,NaN
188.23,2.36e-20,NaN
188.28,1.44e-20,NaN
190.08,1.43e-20,NaN
190.13,2.57e-20,NaN
190.23,4.65e-20,NaN
190.32,7.41e-20,NaN
190.39,1.15e-19,NaN
190.48,1.63e-19,NaN
190.52,2.28e-19,NaN
190.62,3.48e-19,NaN
190.65,4.66e-19,NaN
190.7,6.61e-19,NaN
190.89,5.11e-19,NaN
191.02,4.0e-19,NaN
191.1,3.25e-19,NaN
191.21,4.52e-19,NaN
191.31,5.54e-19,NaN
191.36,3.9e-19,NaN
191.39,2.69e-19,NaN
191.47,1.78e-19,NaN
191.54,1.16e-19,NaN
191.61,7.77e-20,NaN
191.7,5.07e-20,NaN
191.76,3.31e-20,NaN
191.83,2.06e-20,NaN
191.9,1.41e-20,NaN
194.19,1.22e-20,NaN
194.32,2.17e-20,NaN
194.46,2.86e-20,NaN
194.64,4.05e-20,NaN
194.82,5.9e-20,NaN
194.96,7.61e-20,NaN
195.06,1.03e-19,NaN
195.23,1.5e-19,NaN
195.4,2.19e-19,NaN
195.46,1.69e-19,NaN
195.54,1.35e-19,NaN
195.6,1.05e-19,NaN
195.78,1.33e-19,NaN
195.95,1.62e-19,NaN
196.01,1.09e-19,NaN
196.11,7.55e-20,NaN
196.18,5.5e-20,NaN
196.28,3.75e-20,NaN
196.38,2.74e-20,NaN
196.46,2.01e-20,NaN
196.61,1.25e-20,NaN
197.62,1.25e-20,NaN
197.85,2.25e-20,NaN
197.96,2.91e-20,NaN
198.07,3.85e-20,NaN
198.18,4.92e-20,NaN
198.29,6.11e-20,NaN
198.51,4.88e-20,NaN
198.65,6.32e-20,NaN
198.84,8.87e-20,NaN
198.87,6.09e-20,NaN
198.93,4.45e-20,NaN
198.95,3.17e-20,NaN
199.0,2.29e-20,NaN
199.06,1.78e-20,NaN
199.12,1.29e-20,NaN
201.28,1.27e-20,NaN
201.38,1.97e-20,NaN
201.49,2.27e-20,NaN
201.64,3.03e-20,NaN
201.75,4.04e-20,NaN
201.87,5.08e-20,NaN
202.17,4.14e-20,NaN
202.31,5.01e-20,NaN
202.49,6.01e-20,NaN
202.49,5.9e-20,NaN
202.47,6.01e-20,NaN
202.49,4.16e-20,NaN
202.56,3.11e-20,NaN
202.64,2.27e-20,NaN
202.71,1.41e-20,NaN
202.79,1.27e-20,NaN
203.83,1.28e-20,NaN
204.0,2.7e-20,NaN
204.08,3.79e-20,NaN
204.11,5.44e-20,NaN
204.23,7.92e-20,NaN
204.31,1.1e-19,NaN
204.41,1.43e-19,NaN
204.5,1.89e-19,NaN
204.58,2.57e-19,NaN
204.71,1.86e-19,NaN
204.75,1.53e-19,NaN
204.84,1.11e-19,NaN
204.88,8.59e-20,NaN
205.01,1.19e-19,NaN
205.15,1.57e-19,NaN
205.25,1.13e-19,NaN
205.3,7.31e-20,NaN
205.32,5.15e-20,NaN
205.37,3.64e-20,NaN
205.42,2.64e-20,NaN
205.45,1.39e-20,NaN
205.49,1.29e-20,NaN
205.89,1.27e-20,NaN
205.98,1.61e-20,NaN
206.08,2.12e-20,NaN
206.17,2.76e-20,NaN
206.3,3.44e-20,NaN
206.4,2.87e-20,NaN
206.61,2.89e-20,NaN
206.66,3.38e-20,NaN
206.74,2.54e-20,NaN
206.8,2.04e-20,NaN
206.85,1.66e-20,NaN
206.95,1.24e-20,NaN
209.98,1.18e-20,NaN
210.07,1.51e-20,NaN
210.15,1.52e-20,NaN
210.21,1.33e-20,NaN
210.28,1.2e-20,NaN
210.38,1.35e-20,NaN
210.5,1.14e-20,NaN
210.57,1.13e-20,NaN
210.61,1.13e-20,NaN
214.11,1.2e-20,NaN
214.2,1.71e-20,NaN
214.24,2.41e-20,NaN
214.29,3.16e-20,NaN
214.34,4.08e-20,NaN
214.44,5.93e-20,NaN
214.51,9.01e-20,NaN
214.59,1.18e-19,NaN
214.71,1.9e-19,NaN
214.81,2.79e-19,NaN
214.94,3.71e-19,NaN
215.0,2.77e-19,NaN
215.03,2.05e-19,NaN
215.06,1.35e-19,NaN
215.32,2.31e-19,NaN
215.54,1.57e-19,NaN
215.56,6.16e-20,NaN
215.63,3.3e-20,NaN
215.7,1.96e-20,NaN
215.77,1.23e-20,NaN
225.3,1.18e-20,NaN
225.4,1.94e-20,NaN
225.49,3.03e-20,NaN
225.59,4.2e-20,NaN
225.69,6.72e-20,NaN
225.82,1.15e-19,NaN
225.89,1.71e-19,NaN
226.02,2.75e-19,NaN
226.2,1.92e-19,NaN
226.34,1.41e-19,NaN
226.44,9.59e-20,NaN
226.66,1.26e-19,NaN
226.81,1.71e-19,NaN
226.91,1.08e-19,NaN
226.91,9.27e-20,NaN
226.94,6.15e-20,NaN
226.97,4.22e-20,NaN
226.98,3.11e-20,NaN
227.0,1.98e-20,NaN
227.04,1.23e-20,NaN
