λ,σ
112.88,3.12e-18
113.04,3.03e-18
113.25,2.97e-18
113.43,3.06e-18
113.56,3.16e-18
113.62,3.25e-18
113.63,3.41e-18
113.69,3.49e-18
113.81,3.54e-18
113.85,3.45e-18
113.96,3.37e-18
114.09,3.46e-18
114.13,3.49e-18
114.2,3.55e-18
114.23,3.54e-18
114.31,3.48e-18
114.38,3.38e-18
114.49,3.27e-18
114.62,3.2e-18
114.75,3.15e-18
114.82,3.1e-18
114.84,3.04e-18
114.95,2.99e-18
115.13,2.97e-18
115.2,2.92e-18
115.25,2.88e-18
115.32,2.83e-18
115.49,2.79e-18
115.77,2.79e-18
115.91,2.78e-18
116.03,2.75e-18
116.07,2.7e-18
116.16,2.65e-18
116.27,2.6e-18
116.53,2.57e-18
116.76,2.55e-18
116.99,2.55e-18
117.11,2.63e-18
117.24,2.68e-18
117.38,2.63e-18
117.49,2.58e-18
117.59,2.52e-18
117.69,2.46e-18
117.83,2.41e-18
117.89,2.36e-18
117.97,2.29e-18
118.16,2.27e-18
118.44,2.23e-18
118.64,2.29e-18
118.76,2.33e-18
119.01,2.35e-18
119.26,2.32e-18
119.53,2.3e-18
119.68,2.26e-18
119.89,2.25e-18
120.03,2.3e-18
120.15,2.24e-18
120.25,2.19e-18
120.29,2.16e-18
120.4,2.15e-18
120.59,2.19e-18
120.78,2.16e-18
120.94,2.12e-18
121.07,2.14e-18
121.13,2.16e-18
121.23,2.21e-18
121.32,2.27e-18
121.43,2.31e-18
121.5,2.36e-18
121.56,2.4e-18
121.67,2.43e-18
121.78,2.42e-18
121.91,2.38e-18
122.05,2.33e-18
122.16,2.29e-18
122.26,2.24e-18
122.35,2.19e-18
122.49,2.14e-18
122.58,2.08e-18
122.66,2.01e-18
122.77,1.94e-18
122.94,1.92e-18
123.02,1.99e-18
123.11,2.05e-18
123.3,2.07e-18
123.54,2.03e-18
123.62,2.12e-18
123.65,2.21e-18
123.68,2.3e-18
123.78,2.39e-18
123.84,2.3e-18
123.86,2.22e-18
123.89,2.11e-18
123.92,2.02e-18
124.03,2.04e-18
124.19,2.07e-18
124.29,2.03e-18
124.41,2.0e-18
124.58,1.97e-18
124.75,2.0e-18
124.83,2.07e-18
124.89,2.18e-18
124.93,2.38e-18
125.07,2.45e-18
125.18,2.36e-18
125.19,2.28e-18
125.22,2.18e-18
125.23,2.04e-18
125.24,2.12e-18
125.3,1.96e-18
125.44,1.9e-18
125.55,1.95e-18
125.63,2.04e-18
125.77,2.1e-18
125.98,2.11e-18
126.13,2.06e-18
126.25,2.01e-18
126.28,1.95e-18
126.39,1.89e-18
126.53,1.94e-18
126.63,2.02e-18
126.71,2.1e-18
126.86,2.14e-18
127.08,2.12e-18
127.19,2.17e-18
127.25,2.26e-18
127.28,2.31e-18
127.43,2.41e-18
127.49,2.33e-18
127.53,2.23e-18
127.59,2.13e-18
127.61,2.04e-18
127.65,1.96e-18
127.75,1.84e-18
127.91,1.77e-18
128.02,1.86e-18
128.13,1.96e-18
128.2,2.06e-18
128.25,2.16e-18
128.29,2.27e-18
128.37,2.39e-18
128.4,2.59e-18
128.44,2.74e-18
128.5,2.81e-18
128.62,2.76e-18
128.71,2.71e-18
128.74,2.64e-18
128.76,2.59e-18
128.81,2.5e-18
128.83,2.36e-18
128.84,2.19e-18
128.9,2.01e-18
128.93,1.89e-18
129.06,1.8e-18
129.2,1.86e-18
129.31,1.94e-18
129.4,2.04e-18
129.47,2.13e-18
129.48,2.21e-18
129.53,2.27e-18
129.6,2.34e-18
129.74,2.28e-18
129.84,2.17e-18
129.9,2.08e-18
129.95,1.99e-18
130.01,1.9e-18
130.05,1.83e-18
130.22,1.74e-18
130.27,1.79e-18
130.34,1.89e-18
130.35,1.93e-18
130.38,2.05e-18
130.5,2.13e-18
130.58,2.07e-18
130.63,2.0e-18
130.75,1.94e-18
130.88,2.01e-18
130.96,2.1e-18
131.1,2.19e-18
131.28,2.13e-18
131.36,2.03e-18
131.42,1.95e-18
131.47,1.85e-18
131.59,1.76e-18
131.73,1.82e-18
131.85,1.91e-18
131.92,1.98e-18
132.03,2.12e-18
132.08,2.27e-18
132.1,2.58e-18
132.22,2.85e-18
132.31,2.98e-18
132.49,3.15e-18
132.69,3.27e-18
132.75,3.1e-18
132.76,2.76e-18
132.81,2.47e-18
132.84,2.16e-18
132.88,1.97e-18
132.92,1.75e-18
133.1,1.7e-18
133.22,1.83e-18
133.24,2.05e-18
133.29,2.24e-18
133.32,2.53e-18
133.37,2.8e-18
133.42,2.97e-18
133.5,3.21e-18
133.62,3.41e-18
133.71,3.28e-18
133.75,2.97e-18
133.79,2.65e-18
133.85,2.4e-18
133.86,2.1e-18
133.97,1.91e-18
134.03,1.77e-18
134.17,1.63e-18
134.28,1.55e-18
134.44,1.58e-18
134.5,1.64e-18
134.51,1.75e-18
134.56,1.83e-18
134.58,1.91e-18
