λ,σ,Δσ
110.06,4.43e-18,NaN
110.16,4.05e-18,NaN
110.21,3.94e-18,NaN
110.32,4.24e-18,NaN
110.38,3.6e-18,NaN
110.44,4.13e-18,NaN
110.5,4.35e-18,NaN
110.6,4.39e-18,NaN
110.72,5.06e-18,NaN
110.78,4.84e-18,NaN
110.83,5.77e-18,NaN
110.89,6.1e-18,NaN
110.99,6.77e-18,NaN
111.05,6.36e-18,NaN
111.16,5.77e-18,NaN
111.24,5.21e-18,NaN
111.32,5.02e-18,NaN
111.44,4.61e-18,NaN
111.51,4.61e-18,NaN
111.65,4.39e-18,NaN
111.75,4.02e-18,NaN
111.79,3.87e-18,NaN
111.83,3.83e-18,NaN
111.91,3.83e-18,NaN
111.96,3.72e-18,NaN
112.13,3.7e-18,NaN
112.25,3.41e-18,NaN
112.4,3.36e-18,NaN
112.48,3.44e-18,NaN
112.51,3.23e-18,NaN
112.6,3.27e-18,NaN
112.62,3.37e-18,NaN
112.69,3.29e-18,NaN
112.73,4.24e-18,NaN
112.83,3.62e-18,NaN
112.91,3.79e-18,NaN
112.96,3.11e-18,NaN
113.04,3.2e-18,NaN
113.14,3.07e-18,NaN
113.19,2.75e-18,NaN
113.28,2.78e-18,NaN
113.33,2.69e-18,NaN
113.38,2.72e-18,NaN
113.43,2.84e-18,NaN
113.54,3.13e-18,NaN
113.6,2.99e-18,NaN
113.66,3.39e-18,NaN
113.75,3.79e-18,NaN
113.8,3.63e-18,NaN
113.87,3.61e-18,NaN
114.0,3.29e-18,NaN
114.12,2.94e-18,NaN
114.17,3.17e-18,NaN
114.31,3.42e-18,NaN
114.44,3.31e-18,NaN
114.47,3.43e-18,NaN
114.6,3.14e-18,NaN
114.78,3.36e-18,NaN
114.86,3.03e-18,NaN
115.01,3.07e-18,NaN
115.09,2.85e-18,NaN
115.21,3.07e-18,NaN
115.38,3.21e-18,NaN
115.49,3.02e-18,NaN
115.59,3.12e-18,NaN
115.65,2.89e-18,NaN
115.7,2.89e-18,NaN
115.74,3.12e-18,NaN
115.81,3.12e-18,NaN
115.87,2.6e-18,NaN
115.98,2.74e-18,NaN
116.07,2.8e-18,NaN
116.13,2.52e-18,NaN
116.29,2.69e-18,NaN
116.39,2.48e-18,NaN
116.49,2.8e-18,NaN
116.61,2.51e-18,NaN
116.68,2.78e-18,NaN
116.72,2.65e-18,NaN
116.82,2.58e-18,NaN
116.88,2.59e-18,NaN
116.91,2.51e-18,NaN
117.06,2.88e-18,NaN
117.21,2.73e-18,NaN
117.32,3.29e-18,NaN
117.44,2.6e-18,NaN
117.59,2.51e-18,NaN
117.68,2.4e-18,NaN
117.73,2.57e-18,NaN
117.83,2.45e-18,NaN
117.92,2.73e-18,NaN
118.05,2.4e-18,NaN
118.13,2.36e-18,NaN
118.19,2.44e-18,NaN
118.25,2.34e-18,NaN
118.31,2.34e-18,NaN
118.44,2.36e-18,NaN
118.55,2.75e-18,NaN
118.66,2.82e-18,NaN
118.71,2.72e-18,NaN
118.79,2.48e-18,NaN
118.89,2.37e-18,NaN
118.94,2.34e-18,NaN
119.1,2.6e-18,NaN
119.17,2.24e-18,NaN
119.25,2.45e-18,NaN
119.33,2.22e-18,NaN
119.43,2.16e-18,NaN
119.46,2.16e-18,NaN
119.51,2.24e-18,NaN
119.65,2.33e-18,NaN
119.84,2.17e-18,NaN
119.9,2.29e-18,NaN
119.95,2.26e-18,NaN
120.06,2.38e-18,NaN
120.18,2.19e-18,NaN
120.26,2.19e-18,NaN
120.39,2.25e-18,NaN
120.49,2.08e-18,NaN
120.61,2.1e-18,NaN
120.66,2.08e-18,NaN
120.75,1.97e-18,NaN
120.89,2.2e-18,NaN
120.92,2.15e-18,NaN
121.07,2.27e-18,NaN
121.14,2.12e-18,NaN
121.29,2.42e-18,NaN
121.4,2.59e-18,NaN
121.57,2.43e-18,NaN
121.65,2.33e-18,NaN
121.74,2.39e-18,NaN
121.9,2.11e-18,NaN
122.11,2.19e-18,NaN
122.2,2.57e-18,NaN
122.35,2.08e-18,NaN
122.49,2.53e-18,NaN
122.56,2.28e-18,NaN
122.61,2.33e-18,NaN
122.71,2.72e-18,NaN
122.83,1.98e-18,NaN
122.9,1.83e-18,NaN
123.01,1.89e-18,NaN
123.2,2.17e-18,NaN
123.32,2.44e-18,NaN
123.36,2.12e-18,NaN
123.42,2.12e-18,NaN
123.53,2.28e-18,NaN
123.57,2.12e-18,NaN
123.64,2.4e-18,NaN
123.8,2.09e-18,NaN
123.84,2.04e-18,NaN
123.89,2.1e-18,NaN
123.96,1.91e-18,NaN
124.14,1.96e-18,NaN
124.3,2.14e-18,NaN
124.35,1.9e-18,NaN
124.44,2.46e-18,NaN
124.52,1.98e-18,NaN
124.59,1.99e-18,NaN
124.62,1.92e-18,NaN
124.73,2.04e-18,NaN
124.93,2.67e-18,NaN
124.98,2.79e-18,NaN
125.09,2.62e-18,NaN
125.13,2.7e-18,NaN
125.2,2.15e-18,NaN
