λ,σ,Δσ
15.5,7.22e-18,NaN
16.53,8.25e-18,NaN
17.71,9.27e-18,NaN
19.07,1.06e-17,NaN
20.66,1.22e-17,NaN
22.54,1.43e-17,NaN
24.8,1.7e-17,NaN
25.3,1.77e-17,NaN
25.83,1.84e-17,NaN
26.38,1.89e-17,NaN
26.95,1.95e-17,NaN
27.55,1.98e-17,NaN
28.18,2.02e-17,NaN
28.83,2.05e-17,NaN
29.52,2.1e-17,NaN
30.24,2.15e-17,NaN
31.0,2.22e-17,NaN
31.79,2.31e-17,NaN
32.63,2.4e-17,NaN
33.51,2.48e-17,NaN
34.44,2.53e-17,NaN
35.42,2.58e-17,NaN
36.47,2.64e-17,NaN
37.57,2.7e-17,NaN
38.75,2.79e-17,NaN
39.99,2.85e-17,NaN
41.33,2.94e-17,NaN
42.03,2.98e-17,NaN
42.75,3.02e-17,NaN
43.5,3.04e-17,NaN
44.28,3.08e-17,NaN
45.09,3.15e-17,NaN
45.92,3.18e-17,NaN
46.79,3.23e-17,NaN
47.69,3.31e-17,NaN
48.62,3.4e-17,NaN
49.59,3.48e-17,NaN
50.61,3.6e-17,NaN
51.66,3.75e-17,NaN
52.76,3.89e-17,NaN
53.91,4.0e-17,NaN
55.1,4.12e-17,NaN
56.36,4.18e-17,NaN
57.67,4.19e-17,NaN
59.04,4.15e-17,NaN
60.48,4.09e-17,NaN
61.99,4.0e-17,NaN
63.58,3.81e-17,NaN
65.25,3.64e-17,NaN
67.02,3.64e-17,NaN
68.88,3.43e-17,NaN
70.85,3.31e-17,NaN
72.93,3.01e-17,NaN
75.14,2.59e-17,NaN
77.49,2.47e-17,NaN
79.99,2.46e-17,NaN
82.66,2.6e-17,NaN
85.51,2.5e-17,NaN
88.56,2.17e-17,NaN
91.84,1.9e-17,NaN
95.37,1.81e-17,NaN
99.19,1.79e-17,NaN
103.32,1.65e-17,NaN
107.81,1.47e-17,NaN
112.71,1.25e-17,NaN
118.08,1.13e-17,NaN
123.98,1.62e-17,NaN
130.51,1.59e-17,NaN
137.76,1.2e-17,NaN
145.86,1.26e-17,NaN
154.98,1.25e-17,NaN
165.31,1.16e-17,NaN
177.12,6.8e-18,NaN
190.75,1.8e-18,NaN
206.64,3.4e-19,NaN
225.43,5.16e-19,NaN
247.97,4.39e-20,NaN
275.52,6.59e-20,NaN
354.24,2.52e-19,NaN
413.28,7.9e-19,NaN
413.28,6.15e-19,NaN
495.94,3.4e-19,NaN
619.92,3.29e-20,NaN
826.56,0.0,NaN
