λ,σ,Δσ
290.0,6.77e-20,NaN
290.125,6.32e-20,NaN
290.25,6.4e-20,NaN
290.375,7.59e-20,NaN
290.5,5.95e-20,NaN
290.625,5.95e-20,NaN
290.75,5.17e-20,NaN
290.875,7.51e-20,NaN
291.0,7.48e-20,NaN
291.125,7.48e-20,NaN
291.25,7.48e-20,NaN
291.375,6.4e-20,NaN
291.5,7.11e-20,NaN
291.625,9.82e-20,NaN
291.75,7.66e-20,NaN
291.875,7.22e-20,NaN
292.0,8.04e-20,NaN
292.125,5.8e-20,NaN
292.25,7.59e-20,NaN
292.375,9.75e-20,NaN
292.5,8.78e-20,NaN
292.625,8.67e-20,NaN
292.75,8.07e-20,NaN
292.875,8.44e-20,NaN
293.0,7.29e-20,NaN
293.125,8.56e-20,NaN
293.25,8.44e-20,NaN
293.375,6.84e-20,NaN
293.5,8.04e-20,NaN
293.625,5.58e-20,NaN
293.75,8.18e-20,NaN
293.875,9.3e-20,NaN
294.0,8.78e-20,NaN
294.125,7.51e-20,NaN
294.25,6.55e-20,NaN
294.375,9.45e-20,NaN
294.5,6.92e-20,NaN
294.625,9.04e-20,NaN
294.75,1.0e-19,NaN
294.875,9.9e-20,NaN
295.0,8.52e-20,NaN
295.125,9.34e-20,NaN
295.25,7.48e-20,NaN
295.375,6.1e-20,NaN
295.5,8.52e-20,NaN
295.625,8.59e-20,NaN
295.75,7.14e-20,NaN
295.875,8.48e-20,NaN
296.0,1.03e-19,NaN
296.125,8.18e-20,NaN
296.25,9.52e-20,NaN
296.375,9.41e-20,NaN
296.5,8.93e-20,NaN
296.625,1.03e-19,NaN
296.75,9.37e-20,NaN
296.875,9.11e-20,NaN
297.0,1.11e-19,NaN
297.125,1.08e-19,NaN
297.25,1.21e-19,NaN
297.375,1.17e-19,NaN
297.5,1.16e-19,NaN
297.625,1.08e-19,NaN
297.75,1.17e-19,NaN
297.875,1.44e-19,NaN
298.0,1.15e-19,NaN
298.125,1.1e-19,NaN
298.25,1.05e-19,NaN
298.375,9.67e-20,NaN
298.5,1.14e-19,NaN
298.625,1.25e-19,NaN
298.75,1.01e-19,NaN
298.875,1.1e-19,NaN
299.0,1.39e-19,NaN
299.125,1.12e-19,NaN
299.25,1.03e-19,NaN
299.375,1.12e-19,NaN
299.5,1.24e-19,NaN
299.625,1.18e-19,NaN
299.75,1.06e-19,NaN
299.875,1.06e-19,NaN
300.0,1.09e-19,NaN
300.125,1.11e-19,NaN
300.25,8.82e-20,NaN
300.375,1.11e-19,NaN
300.5,1.06e-19,NaN
300.625,1.24e-19,NaN
300.75,1.13e-19,NaN
300.875,1.1e-19,NaN
301.0,1.22e-19,NaN
301.125,1.21e-19,NaN
301.25,1.01e-19,NaN
301.375,1.11e-19,NaN
301.5,1.01e-19,NaN
301.625,1.13e-19,NaN
301.75,1.44e-19,NaN
301.875,1.26e-19,NaN
302.0,1.31e-19,NaN
302.125,1.27e-19,NaN
302.25,1.32e-19,NaN
302.375,1.21e-19,NaN
302.5,1.38e-19,NaN
302.625,1.43e-19,NaN
302.75,1.27e-19,NaN
302.875,1.56e-19,NaN
303.0,1.67e-19,NaN
303.125,1.39e-19,NaN
303.25,1.43e-19,NaN
303.375,1.47e-19,NaN
303.5,1.36e-19,NaN
303.625,1.53e-19,NaN
