λ,σ
231.11145,7.71431e-20
231.23798,7.41593e-20
231.36443,7.66069e-20
231.49081,8.28046e-20
231.61711,9.04159e-20
231.74335,7.33126e-20
231.86951,8.27277e-20
231.99562,7.53286e-20
232.12164,8.20847e-20
232.24762,9.02618e-20
232.37349,9.7855e-20
232.49933,1.00816e-19
232.62508,1.08903e-19
232.75078,1.19481e-19
232.87639,1.60031e-19
233.00195,1.73063e-19
233.12743,1.87961e-19
233.25284,1.81691e-19
233.37819,1.69748e-19
233.50348,1.53252e-19
233.62869,1.41889e-19
233.75385,1.33876e-19
233.87892,1.2695e-19
234.00394,1.24518e-19
234.12889,1.19196e-19
234.25377,1.15679e-19
234.37859,1.12015e-19
234.50333,1.09341e-19
234.62802,1.08401e-19
234.75264,1.12187e-19
234.8772,1.24347e-19
235.00169,1.45589e-19
235.12611,1.70281e-19
235.25046,1.94117e-19
235.37476,2.13575e-19
235.49899,2.17882e-19
235.62315,2.05062e-19
235.74727,1.82866e-19
235.87129,1.61507e-19
235.99527,1.43002e-19
236.11917,1.33204e-19
236.24303,1.36412e-19
236.36681,1.48143e-19
236.49054,1.56972e-19
236.61418,1.58331e-19
236.73778,1.55003e-19
236.86131,1.51369e-19
236.98477,1.5236e-19
237.10818,1.58444e-19
237.23152,1.67583e-19
237.3548,1.77642e-19
237.47803,1.84356e-19
237.60118,1.86011e-19
237.72427,1.80696e-19
237.84732,1.69179e-19
237.97028,1.53914e-19
238.09319,1.37705e-19
238.21605,1.22146e-19
238.33884,1.07645e-19
238.46156,9.45872e-20
238.58423,8.31673e-20
238.70683,7.49033e-20
238.82939,7.22493e-20
238.95187,7.87595e-20
239.07431,9.82431e-20
239.19667,1.21021e-19
239.31898,1.30349e-19
239.44124,1.24953e-19
239.56343,1.11795e-19
239.68556,9.71128e-20
239.80763,8.39673e-20
239.92963,7.28886e-20
240.05159,6.36114e-20
240.17349,5.702e-20
240.29533,5.1808e-20
240.41711,4.82669e-20
240.53882,4.49953e-20
240.66049,4.17431e-20
240.78209,3.80717e-20
240.90364,3.47735e-20
241.02515,3.16775e-20
241.14656,2.96073e-20
241.26794,2.8048e-20
241.38927,2.73477e-20
241.51053,2.79004e-20
241.63174,2.99544e-20
241.75287,3.49567e-20
241.87398,4.87021e-20
241.99501,7.92497e-20
242.116,1.24525e-19
242.23692,1.60437e-19
242.35777,1.67299e-19
242.47859,1.50015e-19
242.59935,1.23978e-19
242.72006,9.95058e-20
242.84071,8.18005e-20
242.9613,7.20863e-20
243.08183,7.00575e-20
243.20233,7.00439e-20
243.32275,6.61629e-20
243.44313,5.89354e-20
243.56346,5.11187e-20
243.68372,4.39109e-20
243.80392,3.86585e-20
243.92409,3.43583e-20
244.04419,3.14837e-20
244.16425,2.94047e-20
244.28424,2.82274e-20
244.40419,2.80074e-20
244.52408,2.97534e-20
244.64392,3.57187e-20
244.7637,4.89126e-20
244.88342,5.94569e-20
245.00311,5.71374e-20
245.12274,4.81802e-20
245.24232,3.97849e-20
245.36185,3.29528e-20
245.48131,2.84476e-20
245.60074,2.49554e-20
245.72011,2.33412e-20
245.83943,2.58535e-20
245.95869,4.30894e-20
246.07791,5.59058e-20
246.19707,4.90264e-20
