λ,σ
231.04039,7.16002e-20
231.16689,6.67698e-20
231.2933,7.39049e-20
231.41966,7.09413e-20
231.54593,6.84968e-20
231.67215,7.50746e-20
231.79828,7.73149e-20
231.92436,7.48148e-20
232.05035,7.34115e-20
232.1763,7.64278e-20
232.30215,7.78437e-20
232.42796,7.75531e-20
232.55368,8.02224e-20
232.67935,9.55062e-20
232.80493,1.11243e-19
232.93047,1.36384e-19
233.05592,1.54238e-19
233.1813,1.5936e-19
233.30663,1.54214e-19
233.43188,1.46631e-19
233.55707,1.38672e-19
233.68219,1.31683e-19
233.80725,1.26648e-19
233.93224,1.22685e-19
234.05716,1.19081e-19
234.18201,1.15099e-19
234.30679,1.11197e-19
234.43152,1.0825e-19
234.55618,1.07313e-19
234.68077,1.10258e-19
234.8053,1.19808e-19
234.92976,1.37387e-19
235.05415,1.58765e-19
235.17848,1.79399e-19
235.30275,1.96288e-19
235.42696,2.02115e-19
235.55109,1.92415e-19
235.67517,1.75291e-19
235.79918,1.57158e-19
235.92313,1.41692e-19
236.047,1.32781e-19
236.17082,1.34322e-19
236.29457,1.43603e-19
236.41827,1.51131e-19
236.5419,1.52316e-19
236.66547,1.49386e-19
236.78897,1.46787e-19
236.9124,1.47298e-19
237.03578,1.51835e-19
237.1591,1.59422e-19
237.28235,1.67726e-19
237.40555,1.73834e-19
237.52867,1.75563e-19
237.65173,1.71662e-19
237.77475,1.62036e-19
237.89769,1.49231e-19
238.02057,1.35149e-19
238.1434,1.21312e-19
238.26616,1.08011e-19
238.38885,9.58073e-20
238.51151,8.51471e-20
238.63408,7.71751e-20
238.75661,7.36904e-20
238.87906,7.81345e-20
239.00146,9.36711e-20
239.12381,1.13464e-19
239.24609,1.22881e-19
239.36832,1.18886e-19
239.49048,1.08242e-19
239.61258,9.56879e-20
239.73462,8.38935e-20
239.8566,7.3734e-20
239.97853,6.5351e-20
240.1004,5.86754e-20
240.22221,5.35767e-20
240.34396,4.97508e-20
240.46565,4.64862e-20
240.5873,4.30747e-20
240.70886,3.95526e-20
240.83038,3.61299e-20
240.95186,3.30755e-20
241.07326,3.07082e-20
241.19461,2.91636e-20
241.3159,2.84131e-20
241.43713,2.86277e-20
241.55832,3.02004e-20
241.67943,3.45494e-20
241.80051,4.52774e-20
241.92151,6.96478e-20
242.04247,1.08338e-19
242.16336,1.42612e-19
242.28419,1.51814e-19
242.40498,1.38862e-19
242.52571,1.17892e-19
242.64639,9.77087e-20
242.76701,8.2234e-20
242.88757,7.29883e-20
243.00809,7.02307e-20
243.12856,6.97402e-20
243.24895,6.59227e-20
243.36929,5.92636e-20
243.48959,5.20205e-20
243.60983,4.53261e-20
243.73001,4.00007e-20
243.85014,3.59163e-20
243.97021,3.28111e-20
244.09024,3.05975e-20
244.21022,2.92477e-20
244.33014,2.87657e-20
244.45,2.98363e-20
244.56981,3.46789e-20
244.68956,4.58442e-20
244.80927,5.55522e-20
244.92892,5.41902e-20
245.04852,4.69215e-20
245.16808,3.96936e-20
245.28757,3.37022e-20
245.40701,2.93583e-20
245.52641,2.58794e-20
245.64575,2.4228e-20
245.76505,2.54594e-20
245.88428,3.89912e-20
246.00348,5.13073e-20
246.1226,4.62521e-20
246.2417,3.91318e-20
246.36073,3.29974e-20
246.47972,2.92917e-20
246.59865,2.55122e-20
246.71753,2.40952e-20
246.83638,2.22319e-20
246.95515,2.073e-20
247.0739,2.02539e-20
247.19258,1.88756e-20
247.31122,1.83508e-20
247.42979,1.80667e-20
247.54834,1.73768e-20
247.66682,1.7103e-20
247.78526,1.70581e-20
247.90366,1.67341e-20
248.02199,1.64481e-20
248.14029,1.64273e-20
248.25853,1.6378e-20
248.37672,1.62618e-20
248.49487,1.62555e-20
248.61298,1.63559e-20
248.73102,1.6508e-20
248.84903,1.68727e-20
248.96698,1.98069e-20
249.0849,3.82709e-20
249.20276,5.85958e-20
249.32057,5.53686e-20
249.43834,4.74329e-20
249.55606,3.99793e-20
249.67374,3.45863e-20
249.79137,2.98123e-20
249.90895,2.66455e-20
250.02647,2.52928e-20
250.14397,2.21324e-20
250.26141,2.22848e-20
250.37881,2.07862e-20
250.49615,1.9524e-20
250.61346,1.98753e-20
250.73073,1.90903e-20
250.84795,1.82784e-20
250.96512,1.83307e-20
251.08223,1.82008e-20
251.19931,1.7675e-20
251.31635,1.74322e-20
251.43333,1.75143e-20
251.55028,1.7358e-20
251.66719,1.71763e-20
251.78404,1.71427e-20
251.90085,1.73209e-20
252.01762,1.73678e-20
252.13435,1.74422e-20
252.25102,1.75054e-20
252.36766,1.76186e-20
252.48427,1.7715e-20
252.60081,1.77351e-20
252.71732,1.78394e-20
252.83379,1.8003e-20
252.95021,1.81835e-20
253.06659,1.82773e-20
253.18292,1.82892e-20
253.29921,1.82703e-20
253.41547,1.82949e-20
253.53168,1.83071e-20
253.64784,1.83916e-20
253.76396,1.86083e-20
253.88005,1.90462e-20
253.99609,1.92417e-20
254.11209,1.94141e-20
254.22804,1.94934e-20
254.34396,1.94309e-20
254.45984,1.93234e-20
254.57568,1.92832e-20
254.69147,1.92211e-20
254.80722,1.9234e-20
254.92294,1.92319e-20
255.0386,1.92742e-20
255.15424,1.93589e-20
