λ,σ,Δσ
263.8,2.99e-20,NaN
264.3,3.636e-20,NaN
264.8,3.182e-20,NaN
265.3,3.541e-20,NaN
265.8,3.292e-20,NaN
266.4,3.698e-20,NaN
266.9,3.385e-20,NaN
267.4,3.636e-20,NaN
267.9,3.484e-20,NaN
268.4,3.914e-20,NaN
268.9,3.641e-20,NaN
269.4,3.943e-20,NaN
270.0,3.801e-20,NaN
270.5,4.14e-20,NaN
271.0,3.898e-20,NaN
271.5,4.197e-20,NaN
272.0,4.105e-20,NaN
272.5,4.421e-20,NaN
273.0,4.245e-20,NaN
273.6,4.598e-20,NaN
274.1,4.491e-20,NaN
274.6,4.787e-20,NaN
275.1,4.608e-20,NaN
275.6,4.825e-20,NaN
276.1,4.81e-20,NaN
276.6,5.147e-20,NaN
277.2,5.001e-20,NaN
277.7,5.275e-20,NaN
278.2,5.316e-20,NaN
278.7,5.684e-20,NaN
279.2,5.603e-20,NaN
279.7,5.847e-20,NaN
280.2,5.83e-20,NaN
280.8,6.126e-20,NaN
281.3,5.969e-20,NaN
281.8,6.18e-20,NaN
282.3,6.178e-20,NaN
282.8,6.563e-20,NaN
283.3,6.624e-20,NaN
283.8,6.902e-20,NaN
284.4,7.011e-20,NaN
284.9,7.41e-20,NaN
285.4,7.38e-20,NaN
285.9,7.566e-20,NaN
286.4,7.482e-20,NaN
286.9,7.744e-20,NaN
287.4,7.756e-20,NaN
287.9,7.994e-20,NaN
288.5,8.085e-20,NaN
289.0,8.492e-20,NaN
289.5,8.627e-20,NaN
290.0,8.954e-20,NaN
290.5,9.13e-20,NaN
291.0,9.561e-20,NaN
291.5,9.643e-20,NaN
292.1,9.808e-20,NaN
292.6,9.766e-20,NaN
293.1,9.987e-20,NaN
293.6,1.004e-19,NaN
294.1,1.032e-19,NaN
294.6,1.042e-19,NaN
295.1,1.081e-19,NaN
295.7,1.105e-19,NaN
296.2,1.167e-19,NaN
296.7,1.207e-19,NaN
297.2,1.242e-19,NaN
297.7,1.233e-19,NaN
298.2,1.241e-19,NaN
298.7,1.248e-19,NaN
299.3,1.272e-19,NaN
299.8,1.267e-19,NaN
300.3,1.291e-19,NaN
300.8,1.316e-19,NaN
301.3,1.378e-19,NaN
301.8,1.415e-19,NaN
302.3,1.467e-19,NaN
302.9,1.494e-19,NaN
303.4,1.525e-19,NaN
303.9,1.532e-19,NaN
304.4,1.556e-19,NaN
304.9,1.565e-19,NaN
305.4,1.593e-19,NaN
305.9,1.605e-19,NaN
306.5,1.647e-19,NaN
307.0,1.663e-19,NaN
307.5,1.699e-19,NaN
308.0,1.726e-19,NaN
308.5,1.784e-19,NaN
309.0,1.816e-19,NaN
309.5,1.852e-19,NaN
310.1,1.866e-19,NaN
310.6,1.909e-19,NaN
311.1,1.946e-19,NaN
311.6,1.997e-19,NaN
312.1,2.004e-19,NaN
312.6,2.015e-19,NaN
313.1,2.02e-19,NaN
313.6,2.07e-19,NaN
314.2,2.102e-19,NaN
314.7,2.149e-19,NaN
315.2,2.158e-19,NaN
315.7,2.19e-19,NaN
316.2,2.231e-19,NaN
316.7,2.301e-19,NaN
317.2,2.345e-19,NaN
317.8,2.38e-19,NaN
318.3,2.375e-19,NaN
318.8,2.415e-19,NaN
319.3,2.449e-19,NaN
319.8,2.502e-19,NaN
320.3,2.504e-19,NaN
320.8,2.523e-19,NaN
321.4,2.557e-19,NaN
321.9,2.623e-19,NaN
322.4,2.64e-19,NaN
322.9,2.674e-19,NaN
323.4,2.679e-19,NaN
323.9,2.737e-19,NaN
324.4,2.782e-19,NaN
325.0,2.84e-19,NaN
325.5,2.865e-19,NaN
326.0,2.905e-19,NaN
326.5,2.912e-19,NaN
327.0,2.96e-19,NaN
327.5,2.96e-19,NaN
328.0,3.015e-19,NaN
328.6,3.042e-19,NaN
329.1,3.099e-19,NaN
329.6,3.1e-19,NaN
330.1,3.127e-19,NaN
330.6,3.131e-19,NaN
331.1,3.201e-19,NaN
331.6,3.281e-19,NaN
332.2,3.399e-19,NaN
332.7,3.398e-19,NaN
333.2,3.375e-19,NaN
333.7,3.341e-19,NaN
334.2,3.397e-19,NaN
334.7,3.414e-19,NaN
335.2,3.464e-19,NaN
335.7,3.474e-19,NaN
336.3,3.509e-19,NaN
336.8,3.488e-19,NaN
337.3,3.57e-19,NaN
337.8,3.676e-19,NaN
