λ,σ
345.484,3.237e-19
345.485,3.231e-19
345.486,3.224e-19
345.486,3.195e-19
345.487,3.142e-19
345.488,3.087e-19
345.488,3.063e-19
345.489,3.103e-19
345.49,3.207e-19
345.49,3.336e-19
345.491,3.435e-19
345.492,3.478e-19
345.492,3.485e-19
345.493,3.497e-19
345.494,3.535e-19
345.495,3.579e-19
345.495,3.603e-19
345.496,3.604e-19
345.497,3.599e-19
345.497,3.582e-19
345.498,3.506e-19
345.499,3.334e-19
345.499,3.112e-19
345.5,2.973e-19
345.501,3.039e-19
345.501,3.3e-19
345.502,3.587e-19
345.503,3.689e-19
345.504,3.536e-19
345.504,3.256e-19
345.505,3.055e-19
345.506,3.028e-19
345.506,3.119e-19
345.507,3.216e-19
345.508,3.279e-19
345.508,3.358e-19
345.509,3.485e-19
345.51,3.584e-19
345.511,3.522e-19
345.511,3.264e-19
345.512,2.949e-19
345.513,2.774e-19
345.513,2.812e-19
345.514,2.956e-19
345.515,3.026e-19
345.515,2.959e-19
345.516,2.858e-19
345.517,2.863e-19
345.517,2.987e-19
345.518,3.108e-19
345.519,3.108e-19
345.52,3.015e-19
345.52,2.971e-19
345.521,3.072e-19
345.522,3.27e-19
345.522,3.42e-19
345.523,3.439e-19
345.524,3.384e-19
345.524,3.375e-19
345.525,3.446e-19
345.526,3.518e-19
345.526,3.496e-19
345.527,3.389e-19
345.528,3.3e-19
345.529,3.309e-19
345.529,3.392e-19
345.53,3.454e-19
345.531,3.429e-19
345.531,3.342e-19
345.532,3.254e-19
345.533,3.191e-19
345.533,3.129e-19
345.534,3.054e-19
345.535,3.002e-19
345.536,3.021e-19
345.536,3.102e-19
345.537,3.184e-19
345.538,3.218e-19
345.538,3.229e-19
345.539,3.279e-19
345.54,3.366e-19
345.54,3.399e-19
345.541,3.293e-19
345.542,3.091e-19
345.542,2.965e-19
345.543,3.06e-19
345.544,3.349e-19
345.545,3.626e-19
345.545,3.687e-19
345.546,3.511e-19
345.547,3.277e-19
345.547,3.174e-19
345.548,3.241e-19
345.549,3.356e-19
345.549,3.38e-19
345.55,3.288e-19
345.551,3.172e-19
345.551,3.124e-19
345.552,3.145e-19
345.553,3.165e-19
345.554,3.137e-19
345.554,3.09e-19
345.555,3.089e-19
345.556,3.155e-19
345.556,3.241e-19
345.557,3.279e-19
345.558,3.25e-19
345.558,3.203e-19
345.559,3.199e-19
345.56,3.252e-19
345.561,3.317e-19
345.561,3.333e-19
345.562,3.287e-19
345.563,3.22e-19
345.563,3.193e-19
345.564,3.229e-19
345.565,3.295e-19
345.565,3.334e-19
345.566,3.311e-19
345.567,3.247e-19
345.567,3.191e-19
345.568,3.18e-19
345.569,3.205e-19
345.57,3.232e-19
345.57,3.236e-19
345.571,3.229e-19
345.572,3.232e-19
345.572,3.252e-19
345.573,3.272e-19
345.574,3.281e-19
345.574,3.301e-19
345.575,3.36e-19
345.576,3.455e-19
345.577,3.528e-19
345.577,3.519e-19
345.578,3.424e-19
345.579,3.317e-19
345.579,3.271e-19
345.58,3.287e-19
345.581,3.288e-19
345.581,3.212e-19
345.582,3.094e-19
345.583,3.043e-19
345.583,3.135e-19
345.584,3.326e-19
345.585,3.48e-19
345.586,3.487e-19
345.586,3.368e-19
345.587,3.237e-19
345.588,3.185e-19
345.588,3.204e-19
345.589,3.222e-19
345.59,3.205e-19
345.59,3.193e-19
345.591,3.246e-19
345.592,3.352e-19
345.592,3.423e-19
345.593,3.381e-19
345.594,3.251e-19
345.595,3.147e-19
345.595,3.165e-19
345.596,3.296e-19
345.597,3.434e-19
345.597,3.474e-19
345.598,3.401e-19
345.599,3.289e-19
345.599,3.222e-19
345.6,3.216e-19
345.601,3.226e-19
345.602,3.199e-19
345.602,3.134e-19
345.603,3.078e-19
345.604,3.079e-19
345.604,3.139e-19
345.605,3.21e-19
345.606,3.228e-19
345.606,3.168e-19
345.607,3.067e-19
345.608,3.0e-19
345.608,3.031e-19
345.609,3.162e-19
345.61,3.323e-19
345.611,3.409e-19
345.611,3.355e-19
345.612,3.184e-19
345.613,2.996e-19
345.613,2.899e-19
345.614,2.941e-19
345.615,3.092e-19
345.615,3.269e-19
345.616,3.398e-19
345.617,3.449e-19
345.618,3.444e-19
345.618,3.422e-19
345.619,3.407e-19
345.62,3.395e-19
345.62,3.37e-19
345.621,3.328e-19
345.622,3.284e-19
345.622,3.257e-19
345.623,3.251e-19
345.624,3.253e-19
345.624,3.254e-19
345.625,3.26e-19
345.626,3.284e-19
345.627,3.311e-19
345.627,3.292e-19
345.628,3.185e-19
345.629,3.009e-19
345.629,2.85e-19
345.63,2.808e-19
345.631,2.907e-19
345.631,3.083e-19
345.632,3.237e-19
345.633,3.322e-19
345.633,3.362e-19
345.634,3.398e-19
345.635,3.428e-19
345.636,3.414e-19
345.636,3.337e-19
345.637,3.239e-19
345.638,3.18e-19
345.638,3.179e-19
345.639,3.194e-19
345.64,3.187e-19
345.64,3.183e-19
345.641,3.243e-19
345.642,3.366e-19
345.643,3.454e-19
345.643,3.383e-19
345.644,3.155e-19
345.645,2.922e-19
345.645,2.863e-19
345.646,3.016e-19
345.647,3.234e-19
345.647,3.326e-19
345.648,3.242e-19
345.649,3.117e-19
345.649,3.112e-19
345.65,3.253e-19
345.651,3.415e-19
345.652,3.459e-19
345.652,3.374e-19
345.653,3.275e-19
345.654,3.262e-19
345.654,3.327e-19
345.655,3.375e-19
345.656,3.341e-19
345.656,3.249e-19
345.657,3.169e-19
345.658,3.138e-19
345.659,3.142e-19
345.659,3.159e-19
345.66,3.187e-19
345.661,3.231e-19
345.661,3.267e-19
345.662,3.26e-19
345.663,3.221e-19
345.663,3.217e-19
345.664,3.305e-19
345.665,3.455e-19
345.665,3.548e-19
345.666,3.491e-19
345.667,3.321e-19
345.668,3.184e-19
345.668,3.204e-19
345.669,3.367e-19
345.67,3.549e-19
345.67,3.629e-19
345.671,3.591e-19
345.672,3.499e-19
345.672,3.407e-19
345.673,3.315e-19
345.674,3.204e-19
345.674,3.102e-19
345.675,3.067e-19
345.676,3.127e-19
345.677,3.242e-19
345.677,3.341e-19
345.678,3.389e-19
345.679,3.409e-19
345.679,3.434e-19
345.68,3.463e-19
345.681,3.465e-19
345.681,3.431e-19
345.682,3.384e-19
345.683,3.339e-19
345.684,3.277e-19
345.684,3.177e-19
345.685,3.074e-19
345.686,3.059e-19
345.686,3.183e-19
345.687,3.382e-19
345.688,3.496e-19
345.688,3.413e-19
345.689,3.191e-19
345.69,3.008e-19
345.69,2.99e-19
345.691,3.097e-19
345.692,3.179e-19
345.693,3.143e-19
345.693,3.053e-19
345.694,3.056e-19
345.695,3.219e-19
345.695,3.459e-19
345.696,3.624e-19
345.697,3.638e-19
345.697,3.544e-19
345.698,3.43e-19
345.699,3.324e-19
345.7,3.203e-19
345.7,3.068e-19
345.701,2.991e-19
345.702,3.045e-19
345.702,3.215e-19
345.703,3.395e-19
345.704,3.479e-19
345.704,3.461e-19
345.705,3.423e-19
345.706,3.425e-19
345.706,3.433e-19
345.707,3.357e-19
345.708,3.173e-19
345.709,2.98e-19
345.709,2.918e-19
345.71,3.04e-19
345.711,3.257e-19
345.711,3.412e-19
345.712,3.411e-19
345.713,3.291e-19
345.713,3.165e-19
345.714,3.113e-19
345.715,3.132e-19
345.716,3.171e-19
345.716,3.187e-19
345.717,3.178e-19
345.718,3.171e-19
345.718,3.183e-19
345.719,3.223e-19
345.72,3.284e-19
345.72,3.352e-19
345.721,3.398e-19
345.722,3.392e-19
345.722,3.327e-19
345.723,3.246e-19
345.724,3.217e-19
345.725,3.281e-19
345.725,3.414e-19
345.726,3.535e-19
345.727,3.568e-19
345.727,3.509e-19
345.728,3.419e-19
345.729,3.361e-19
345.729,3.343e-19
345.73,3.313e-19
345.731,3.219e-19
345.732,3.078e-19
345.732,2.978e-19
345.733,3.005e-19
345.734,3.168e-19
345.734,3.385e-19
345.735,3.54e-19
345.736,3.573e-19
345.736,3.514e-19
345.737,3.438e-19
345.738,3.394e-19
345.738,3.366e-19
345.739,3.301e-19
345.74,3.178e-19
345.741,3.04e-19
345.741,2.971e-19
345.742,3.028e-19
345.743,3.19e-19
345.743,3.36e-19
345.744,3.429e-19
345.745,3.357e-19
345.745,3.203e-19
345.746,3.075e-19
345.747,3.038e-19
345.747,3.059e-19
345.748,3.044e-19
345.749,2.946e-19
345.75,2.83e-19
345.75,2.829e-19
345.751,3.009e-19
345.752,3.292e-19
345.752,3.493e-19
345.753,3.485e-19
345.754,3.315e-19
345.754,3.155e-19
345.755,3.131e-19
345.756,3.213e-19
345.757,3.261e-19
345.757,3.188e-19
345.758,3.056e-19
345.759,3.006e-19
345.759,3.096e-19
345.76,3.245e-19
345.761,3.316e-19
345.761,3.271e-19
345.762,3.198e-19
345.763,3.199e-19
345.763,3.271e-19
345.764,3.315e-19
345.765,3.256e-19
345.766,3.137e-19
345.766,3.072e-19
345.767,3.117e-19
345.768,3.212e-19
345.768,3.262e-19
345.769,3.247e-19
345.77,3.241e-19
345.77,3.3e-19
345.771,3.378e-19
345.772,3.368e-19
345.773,3.228e-19
345.773,3.05e-19
345.774,2.966e-19
345.775,3.019e-19
345.775,3.125e-19
345.776,3.185e-19
345.777,3.204e-19
345.777,3.274e-19
345.778,3.447e-19
345.779,3.638e-19
345.779,3.688e-19
345.78,3.534e-19
345.781,3.287e-19
345.782,3.136e-19
345.782,3.171e-19
345.783,3.317e-19
345.784,3.425e-19
345.784,3.406e-19
345.785,3.293e-19
345.786,3.175e-19
345.786,3.11e-19
345.787,3.103e-19
345.788,3.147e-19
345.789,3.241e-19
345.789,3.367e-19
345.79,3.472e-19
345.791,3.505e-19
345.791,3.48e-19
