λ,σ,Δσ
313.1,1.98e-19,NaN
313.25,1.925e-19,NaN
313.39,1.898e-19,NaN
313.54,1.899e-19,NaN
313.69,1.889e-19,NaN
313.84,1.907e-19,NaN
313.99,1.91e-19,NaN
314.14,1.947e-19,NaN
314.28,1.961e-19,NaN
314.43,2.011e-19,NaN
314.58,2.033e-19,NaN
314.73,2.089e-19,NaN
314.88,2.1e-19,NaN
315.02,2.118e-19,NaN
315.17,2.101e-19,NaN
315.32,2.096e-19,NaN
315.47,2.069e-19,NaN
315.62,2.068e-19,NaN
315.76,2.046e-19,NaN
315.91,2.048e-19,NaN
316.06,2.033e-19,NaN
316.21,2.049e-19,NaN
316.36,2.044e-19,NaN
316.51,2.077e-19,NaN
316.65,2.093e-19,NaN
316.8,2.138e-19,NaN
316.95,2.163e-19,NaN
317.1,2.22e-19,NaN
317.25,2.246e-19,NaN
317.39,2.305e-19,NaN
317.54,2.322e-19,NaN
317.69,2.357e-19,NaN
317.84,2.347e-19,NaN
317.99,2.358e-19,NaN
318.13,2.338e-19,NaN
318.28,2.333e-19,NaN
318.43,2.303e-19,NaN
318.58,2.295e-19,NaN
318.73,2.265e-19,NaN
318.87,2.268e-19,NaN
319.02,2.253e-19,NaN
319.17,2.276e-19,NaN
319.32,2.271e-19,NaN
319.47,2.317e-19,NaN
319.61,2.339e-19,NaN
319.76,2.403e-19,NaN
319.91,2.429e-19,NaN
320.06,2.485e-19,NaN
320.21,2.49e-19,NaN
320.35,2.501e-19,NaN
320.5,2.468e-19,NaN
320.65,2.453e-19,NaN
320.8,2.409e-19,NaN
320.95,2.4e-19,NaN
321.09,2.376e-19,NaN
321.24,2.378e-19,NaN
321.39,2.37e-19,NaN
321.54,2.396e-19,NaN
321.69,2.405e-19,NaN
321.83,2.447e-19,NaN
321.98,2.464e-19,NaN
322.13,2.51e-19,NaN
322.28,2.527e-19,NaN
322.43,2.568e-19,NaN
322.57,2.572e-19,NaN
322.72,2.596e-19,NaN
322.87,2.593e-19,NaN
323.02,2.607e-19,NaN
323.16,2.586e-19,NaN
323.31,2.589e-19,NaN
323.46,2.57e-19,NaN
323.61,2.573e-19,NaN
323.76,2.555e-19,NaN
323.9,2.559e-19,NaN
324.05,2.539e-19,NaN
324.2,2.555e-19,NaN
324.35,2.549e-19,NaN
324.5,2.589e-19,NaN
324.64,2.609e-19,NaN
324.79,2.667e-19,NaN
324.94,2.702e-19,NaN
325.09,2.763e-19,NaN
