λ,σ,Δσ
320.0,2.386e-19,NaN
325.0,2.697e-19,NaN
330.0,2.981e-19,NaN
335.0,3.312e-19,NaN
340.0,3.71e-19,NaN
345.0,3.854e-19,NaN
350.0,4.247e-19,NaN
355.0,4.562e-19,NaN
360.0,4.681e-19,NaN
365.0,5.029e-19,NaN
370.0,5.126e-19,NaN
375.0,5.411e-19,NaN
380.0,5.557e-19,NaN
385.0,5.719e-19,NaN
390.0,6.042e-19,NaN
395.0,5.743e-19,NaN
400.0,6.176e-19,NaN
405.0,5.614e-19,NaN
410.0,5.961e-19,NaN
415.0,5.631e-19,NaN
420.0,5.686e-19,NaN
425.0,5.381e-19,NaN
430.0,5.081e-19,NaN
435.0,5.17e-19,NaN
440.0,4.552e-19,NaN
445.0,4.658e-19,NaN
450.0,4.758e-19,NaN
455.0,4.002e-19,NaN
460.0,4.185e-19,NaN
465.0,3.965e-19,NaN
470.0,3.238e-19,NaN
475.0,3.678e-19,NaN
480.0,3.197e-19,NaN
485.0,2.419e-19,NaN
490.0,2.895e-19,NaN
495.0,2.709e-19,NaN
500.0,1.722e-19,NaN
505.0,2.248e-19,NaN
510.0,2.161e-19,NaN
515.0,1.495e-19,NaN
520.0,1.5e-19,NaN
525.0,1.658e-19,NaN
530.0,1.418e-19,NaN
535.0,9.88e-20,NaN
540.0,1.01e-19,NaN
545.0,1.183e-19,NaN
550.0,1.017e-19,NaN
555.0,7.34e-20,NaN
560.0,5.62e-20,NaN
565.0,7.87e-20,NaN
