λ,σ,Δσ
200.0,1.889e-19,NaN
200.05,2.102e-19,NaN
200.1,2.168e-19,NaN
200.15,2.116e-19,NaN
200.2,2.203e-19,NaN
200.25,2.3e-19,NaN
200.3,2.403e-19,NaN
200.35,2.364e-19,NaN
200.4,2.376e-19,NaN
200.45,2.469e-19,NaN
200.5,2.417e-19,NaN
200.55,2.449e-19,NaN
200.6,2.439e-19,NaN
200.65,2.532e-19,NaN
200.7,2.696e-19,NaN
200.75,2.737e-19,NaN
200.8,2.875e-19,NaN
200.85,2.893e-19,NaN
200.9,2.947e-19,NaN
200.95,3.008e-19,NaN
201.0,3.031e-19,NaN
201.05,2.959e-19,NaN
201.1,3.018e-19,NaN
201.15,2.998e-19,NaN
201.2,2.963e-19,NaN
201.25,2.911e-19,NaN
201.3,2.897e-19,NaN
201.35,2.797e-19,NaN
201.4,2.806e-19,NaN
201.45,2.757e-19,NaN
201.5,2.746e-19,NaN
201.55,2.724e-19,NaN
201.6,2.734e-19,NaN
201.65,2.715e-19,NaN
201.7,2.706e-19,NaN
201.75,2.662e-19,NaN
201.8,2.683e-19,NaN
201.85,2.669e-19,NaN
201.9,2.576e-19,NaN
201.95,2.493e-19,NaN
202.0,2.534e-19,NaN
202.05,2.547e-19,NaN
202.1,2.576e-19,NaN
202.15,2.597e-19,NaN
202.2,2.619e-19,NaN
202.25,2.583e-19,NaN
202.3,2.618e-19,NaN
202.35,2.663e-19,NaN
202.4,2.759e-19,NaN
202.45,2.796e-19,NaN
202.5,2.875e-19,NaN
202.55,2.796e-19,NaN
202.6,2.882e-19,NaN
202.65,2.896e-19,NaN
202.7,2.947e-19,NaN
202.75,3.03e-19,NaN
202.8,3.021e-19,NaN
202.85,2.993e-19,NaN
202.9,3.044e-19,NaN
202.95,2.999e-19,NaN
203.0,3.085e-19,NaN
203.05,3.055e-19,NaN
203.1,3.17e-19,NaN
203.15,3.202e-19,NaN
203.2,3.194e-19,NaN
203.25,3.178e-19,NaN
203.3,3.166e-19,NaN
203.35,3.2e-19,NaN
203.4,3.245e-19,NaN
203.45,3.254e-19,NaN
203.5,3.296e-19,NaN
203.55,3.283e-19,NaN
203.6,3.354e-19,NaN
203.65,3.306e-19,NaN
203.7,3.361e-19,NaN
203.75,3.448e-19,NaN
203.8,3.485e-19,NaN
203.85,3.604e-19,NaN
203.9,3.618e-19,NaN
203.95,3.621e-19,NaN
204.0,3.604e-19,NaN
204.05,3.691e-19,NaN
204.1,3.791e-19,NaN
204.15,3.78e-19,NaN
204.2,3.81e-19,NaN
204.25,3.81e-19,NaN
204.3,3.77e-19,NaN
204.35,3.784e-19,NaN
204.4,3.796e-19,NaN
204.45,3.832e-19,NaN
204.5,3.892e-19,NaN
204.55,3.847e-19,NaN
204.6,3.745e-19,NaN
204.65,3.695e-19,NaN
204.7,3.691e-19,NaN
204.75,3.662e-19,NaN
204.8,3.652e-19,NaN
204.85,3.656e-19,NaN
204.9,3.677e-19,NaN
204.95,3.596e-19,NaN
205.0,3.639e-19,NaN
205.05,3.607e-19,NaN
205.1,3.548e-19,NaN
205.15,3.546e-19,NaN
205.2,3.553e-19,NaN
205.25,3.493e-19,NaN
205.3,3.458e-19,NaN
205.35,3.426e-19,NaN
205.4,3.369e-19,NaN
205.45,3.394e-19,NaN
205.5,3.367e-19,NaN
205.55,3.377e-19,NaN
205.6,3.313e-19,NaN
205.65,3.311e-19,NaN
205.7,3.286e-19,NaN
205.75,3.324e-19,NaN
205.8,3.304e-19,NaN
205.85,3.335e-19,NaN
205.9,3.3e-19,NaN
205.95,3.299e-19,NaN
206.0,3.265e-19,NaN
206.05,3.318e-19,NaN
206.1,3.269e-19,NaN
206.15,3.289e-19,NaN
206.2,3.309e-19,NaN
206.25,3.313e-19,NaN
206.3,3.344e-19,NaN
206.35,3.302e-19,NaN
206.4,3.29e-19,NaN
206.45,3.261e-19,NaN
206.5,3.315e-19,NaN
206.55,3.328e-19,NaN
206.6,3.354e-19,NaN
206.65,3.391e-19,NaN
206.7,3.404e-19,NaN
206.75,3.351e-19,NaN
206.8,3.431e-19,NaN
206.85,3.443e-19,NaN
206.9,3.46e-19,NaN
206.95,3.489e-19,NaN
207.0,3.447e-19,NaN
207.05,3.519e-19,NaN
207.1,3.646e-19,NaN
207.15,3.687e-19,NaN
207.2,3.688e-19,NaN
207.25,3.533e-19,NaN
207.3,3.697e-19,NaN
207.35,3.71e-19,NaN
207.4,3.806e-19,NaN
207.45,3.771e-19,NaN
207.5,3.747e-19,NaN
207.55,3.936e-19,NaN
207.6,3.711e-19,NaN
207.65,3.729e-19,NaN
207.7,3.903e-19,NaN
207.75,3.887e-19,NaN
207.8,4.07e-19,NaN
207.85,4.105e-19,NaN
207.9,4.121e-19,NaN
207.95,4.122e-19,NaN
208.0,4.247e-19,NaN
208.05,4.355e-19,NaN
208.1,4.41e-19,NaN
208.15,4.502e-19,NaN
208.2,4.632e-19,NaN
208.25,4.596e-19,NaN
208.3,4.653e-19,NaN
208.35,4.658e-19,NaN
208.4,4.558e-19,NaN
208.45,4.58e-19,NaN
208.5,4.574e-19,NaN
208.55,4.492e-19,NaN
208.6,4.436e-19,NaN
208.65,4.491e-19,NaN
208.7,4.469e-19,NaN
208.75,4.465e-19,NaN
208.8,4.437e-19,NaN
208.85,4.388e-19,NaN
208.9,4.4e-19,NaN
208.95,4.363e-19,NaN
209.0,4.344e-19,NaN
209.05,4.404e-19,NaN
209.1,4.336e-19,NaN
209.15,4.177e-19,NaN
209.2,4.052e-19,NaN
209.25,4.072e-19,NaN
209.3,3.972e-19,NaN
209.35,4.016e-19,NaN
209.4,4.004e-19,NaN
209.45,3.985e-19,NaN
209.5,3.93e-19,NaN
209.55,3.903e-19,NaN
209.6,3.916e-19,NaN
209.65,3.972e-19,NaN
209.7,4.025e-19,NaN
209.75,4.045e-19,NaN
209.8,4.052e-19,NaN
209.85,4.017e-19,NaN
209.9,3.972e-19,NaN
209.95,4.002e-19,NaN
210.0,3.975e-19,NaN
210.05,3.918e-19,NaN
210.1,3.756e-19,NaN
210.15,3.732e-19,NaN
210.2,3.713e-19,NaN
210.25,3.702e-19,NaN
210.3,3.702e-19,NaN
210.35,3.707e-19,NaN
210.4,3.739e-19,NaN
210.45,3.788e-19,NaN
210.5,3.767e-19,NaN
210.55,3.757e-19,NaN
210.6,3.744e-19,NaN
210.65,3.802e-19,NaN
210.7,3.74e-19,NaN
210.75,3.784e-19,NaN
210.8,3.772e-19,NaN
210.85,3.814e-19,NaN
210.9,3.818e-19,NaN
210.95,3.865e-19,NaN
211.0,3.875e-19,NaN
211.05,3.925e-19,NaN
211.1,3.998e-19,NaN
211.15,4.044e-19,NaN
211.2,4.079e-19,NaN
211.25,4.121e-19,NaN
211.3,4.184e-19,NaN
211.35,4.27e-19,NaN
211.4,4.35e-19,NaN
211.45,4.358e-19,NaN
211.5,4.444e-19,NaN
211.55,4.487e-19,NaN
211.6,4.583e-19,NaN
211.65,4.65e-19,NaN
211.7,4.701e-19,NaN
211.75,4.757e-19,NaN
211.8,4.759e-19,NaN
211.85,4.817e-19,NaN
211.9,4.772e-19,NaN
211.95,4.834e-19,NaN
212.0,4.834e-19,NaN
212.05,4.803e-19,NaN
212.1,4.831e-19,NaN
212.15,4.879e-19,NaN
212.2,4.886e-19,NaN
212.25,4.956e-19,NaN
212.3,4.997e-19,NaN
212.35,5.043e-19,NaN
212.4,5.036e-19,NaN
212.45,5.131e-19,NaN
212.5,5.115e-19,NaN
212.55,5.149e-19,NaN
212.6,5.192e-19,NaN
212.65,5.212e-19,NaN
212.7,5.215e-19,NaN
212.75,5.216e-19,NaN
212.8,5.197e-19,NaN
212.85,5.183e-19,NaN
212.9,5.13e-19,NaN
212.95,5.074e-19,NaN
213.0,4.93e-19,NaN
213.05,4.865e-19,NaN
213.1,4.807e-19,NaN
213.15,4.743e-19,NaN
213.2,4.694e-19,NaN
213.25,4.676e-19,NaN
213.3,4.575e-19,NaN
213.35,4.511e-19,NaN
213.4,4.502e-19,NaN
213.45,4.437e-19,NaN
213.5,4.465e-19,NaN
213.55,4.506e-19,NaN
213.6,4.517e-19,NaN
213.65,4.464e-19,NaN
213.7,4.416e-19,NaN
213.75,4.37e-19,NaN
213.8,4.281e-19,NaN
213.85,4.251e-19,NaN
213.9,4.199e-19,NaN
213.95,4.158e-19,NaN
214.0,4.119e-19,NaN
214.05,4.093e-19,NaN
214.1,4.029e-19,NaN
214.15,4.001e-19,NaN
214.2,3.972e-19,NaN
214.25,3.984e-19,NaN
214.3,3.938e-19,NaN
214.35,3.936e-19,NaN
214.4,3.93e-19,NaN
214.45,3.948e-19,NaN
214.5,3.955e-19,NaN
214.55,3.914e-19,NaN
214.6,3.888e-19,NaN
214.65,3.851e-19,NaN
214.7,3.836e-19,NaN
214.75,3.815e-19,NaN
214.8,3.794e-19,NaN
214.85,3.847e-19,NaN
214.9,3.818e-19,NaN
214.95,3.808e-19,NaN
215.0,3.79e-19,NaN
215.05,3.827e-19,NaN
215.1,3.829e-19,NaN
215.15,3.836e-19,NaN
215.2,3.829e-19,NaN
215.25,3.876e-19,NaN
215.3,3.938e-19,NaN
215.35,4.051e-19,NaN
215.4,4.085e-19,NaN
215.45,4.127e-19,NaN
215.5,4.206e-19,NaN
215.55,4.247e-19,NaN
215.6,4.348e-19,NaN
215.65,4.463e-19,NaN
215.7,4.515e-19,NaN
215.75,4.591e-19,NaN
215.8,4.668e-19,NaN
215.85,4.792e-19,NaN
215.9,4.86e-19,NaN
215.95,4.892e-19,NaN
216.0,4.99e-19,NaN
216.05,5.059e-19,NaN
216.1,5.067e-19,NaN
216.15,5.036e-19,NaN
216.2,5.048e-19,NaN
216.25,5.084e-19,NaN
216.3,5.092e-19,NaN
216.35,5.107e-19,NaN
216.4,5.093e-19,NaN
216.45,5.087e-19,NaN
216.5,5.087e-19,NaN
216.55,5.078e-19,NaN
216.6,5.084e-19,NaN
216.65,5.145e-19,NaN
216.7,5.2e-19,NaN
216.75,5.243e-19,NaN
216.8,5.268e-19,NaN
216.85,5.272e-19,NaN
216.9,5.291e-19,NaN
216.95,5.277e-19,NaN
217.0,5.262e-19,NaN
217.05,5.235e-19,NaN
217.1,5.193e-19,NaN
217.15,5.145e-19,NaN
217.2,5.08e-19,NaN
217.25,4.982e-19,NaN
217.3,4.926e-19,NaN
217.35,4.859e-19,NaN
217.4,4.851e-19,NaN
217.45,4.862e-19,NaN
217.5,4.805e-19,NaN
217.55,4.822e-19,NaN
217.6,4.8e-19,NaN
217.65,4.749e-19,NaN
217.7,4.757e-19,NaN
217.75,4.712e-19,NaN
217.8,4.652e-19,NaN
217.85,4.536e-19,NaN
217.9,4.527e-19,NaN
217.95,4.447e-19,NaN
218.0,4.404e-19,NaN
218.05,4.382e-19,NaN
218.1,4.259e-19,NaN
218.15,4.242e-19,NaN
218.2,4.26e-19,NaN
218.25,4.198e-19,NaN
218.3,4.233e-19,NaN
218.35,4.269e-19,NaN
218.4,4.245e-19,NaN
218.45,4.22e-19,NaN
218.5,4.251e-19,NaN
218.55,4.24e-19,NaN
218.6,4.298e-19,NaN
218.65,4.309e-19,NaN
218.7,4.295e-19,NaN
218.75,4.229e-19,NaN
218.8,4.204e-19,NaN
218.85,4.13e-19,NaN
218.9,4.07e-19,NaN
218.95,3.982e-19,NaN
219.0,3.886e-19,NaN
219.05,3.798e-19,NaN
219.1,3.757e-19,NaN
219.15,3.72e-19,NaN
219.2,3.653e-19,NaN
219.25,3.609e-19,NaN
219.3,3.619e-19,NaN
219.35,3.58e-19,NaN
219.4,3.61e-19,NaN
219.45,3.599e-19,NaN
219.5,3.603e-19,NaN
219.55,3.665e-19,NaN
219.6,3.692e-19,NaN
219.65,3.663e-19,NaN
219.7,3.685e-19,NaN
219.75,3.749e-19,NaN
219.8,3.752e-19,NaN
219.85,3.834e-19,NaN
219.9,3.924e-19,NaN
219.95,3.913e-19,NaN
220.0,3.772e-19,NaN
220.05,3.879e-19,NaN
220.1,3.925e-19,NaN
220.15,4.006e-19,NaN
220.2,4.105e-19,NaN
220.25,4.168e-19,NaN
220.3,4.25e-19,NaN
220.35,4.341e-19,NaN
220.4,4.419e-19,NaN
220.45,4.505e-19,NaN
220.5,4.571e-19,NaN
220.55,4.634e-19,NaN
220.6,4.709e-19,NaN
220.65,4.777e-19,NaN
220.7,4.847e-19,NaN
220.75,4.882e-19,NaN
220.8,4.961e-19,NaN
220.85,5.028e-19,NaN
220.9,5.112e-19,NaN
220.95,5.123e-19,NaN
221.0,5.153e-19,NaN
221.05,5.123e-19,NaN
221.1,5.169e-19,NaN
221.15,5.177e-19,NaN
221.2,5.202e-19,NaN
221.25,5.232e-19,NaN
221.3,5.244e-19,NaN
221.35,5.194e-19,NaN
221.4,5.152e-19,NaN
221.45,5.085e-19,NaN
221.5,5.073e-19,NaN
221.55,5.029e-19,NaN
221.6,5.055e-19,NaN
221.65,4.947e-19,NaN
221.7,4.928e-19,NaN
221.75,4.904e-19,NaN
221.8,4.909e-19,NaN
221.85,4.869e-19,NaN
221.9,4.863e-19,NaN
221.95,4.786e-19,NaN
222.0,4.739e-19,NaN
222.05,4.712e-19,NaN
222.1,4.611e-19,NaN
222.15,4.544e-19,NaN
222.2,4.49e-19,NaN
222.25,4.398e-19,NaN
222.3,4.324e-19,NaN
222.35,4.209e-19,NaN
222.4,4.119e-19,NaN
222.45,4.039e-19,NaN
222.5,3.98e-19,NaN
222.55,3.989e-19,NaN
222.6,3.905e-19,NaN
222.65,3.864e-19,NaN
222.7,3.822e-19,NaN
222.75,3.769e-19,NaN
222.8,3.766e-19,NaN
222.85,3.764e-19,NaN
222.9,3.688e-19,NaN
222.95,3.626e-19,NaN
223.0,3.576e-19,NaN
223.05,3.538e-19,NaN
223.1,3.451e-19,NaN
223.15,3.406e-19,NaN
223.2,3.342e-19,NaN
223.25,3.284e-19,NaN
223.3,3.248e-19,NaN
223.35,3.205e-19,NaN
223.4,3.174e-19,NaN
223.45,3.175e-19,NaN
223.5,3.21e-19,NaN
223.55,3.251e-19,NaN
223.6,3.266e-19,NaN
223.65,3.322e-19,NaN
223.7,3.373e-19,NaN
223.75,3.418e-19,NaN
223.8,3.448e-19,NaN
223.85,3.489e-19,NaN
223.9,3.533e-19,NaN
223.95,3.541e-19,NaN
224.0,3.537e-19,NaN
224.05,3.592e-19,NaN
224.1,3.608e-19,NaN
224.15,3.637e-19,NaN
224.2,3.642e-19,NaN
224.25,3.619e-19,NaN
224.3,3.589e-19,NaN
224.35,3.549e-19,NaN
224.4,3.523e-19,NaN
224.45,3.509e-19,NaN
224.5,3.471e-19,NaN
224.55,3.42e-19,NaN
224.6,3.329e-19,NaN
224.65,3.229e-19,NaN
224.7,3.127e-19,NaN
224.75,3.085e-19,NaN
224.8,3.01e-19,NaN
224.85,3.048e-19,NaN
224.9,3.057e-19,NaN
224.95,3.08e-19,NaN
225.0,3.138e-19,NaN
225.05,3.109e-19,NaN
225.1,3.049e-19,NaN
225.15,3.066e-19,NaN
225.2,3.062e-19,NaN
225.25,3.186e-19,NaN
225.3,3.291e-19,NaN
225.35,3.336e-19,NaN
225.4,3.373e-19,NaN
225.45,3.453e-19,NaN
225.5,3.555e-19,NaN
225.55,3.73e-19,NaN
225.6,3.852e-19,NaN
225.65,3.892e-19,NaN
225.7,3.983e-19,NaN
225.75,4.094e-19,NaN
225.8,4.242e-19,NaN
225.85,4.444e-19,NaN
225.9,4.625e-19,NaN
225.95,4.725e-19,NaN
226.0,4.899e-19,NaN
226.05,5.013e-19,NaN
226.1,5.081e-19,NaN
226.15,5.15e-19,NaN
226.2,5.141e-19,NaN
226.25,5.087e-19,NaN
226.3,5.077e-19,NaN
226.35,5.004e-19,NaN
226.4,4.933e-19,NaN
226.45,4.884e-19,NaN
226.5,4.76e-19,NaN
226.55,4.691e-19,NaN
226.6,4.643e-19,NaN
226.65,4.502e-19,NaN
226.7,4.366e-19,NaN
226.75,4.244e-19,NaN
226.8,4.11e-19,NaN
226.85,4.008e-19,NaN
226.9,3.907e-19,NaN
226.95,3.729e-19,NaN
227.0,3.536e-19,NaN
227.05,3.392e-19,NaN
227.1,3.31e-19,NaN
227.15,3.295e-19,NaN
227.2,3.186e-19,NaN
227.25,3.089e-19,NaN
227.3,2.973e-19,NaN
227.35,2.921e-19,NaN
227.4,2.843e-19,NaN
227.45,2.826e-19,NaN
227.5,2.723e-19,NaN
227.55,2.668e-19,NaN
227.6,2.589e-19,NaN
227.65,2.549e-19,NaN
227.7,2.544e-19,NaN
227.75,2.556e-19,NaN
227.8,2.59e-19,NaN
227.85,2.623e-19,NaN
227.9,2.671e-19,NaN
227.95,2.725e-19,NaN
228.0,2.828e-19,NaN
228.05,2.815e-19,NaN
228.1,2.843e-19,NaN
228.15,2.861e-19,NaN
228.2,2.885e-19,NaN
228.25,2.837e-19,NaN
228.3,2.855e-19,NaN
228.35,2.79e-19,NaN
228.4,2.767e-19,NaN
228.45,2.777e-19,NaN
228.5,2.782e-19,NaN
228.55,2.769e-19,NaN
228.6,2.84e-19,NaN
228.65,2.806e-19,NaN
228.7,2.734e-19,NaN
228.75,2.682e-19,NaN
228.8,2.602e-19,NaN
228.85,2.511e-19,NaN
228.9,2.418e-19,NaN
228.95,2.312e-19,NaN
229.0,2.251e-19,NaN
229.05,2.254e-19,NaN
229.1,2.224e-19,NaN
229.15,2.215e-19,NaN
229.2,2.178e-19,NaN
229.25,2.163e-19,NaN
229.3,2.116e-19,NaN
229.35,2.059e-19,NaN
229.4,1.959e-19,NaN
229.45,1.89e-19,NaN
229.5,1.862e-19,NaN
229.55,1.897e-19,NaN
229.6,1.892e-19,NaN
229.65,1.889e-19,NaN
229.7,1.844e-19,NaN
229.75,1.824e-19,NaN
229.8,1.893e-19,NaN
229.85,2.002e-19,NaN
229.9,2.086e-19,NaN
229.95,2.174e-19,NaN
230.0,2.219e-19,NaN
230.05,2.273e-19,NaN
230.1,2.331e-19,NaN
230.15,2.414e-19,NaN
230.2,2.459e-19,NaN
230.25,2.505e-19,NaN
230.3,2.589e-19,NaN
230.35,2.694e-19,NaN
230.4,2.727e-19,NaN
230.45,2.778e-19,NaN
230.5,2.763e-19,NaN
230.55,2.707e-19,NaN
230.6,2.723e-19,NaN
230.65,2.81e-19,NaN
230.7,2.874e-19,NaN
230.75,2.971e-19,NaN
230.8,3.011e-19,NaN
230.85,3.053e-19,NaN
230.9,3.099e-19,NaN
230.95,3.156e-19,NaN
231.0,3.198e-19,NaN
231.05,3.283e-19,NaN
231.1,3.278e-19,NaN
231.15,3.266e-19,NaN
231.2,3.221e-19,NaN
231.25,3.183e-19,NaN
