λ,σ,Δσ
201.01,4.355e-19,NaN
203.05,4.145e-19,NaN
205.135,4.478e-19,NaN
207.26,4.454e-19,NaN
209.43,4.641e-19,NaN
211.65,4.866e-19,NaN
213.885,4.818e-19,NaN
216.195,5.022e-19,NaN
218.585,4.441e-19,NaN
221.0,4.713e-19,NaN
223.47,3.772e-19,NaN
225.995,3.929e-19,NaN
228.58,2.74e-19,NaN
231.225,2.778e-19,NaN
233.925,1.689e-19,NaN
236.69,1.618e-19,NaN
239.525,8.812e-20,NaN
242.43,7.472e-20,NaN
245.405,3.909e-20,NaN
248.455,2.753e-20,NaN
251.585,2.007e-20,NaN
254.79,1.973e-20,NaN
258.075,2.111e-20,NaN
261.45,2.357e-20,NaN
264.915,2.698e-20,NaN
268.47,3.247e-20,NaN
272.12,3.785e-20,NaN
275.875,4.571e-20,NaN
279.735,5.604e-20,NaN
283.7,6.502e-20,NaN
287.78,7.769e-20,NaN
291.985,9.508e-20,NaN
296.315,1.131e-19,NaN
300.77,1.294e-19,NaN
305.36,1.568e-19,NaN
310.095,1.826e-19,NaN
315.0,2.102e-19,NaN
320.0,2.455e-19,NaN
325.0,2.735e-19,NaN
330.0,3.007e-19,NaN
335.0,3.344e-19,NaN
340.0,3.746e-19,NaN
345.0,3.887e-19,NaN
350.0,4.242e-19,NaN
355.0,4.567e-19,NaN
360.0,4.609e-19,NaN
365.0,4.956e-19,NaN
370.0,5.056e-19,NaN
375.0,5.26e-19,NaN
380.0,5.331e-19,NaN
385.0,5.404e-19,NaN
390.0,5.646e-19,NaN
395.0,5.359e-19,NaN
400.0,5.8e-19,NaN
405.0,5.254e-19,NaN
410.0,5.634e-19,NaN
415.0,5.326e-19,NaN
420.0,5.387e-19,NaN
425.0,5.461e-19,NaN
430.0,5.273e-19,NaN
435.0,5.491e-19,NaN
440.0,4.866e-19,NaN
445.0,4.826e-19,NaN
450.0,4.94e-19,NaN
455.0,4.187e-19,NaN
460.0,4.392e-19,NaN
465.0,4.042e-19,NaN
470.0,3.51e-19,NaN
475.0,3.757e-19,NaN
480.0,3.455e-19,NaN
485.0,2.705e-19,NaN
490.0,2.979e-19,NaN
495.0,3.062e-19,NaN
500.0,1.878e-19,NaN
505.0,2.504e-19,NaN
510.0,2.345e-19,NaN
515.0,1.71e-19,NaN
520.0,1.695e-19,NaN
525.0,1.803e-19,NaN
530.0,1.54e-19,NaN
535.0,1.034e-19,NaN
540.0,1.028e-19,NaN
545.0,1.225e-19,NaN
550.0,1.034e-19,NaN
555.0,7.366e-20,NaN
560.0,5.545e-20,NaN
565.0,8.064e-20,NaN
570.0,7.831e-20,NaN
575.0,4.293e-20,NaN
580.0,3.961e-20,NaN
585.0,4.165e-20,NaN
590.0,4.85e-20,NaN
595.0,3.591e-20,NaN
600.0,3.537e-20,NaN
605.0,1.623e-20,NaN
610.0,2.284e-20,NaN
615.0,3.217e-20,NaN
620.0,2.317e-20,NaN
625.0,1.753e-20,NaN
630.0,1.05e-20,NaN
635.0,1.149e-20,NaN
640.0,1.331e-20,NaN
645.0,1.679e-20,NaN
650.0,1.147e-20,NaN
655.0,8.019e-21,NaN
660.0,4.683e-21,NaN
665.0,4.861e-21,NaN
670.0,8.446e-21,NaN
675.0,8.557e-21,NaN
680.0,5.395e-21,NaN
685.0,4.195e-21,NaN
690.0,2.325e-21,NaN
695.0,1.543e-21,NaN
700.0,2.669e-21,NaN
705.0,5.081e-21,NaN
710.0,5.367e-21,NaN
