λ,σ,Δσ
434.7601,6.7459e-19,NaN
434.7783,6.8276e-19,NaN
434.7966,6.9466e-19,NaN
434.8148,6.9996e-19,NaN
434.833,7.0027e-19,NaN
434.8513,7.2196e-19,NaN
434.8695,7.2932e-19,NaN
434.8877,6.9359e-19,NaN
434.906,6.6867e-19,NaN
434.9242,6.777e-19,NaN
434.9425,6.8548e-19,NaN
434.9607,7.0729e-19,NaN
434.979,7.3323e-19,NaN
434.9972,7.6114e-19,NaN
435.0155,8.0493e-19,NaN
435.0337,7.9635e-19,NaN
435.052,7.5844e-19,NaN
435.0702,7.1685e-19,NaN
435.0885,7.0189e-19,NaN
435.1068,7.0967e-19,NaN
435.125,7.0789e-19,NaN
435.1433,7.155e-19,NaN
435.1616,7.1566e-19,NaN
435.1798,7.2593e-19,NaN
435.1981,7.3603e-19,NaN
435.2164,7.2544e-19,NaN
435.2346,7.1543e-19,NaN
435.2529,7.0679e-19,NaN
435.2712,7.2741e-19,NaN
435.2895,7.4306e-19,NaN
435.3077,7.2583e-19,NaN
435.326,7.172e-19,NaN
435.3443,7.2036e-19,NaN
435.3626,7.0195e-19,NaN
435.3809,6.5495e-19,NaN
435.3991,6.3354e-19,NaN
435.4174,6.379e-19,NaN
435.4357,6.3118e-19,NaN
435.454,6.1718e-19,NaN
435.4723,6.1256e-19,NaN
435.4906,6.244e-19,NaN
435.5089,6.3172e-19,NaN
435.5272,6.1654e-19,NaN
435.5455,6.0526e-19,NaN
435.5638,6.0691e-19,NaN
435.5821,6.0483e-19,NaN
435.6004,5.9899e-19,NaN
435.6187,5.975e-19,NaN
435.637,6.0918e-19,NaN
435.6553,6.2244e-19,NaN
435.6736,6.1888e-19,NaN
435.6919,6.1698e-19,NaN
435.7102,6.2176e-19,NaN
435.7285,6.2112e-19,NaN
435.7468,6.2016e-19,NaN
435.7652,6.2174e-19,NaN
435.7835,6.1721e-19,NaN
435.8018,6.1107e-19,NaN
435.8201,6.1576e-19,NaN
435.8384,6.1882e-19,NaN
435.8568,6.1131e-19,NaN
435.8751,6.0241e-19,NaN
435.8934,5.9292e-19,NaN
435.9117,5.8192e-19,NaN
435.9301,5.7156e-19,NaN
435.9484,5.7395e-19,NaN
435.9667,5.8005e-19,NaN
435.9851,5.7578e-19,NaN
436.0034,5.7819e-19,NaN
436.0217,5.7053e-19,NaN
436.0401,5.6378e-19,NaN
436.0584,5.7467e-19,NaN
436.0768,5.7604e-19,NaN
436.0951,5.9311e-19,NaN
436.1135,6.0302e-19,NaN
436.1318,5.8977e-19,NaN
436.1501,5.9668e-19,NaN
436.1685,5.918e-19,NaN
436.1868,5.8539e-19,NaN
436.2052,5.8858e-19,NaN
436.2236,5.7231e-19,NaN
436.2419,5.4696e-19,NaN
436.2603,5.4068e-19,NaN
436.2786,5.5851e-19,NaN
436.297,5.595e-19,NaN
436.3153,5.5042e-19,NaN
436.3337,5.5418e-19,NaN
436.3521,5.5731e-19,NaN
436.3704,5.6449e-19,NaN
436.3888,5.6807e-19,NaN
436.4072,5.5646e-19,NaN
436.4256,5.395e-19,NaN
436.4439,5.3379e-19,NaN
436.4623,5.4663e-19,NaN
436.4807,5.6398e-19,NaN
436.4991,5.6198e-19,NaN
436.5174,5.493e-19,NaN
436.5358,5.3839e-19,NaN
436.5542,5.325e-19,NaN
436.5726,5.38e-19,NaN
436.591,5.3213e-19,NaN
