λ,σ
436.41065,5.354e-19
436.41410,5.395e-19
436.41754,5.335e-19
436.42099,5.2e-19
436.42442,5.079e-19
436.42787,5.072e-19
436.43131,5.117e-19
436.43476,5.031e-19
436.43821,4.846e-19
436.44164,4.839e-19
436.44508,5.029e-19
436.44853,5.078e-19
436.45198,4.929e-19
436.45541,4.917e-19
436.45886,5.06e-19
436.46231,5.083e-19
436.46575,5.059e-19
436.46920,5.167e-19
436.47263,5.232e-19
436.47608,5.15e-19
436.47953,5.126e-19
436.48298,5.172e-19
436.48642,5.117e-19
436.48985,5.016e-19
436.49330,5.034e-19
436.49675,5.134e-19
436.50020,5.161e-19
436.50365,5.093e-19
436.50708,5.094e-19
436.51053,5.23e-19
436.51397,5.291e-19
436.51742,5.192e-19
436.52087,5.177e-19
436.52430,5.271e-19
436.52775,5.201e-19
436.53120,5.026e-19
436.53465,4.99e-19
436.53810,4.986e-19
436.54153,4.874e-19
436.54498,4.805e-19
436.54843,4.806e-19
436.55188,4.747e-19
436.55533,4.72e-19
436.55876,4.821e-19
436.56221,4.845e-19
436.56566,4.691e-19
436.56911,4.597e-19
436.57256,4.696e-19
436.57599,4.843e-19
436.57944,4.931e-19
436.58289,4.998e-19
436.58634,4.997e-19
436.58977,4.881e-19
436.59322,4.835e-19
436.59667,5.022e-19
436.60012,5.228e-19
436.60357,5.192e-19
436.60700,5.13e-19
436.61045,5.295e-19
436.61390,5.482e-19
436.61735,5.449e-19
436.62080,5.315e-19
436.62423,5.169e-19
436.62768,5.003e-19
436.63113,4.982e-19
436.63458,5.11e-19
436.63804,5.086e-19
436.64147,4.922e-19
436.64492,4.923e-19
436.64837,5.002e-19
436.65182,4.916e-19
436.65527,4.825e-19
436.65870,4.869e-19
436.66215,4.889e-19
436.66561,4.872e-19
436.66906,4.891e-19
436.67251,4.808e-19
436.67594,4.651e-19
436.67939,4.659e-19
436.68284,4.781e-19
436.68630,4.779e-19
436.68973,4.691e-19
436.69318,4.675e-19
436.69663,4.759e-19
436.70008,4.885e-19
436.70353,4.949e-19
436.70697,4.909e-19
436.71042,4.866e-19
436.71387,4.882e-19
436.71732,4.904e-19
436.72078,4.866e-19
436.72421,4.749e-19
436.72766,4.649e-19
436.73111,4.636e-19
436.73457,4.575e-19
436.73802,4.47e-19
436.74145,4.576e-19
436.74490,4.79e-19
436.74836,4.74e-19
436.75181,4.573e-19
436.75526,4.572e-19
436.75869,4.557e-19
436.76215,4.467e-19
436.76560,4.526e-19
436.76905,4.646e-19
436.77251,4.607e-19
436.77594,4.484e-19
436.77939,4.407e-19
436.78285,4.463e-19
436.78630,4.663e-19
436.78975,4.772e-19
436.79319,4.735e-19
436.79664,4.793e-19
436.80009,4.862e-19
436.80355,4.85e-19
436.80698,5.068e-19
436.81043,5.358e-19
436.81389,5.205e-19
436.81734,4.978e-19
436.82080,5.076e-19
436.82423,5.096e-19
436.82768,4.942e-19
436.83114,4.957e-19
436.83459,4.97e-19
436.83805,4.903e-19
436.84148,5.052e-19
436.84493,5.14e-19
436.84839,4.848e-19
436.85184,4.649e-19
436.85530,4.716e-19
436.85873,4.661e-19
436.86219,4.478e-19
436.86564,4.441e-19
436.86910,4.611e-19
436.87255,4.919e-19
436.87599,5.033e-19
436.87944,4.823e-19
436.88289,4.875e-19
436.88635,5.266e-19
436.88980,5.13e-19
436.89324,4.565e-19
436.89669,4.494e-19
436.90015,4.823e-19
436.90360,4.987e-19
436.90706,5.117e-19
436.91050,5.213e-19
436.91395,4.825e-19
436.91741,4.322e-19
436.92086,4.324e-19
436.92430,4.646e-19
436.92775,4.778e-19
436.93121,4.754e-19
436.93466,4.846e-19
436.93812,5.028e-19
436.94156,5.123e-19
436.94501,5.029e-19
436.94847,4.792e-19
436.95192,4.64e-19
436.95538,4.696e-19
436.95882,4.681e-19
436.96227,4.409e-19
436.96573,4.302e-19
436.96918,4.604e-19
436.97264,4.799e-19
436.97608,4.547e-19
436.97953,4.324e-19
436.98299,4.388e-19
436.98645,4.573e-19
436.98990,4.834e-19
436.99334,5.027e-19
436.99680,4.855e-19
437.00025,4.519e-19
437.00371,4.37e-19
437.00717,4.43e-19
437.01060,4.718e-19
437.01406,5.088e-19
437.01752,4.988e-19
437.02097,4.491e-19
437.02443,4.262e-19
437.02787,4.286e-19
437.03132,4.195e-19
437.03478,4.183e-19
437.03824,4.444e-19
437.04168,4.624e-19
437.04513,4.601e-19
437.04859,4.681e-19
437.05205,4.771e-19
437.05551,4.594e-19
437.05894,4.401e-19
437.06240,4.429e-19
437.06586,4.432e-19
437.06932,4.319e-19
437.07278,4.334e-19
437.07621,4.366e-19
437.07967,4.173e-19
437.08313,4.055e-19
437.08659,4.19e-19
437.09005,4.196e-19
437.09348,4.076e-19
437.09694,4.196e-19
437.10040,4.294e-19
437.10386,4.153e-19
437.10732,4.321e-19
437.11076,4.793e-19
437.11421,4.742e-19
437.11767,4.314e-19
437.12113,4.237e-19
437.12459,4.319e-19
437.12803,4.191e-19
437.13149,4.065e-19
437.13495,4.006e-19
437.13840,3.892e-19
437.14186,3.855e-19
437.14530,3.919e-19
437.14876,3.928e-19
437.15222,3.906e-19
437.15568,3.892e-19
437.15912,3.89e-19
437.16258,4.046e-19
437.16604,4.278e-19
437.16950,4.247e-19
437.17296,4.028e-19
437.17640,3.959e-19
437.17986,4.047e-19
437.18332,4.117e-19
437.18677,4.084e-19
437.19023,3.996e-19
437.19367,4.033e-19
437.19713,4.213e-19
437.20059,4.239e-19
437.20405,4.035e-19
437.20751,3.905e-19
437.21095,3.938e-19
437.21441,3.954e-19
437.21787,3.908e-19
437.22133,3.898e-19
437.22479,3.999e-19
437.22824,4.176e-19
437.23170,4.233e-19
437.23516,4.042e-19
437.23862,3.784e-19
437.24208,3.671e-19
437.24552,3.694e-19
437.24898,3.759e-19
437.25244,3.819e-19
437.25590,3.887e-19
437.25936,3.994e-19
437.26280,4.103e-19
437.26626,4.097e-19
