λ,σ,Δσ
250.00027,2.467e-19,NaN
250.0014,-5.118e-20,NaN
250.00253,1.764e-19,NaN
250.00366,1.51e-19,NaN
250.00479,-8.507e-20,NaN
250.00592,1.323e-19,NaN
250.00705,1.444e-19,NaN
250.00818,1.319e-19,NaN
250.00931,1.104e-19,NaN
250.01044,8.797e-20,NaN
250.01157,8.647e-20,NaN
250.0127,8.977e-20,NaN
250.01383,1.013e-19,NaN
250.01496,1.065e-19,NaN
250.01609,1.37e-19,NaN
250.01722,-1.012e-19,NaN
250.01835,-1.05e-19,NaN
250.01948,1.197e-19,NaN
250.02061,1.002e-19,NaN
250.02174,1.043e-19,NaN
250.02287,-1.186e-19,NaN
250.024,-1.196e-19,NaN
250.02513,1.175e-19,NaN
250.02626,1.053e-19,NaN
250.02739,9.974e-20,NaN
250.02852,1.141e-19,NaN
250.02965,1.637e-19,NaN
250.03078,-3.138e-19,NaN
250.03191,-1.906e-20,NaN
250.03304,1.365e-19,NaN
250.03417,1.057e-19,NaN
250.0353,9.169e-20,NaN
250.03643,9.491e-20,NaN
250.03756,1.22e-19,NaN
250.03869,1.766e-19,NaN
250.03982,1.647e-19,NaN
250.04095,1.493e-19,NaN
250.04208,1.332e-19,NaN
250.04321,1.234e-19,NaN
250.04434,1.387e-19,NaN
250.04547,1.859e-19,NaN
250.0466,1.653e-19,NaN
250.04773,1.549e-19,NaN
250.04886,1.287e-19,NaN
250.04999,1.093e-19,NaN
250.05112,9.516e-20,NaN
250.05225,8.92e-20,NaN
250.05339,7.627e-20,NaN
250.05452,7.625e-20,NaN
250.05565,9.228e-20,NaN
250.05678,1.519e-19,NaN
250.05791,1.154e-19,NaN
250.05904,1.204e-19,NaN
250.06017,1.292e-19,NaN
250.0613,1.427e-19,NaN
250.06243,-1.08e-19,NaN
250.06356,-1.358e-19,NaN
250.06469,-1.489e-19,NaN
250.06582,7.717e-20,NaN
250.06695,7.216e-20,NaN
250.06808,8.121e-20,NaN
250.06921,9.34e-20,NaN
250.07034,1.316e-19,NaN
250.07147,1.288e-19,NaN
250.0726,1.102e-19,NaN
250.07374,9.435e-20,NaN
250.07487,9.208e-20,NaN
250.076,9.31e-20,NaN
250.07713,1.342e-19,NaN
250.07826,1.218e-19,NaN
250.07939,9.955e-20,NaN
250.08052,1.072e-19,NaN
250.08165,1.563e-19,NaN
250.08278,2.444e-19,NaN
250.08391,2.868e-19,NaN
250.08504,3.371e-20,NaN
250.08617,-2.326e-19,NaN
250.0873,2.582e-19,NaN
250.08843,1.173e-19,NaN
250.08956,8.105e-20,NaN
250.0907,7.169e-20,NaN
250.09183,9.658e-20,NaN
250.09296,1.371e-19,NaN
250.09409,1.197e-19,NaN
250.09522,9.042e-20,NaN
250.09635,6.057e-20,NaN
250.09748,5.089e-20,NaN
250.09861,7.207e-20,NaN
250.09974,1.151e-19,NaN
250.10087,1.219e-19,NaN
250.102,1.085e-19,NaN
250.10313,7.334e-20,NaN
250.10427,5.378e-20,NaN
250.1054,5.931e-20,NaN
250.10653,8.096e-20,NaN
250.10766,1.081e-19,NaN
250.10879,1.668e-19,NaN
250.10992,1.426e-19,NaN
250.11105,1.544e-19,NaN
250.11218,1.695e-19,NaN
250.11331,2.398e-19,NaN
250.11444,-5.371e-20,NaN
250.11558,1.867e-19,NaN
250.11671,1.264e-19,NaN
250.11784,-1.388e-19,NaN
250.11897,8.417e-20,NaN
250.1201,9.913e-20,NaN
250.12123,-7.326e-20,NaN
250.12236,7.832e-21,NaN
250.12349,2.531e-20,NaN
250.12462,2.316e-19,NaN
250.12575,1.421e-19,NaN
250.12689,8.323e-20,NaN
250.12802,9.492e-20,NaN
250.12915,-1.134e-19,NaN
250.13028,1.708e-19,NaN
250.13141,1.979e-19,NaN
250.13254,1.819e-19,NaN
250.13367,1.656e-19,NaN
250.1348,1.222e-19,NaN
250.13594,9.253e-20,NaN
250.13707,6.535e-20,NaN
250.1382,6.737e-20,NaN
250.13933,9.091e-20,NaN
250.14046,1.084e-19,NaN
250.14159,1.376e-19,NaN
250.14272,-6.06e-20,NaN
250.14385,-5.052e-20,NaN
250.14499,1.928e-19,NaN
250.14612,1.514e-19,NaN
250.14725,-8.475e-20,NaN
250.14838,-8.234e-20,NaN
250.14951,1.532e-19,NaN
250.15064,1.958e-19,NaN
250.15177,-3.717e-20,NaN
250.1529,1.386e-19,NaN
250.15404,9.615e-20,NaN
250.15517,7.736e-20,NaN
250.1563,7.338e-20,NaN
250.15743,6.668e-20,NaN
250.15856,7.052e-20,NaN
250.15969,8.678e-20,NaN
