λ,σ,Δσ
400.0,0.0,NaN
401.0,0.0,NaN
402.0,0.0,NaN
403.0,2.0e-20,NaN
404.0,0.0,NaN
405.0,3.0e-20,NaN
406.0,2.0e-20,NaN
407.0,1.0e-20,NaN
408.0,3.0e-20,NaN
409.0,0.0,NaN
410.0,1.0e-20,NaN
411.0,2.0e-20,NaN
412.0,5.0e-20,NaN
413.0,5.0e-20,NaN
414.0,2.0e-20,NaN
415.0,6.0e-20,NaN
416.0,6.0e-20,NaN
417.0,7.0e-20,NaN
418.0,5.0e-20,NaN
419.0,8.0e-20,NaN
420.0,8.0e-20,NaN
421.0,8.0e-20,NaN
422.0,9.0e-20,NaN
423.0,1.1e-19,NaN
424.0,9.0e-20,NaN
425.0,7.0e-20,NaN
426.0,1.4e-19,NaN
427.0,1.4e-19,NaN
428.0,1.2e-19,NaN
429.0,1.1e-19,NaN
430.0,1.7e-19,NaN
431.0,1.3e-19,NaN
432.0,1.5e-19,NaN
433.0,1.8e-19,NaN
434.0,1.8e-19,NaN
435.0,1.6e-19,NaN
436.0,1.5e-19,NaN
437.0,1.8e-19,NaN
438.0,2.1e-19,NaN
439.0,2.0e-19,NaN
440.0,1.9e-19,NaN
441.0,1.8e-19,NaN
442.0,2.1e-19,NaN
443.0,1.8e-19,NaN
444.0,1.9e-19,NaN
445.0,2.0e-19,NaN
446.0,2.4e-19,NaN
447.0,2.9e-19,NaN
448.0,2.4e-19,NaN
449.0,2.8e-19,NaN
450.0,2.9e-19,NaN
451.0,3.0e-19,NaN
452.0,3.3e-19,NaN
453.0,3.1e-19,NaN
454.0,3.6e-19,NaN
455.0,3.6e-19,NaN
456.0,3.6e-19,NaN
457.0,4.0e-19,NaN
458.0,3.7e-19,NaN
459.0,4.2e-19,NaN
460.0,4.0e-19,NaN
461.0,3.9e-19,NaN
462.0,4.0e-19,NaN
463.0,4.1e-19,NaN
464.0,4.8e-19,NaN
465.0,5.1e-19,NaN
466.0,5.4e-19,NaN
467.0,5.7e-19,NaN
468.0,5.6e-19,NaN
469.0,5.8e-19,NaN
470.0,5.9e-19,NaN
471.0,6.2e-19,NaN
472.0,6.4e-19,NaN
473.0,6.2e-19,NaN
474.0,6.2e-19,NaN
475.0,6.8e-19,NaN
476.0,7.8e-19,NaN
477.0,7.7e-19,NaN
478.0,7.3e-19,NaN
479.0,7.3e-19,NaN
480.0,7.0e-19,NaN
481.0,7.1e-19,NaN
482.0,7.1e-19,NaN
483.0,7.2e-19,NaN
484.0,7.7e-19,NaN
485.0,8.2e-19,NaN
486.0,9.1e-19,NaN
487.0,9.2e-19,NaN
488.0,9.5e-19,NaN
489.0,9.6e-19,NaN
490.0,1.03e-18,NaN
491.0,9.9e-19,NaN
492.0,9.9e-19,NaN
493.0,1.01e-18,NaN
494.0,1.01e-18,NaN
495.0,1.06e-18,NaN
496.0,1.21e-18,NaN
497.0,1.22e-18,NaN
498.0,1.2e-18,NaN
499.0,1.17e-18,NaN
500.0,1.13e-18,NaN
501.0,1.11e-18,NaN
502.0,1.11e-18,NaN
503.0,1.11e-18,NaN
504.0,1.26e-18,NaN
505.0,1.28e-18,NaN
506.0,1.34e-18,NaN
507.0,1.28e-18,NaN
508.0,1.27e-18,NaN
509.0,1.35e-18,NaN
510.0,1.51e-18,NaN
511.0,1.73e-18,NaN
512.0,1.77e-18,NaN
513.0,1.6e-18,NaN
514.0,1.58e-18,NaN
515.0,1.58e-18,NaN
516.0,1.56e-18,NaN
517.0,1.49e-18,NaN
518.0,1.44e-18,NaN
519.0,1.54e-18,NaN
520.0,1.68e-18,NaN
521.0,1.83e-18,NaN
522.0,1.93e-18,NaN
523.0,1.77e-18,NaN
524.0,1.64e-18,NaN
525.0,1.58e-18,NaN
526.0,1.63e-18,NaN
527.0,1.81e-18,NaN
528.0,2.1e-18,NaN
529.0,2.39e-18,NaN
530.0,2.23e-18,NaN
531.0,2.09e-18,NaN
532.0,2.02e-18,NaN
533.0,1.95e-18,NaN
534.0,2.04e-18,NaN
535.0,2.3e-18,NaN
536.0,2.57e-18,NaN
537.0,2.58e-18,NaN
538.0,2.34e-18,NaN
539.0,2.04e-18,NaN
540.0,2.1e-18,NaN
541.0,2.04e-18,NaN
542.0,1.88e-18,NaN
543.0,1.68e-18,NaN
544.0,1.7e-18,NaN
545.0,1.96e-18,NaN
546.0,2.42e-18,NaN
547.0,2.91e-18,NaN
548.0,2.98e-18,NaN
549.0,2.71e-18,NaN
550.0,2.48e-18,NaN
551.0,2.43e-18,NaN
552.0,2.47e-18,NaN
553.0,2.53e-18,NaN
554.0,2.78e-18,NaN
555.0,3.11e-18,NaN
556.0,3.26e-18,NaN
557.0,3.29e-18,NaN
558.0,3.51e-18,NaN
559.0,3.72e-18,NaN
560.0,3.32e-18,NaN
561.0,2.98e-18,NaN
562.0,2.9e-18,NaN
563.0,2.8e-18,NaN
564.0,2.72e-18,NaN
565.0,2.73e-18,NaN
566.0,2.85e-18,NaN
567.0,2.81e-18,NaN
568.0,2.85e-18,NaN
569.0,2.89e-18,NaN
570.0,2.79e-18,NaN
571.0,2.76e-18,NaN
572.0,2.74e-18,NaN
573.0,2.78e-18,NaN
574.0,2.86e-18,NaN
575.0,3.08e-18,NaN
576.0,3.27e-18,NaN
577.0,3.38e-18,NaN
578.0,3.31e-18,NaN
579.0,3.24e-18,NaN
580.0,3.34e-18,NaN
581.0,3.55e-18,NaN
582.0,3.28e-18,NaN
583.0,2.93e-18,NaN
584.0,2.82e-18,NaN
585.0,2.89e-18,NaN
586.0,3.32e-18,NaN
587.0,4.16e-18,NaN
588.0,5.04e-18,NaN
589.0,6.13e-18,NaN
590.0,5.96e-18,NaN
591.0,5.44e-18,NaN
592.0,5.11e-18,NaN
593.0,4.58e-18,NaN
594.0,4.19e-18,NaN
595.0,4.29e-18,NaN
596.0,4.62e-18,NaN
597.0,4.36e-18,NaN
598.0,3.67e-18,NaN
599.0,3.1e-18,NaN
600.0,2.76e-18,NaN
601.0,2.86e-18,NaN
602.0,3.32e-18,NaN
603.0,3.8e-18,NaN
604.0,4.37e-18,NaN
605.0,4.36e-18,NaN
606.0,3.32e-18,NaN
607.0,2.4e-18,NaN
608.0,1.85e-18,NaN
609.0,1.71e-18,NaN
610.0,1.77e-18,NaN
611.0,1.91e-18,NaN
612.0,2.23e-18,NaN
613.0,2.63e-18,NaN
614.0,2.55e-18,NaN
615.0,2.26e-18,NaN
616.0,2.09e-18,NaN
617.0,2.11e-18,NaN
618.0,2.39e-18,NaN
619.0,2.56e-18,NaN
620.0,3.27e-18,NaN
621.0,5.24e-18,NaN
622.0,1.02e-17,NaN
623.0,1.47e-17,NaN
624.0,1.21e-17,NaN
625.0,8.38e-18,NaN
626.0,7.3e-18,NaN
627.0,7.53e-18,NaN
628.0,7.37e-18,NaN
629.0,6.98e-18,NaN
630.0,6.76e-18,NaN
631.0,4.84e-18,NaN
632.0,3.27e-18,NaN
633.0,2.17e-18,NaN
634.0,1.64e-18,NaN
635.0,1.44e-18,NaN
636.0,1.69e-18,NaN
637.0,2.07e-18,NaN
638.0,2.03e-18,NaN
639.0,1.58e-18,NaN
640.0,1.23e-18,NaN
641.0,1.0e-18,NaN
642.0,9.2e-19,NaN
643.0,9.7e-19,NaN
644.0,9.5e-19,NaN
645.0,8.6e-19,NaN
646.0,7.5e-19,NaN
647.0,7.0e-19,NaN
648.0,6.2e-19,NaN
649.0,5.4e-19,NaN
650.0,5.0e-19,NaN
651.0,5.5e-19,NaN
652.0,6.1e-19,NaN
653.0,7.1e-19,NaN
654.0,8.2e-19,NaN
655.0,9.8e-19,NaN
656.0,1.33e-18,NaN
657.0,1.71e-18,NaN
658.0,2.42e-18,NaN
659.0,4.07e-18,NaN
660.0,7.45e-18,NaN
661.0,1.45e-17,NaN
662.0,2.1e-17,NaN
663.0,1.74e-17,NaN
664.0,1.13e-17,NaN
665.0,7.41e-18,NaN
666.0,4.96e-18,NaN
667.0,3.04e-18,NaN
668.0,1.9e-18,NaN
669.0,1.25e-18,NaN
670.0,9.5e-19,NaN
671.0,7.9e-19,NaN
672.0,7.6e-19,NaN
673.0,6.4e-19,NaN
674.0,5.2e-19,NaN
675.0,4.8e-19,NaN
676.0,4.9e-19,NaN
677.0,5.9e-19,NaN
678.0,7.5e-19,NaN
679.0,7.8e-19,NaN
680.0,6.9e-19,NaN
681.0,5.3e-19,NaN
682.0,4.0e-19,NaN
683.0,3.0e-19,NaN
684.0,2.6e-19,NaN
685.0,1.8e-19,NaN
686.0,1.6e-19,NaN
687.0,1.2e-19,NaN
688.0,1.2e-19,NaN
689.0,1.2e-19,NaN
690.0,1.0e-19,NaN
