λ,σ
476.211,1.207e-18
476.222,1.489e-18
476.233,1.463e-18
476.244,1.726e-18
476.255,7.163e-19
476.266,1.503e-18
476.277,1.144e-18
476.288,1.423e-18
476.299,2.758e-18
476.310,8.864e-19
476.321,1.045e-18
476.332,1.785e-18
476.343,1.091e-18
476.354,2.066e-18
476.365,1.719e-18
476.376,1.05e-18
476.386,1.966e-18
476.397,1.497e-18
476.408,4.951e-19
476.419,8.489e-19
476.430,1.495e-18
476.441,1.911e-18
476.452,1.216e-18
476.463,1.29e-18
476.474,1.49e-18
476.485,7.29e-19
476.496,1.712e-18
476.507,1.223e-18
476.518,4.097e-19
476.529,1.127e-18
476.540,1.102e-18
476.551,1.615e-18
476.562,1.673e-18
476.573,1.509e-18
476.583,1.215e-18
476.594,1.118e-18
476.605,1.725e-18
476.616,1.001e-18
476.627,1.608e-18
476.638,2.663e-18
476.649,1.317e-18
476.660,9.573e-19
476.671,1.604e-18
476.682,1.475e-18
476.693,1.652e-18
476.704,1.405e-18
476.715,1.241e-18
476.726,1.586e-18
476.737,1.197e-18
476.748,1.096e-18
476.759,9.272e-19
476.770,1.422e-18
476.781,1.919e-18
476.792,1.759e-18
476.803,2.345e-18
476.814,1.516e-18
476.825,1.223e-18
476.835,1.512e-18
476.846,9.449e-19
476.857,1.402e-18
476.868,1.72e-18
476.879,1.925e-18
476.890,1.188e-18
476.901,8.41e-19
476.912,1.825e-18
476.923,1.688e-18
476.934,1.295e-18
476.945,1.189e-18
476.956,2.006e-18
476.967,1.828e-18
476.978,9.347e-19
476.989,1.816e-18
477.000,1.742e-18
477.011,1.94e-18
477.022,1.919e-18
477.033,1.11e-18
477.044,1.8e-18
477.055,1.24e-18
477.066,1.193e-18
477.077,2.135e-18
477.088,1.733e-18
477.099,1.856e-18
477.110,1.539e-18
477.121,1.541e-18
477.132,1.726e-18
477.143,1.022e-18
477.154,1.37e-18
477.165,1.727e-18
477.176,1.69e-18
477.187,1.451e-18
477.197,1.764e-18
477.208,1.743e-18
477.219,6.767e-19
477.230,1.128e-18
477.241,1.439e-18
477.252,1.686e-18
477.263,1.947e-18
477.274,1.482e-18
477.285,1.416e-18
477.296,1.427e-18
477.307,2.001e-18
477.318,9.364e-19
477.329,2.471e-19
477.340,1.377e-18
477.351,9.264e-19
477.362,1.292e-18
477.373,2.262e-18
477.384,1.974e-18
477.395,1.234e-18
477.406,1.093e-18
477.417,1.111e-18
477.428,1.106e-18
477.439,1.998e-18
477.450,1.477e-18
477.461,1.156e-18
477.472,1.849e-18
477.483,1.621e-18
477.494,1.438e-18
477.505,8.785e-19
477.516,1.234e-18
477.527,1.975e-18
477.538,1.791e-18
477.549,1.848e-18
477.560,1.38e-18
477.571,1.074e-18
477.582,1.493e-18
477.593,1.809e-18
477.604,1.48e-18
477.615,1.066e-18
477.626,1.726e-18
477.637,1.911e-18
477.648,1.093e-18
477.659,9.996e-19
477.670,1.294e-18
477.681,1.32e-18
477.692,1.393e-18
477.703,1.894e-18
477.714,1.71e-18
477.725,1.325e-18
477.736,1.847e-18
477.747,6.32e-19
477.758,4.526e-19
477.769,1.614e-18
