λ,σ,Δσ
653.08,4.571e-19,NaN
653.78,4.408e-19,NaN
654.47,4.245e-19,NaN
655.28,8.761e-19,NaN
655.86,3.918e-19,NaN
656.79,1.076e-18,NaN
657.26,1.771e-18,NaN
658.3,1.982e-18,NaN
658.88,2.439e-18,NaN
659.71,4.303e-18,NaN
660.08,6.178e-18,NaN
660.31,6.643e-18,NaN
660.44,7.582e-18,NaN
660.94,1.11e-17,NaN
661.2,1.439e-17,NaN
661.58,1.744e-17,NaN
661.93,1.838e-17,NaN
662.17,1.931e-17,NaN
662.4,1.836e-17,NaN
662.62,1.765e-17,NaN
663.09,1.811e-17,NaN
663.49,1.198e-17,NaN
663.93,9.854e-18,NaN
664.61,8.661e-18,NaN
664.93,5.828e-18,NaN
665.39,5.347e-18,NaN
666.07,4.624e-18,NaN
666.4,2.969e-18,NaN
666.86,2.487e-18,NaN
667.43,2.003e-18,NaN
667.89,1.286e-18,NaN
668.47,1.272e-18,NaN
669.5,7.768e-19,NaN
669.96,5.306e-19,NaN
671.0,7.414e-19,NaN
671.35,4.979e-19,NaN
672.85,6.979e-19,NaN
