λ,σ,Δσ
570.0,2.254e-18,NaN
572.0,2.254e-18,NaN
574.0,2.394e-18,NaN
576.0,2.817e-18,NaN
578.0,2.817e-18,NaN
580.0,2.535e-18,NaN
582.0,2.817e-18,NaN
584.0,2.254e-18,NaN
586.0,2.535e-18,NaN
588.0,3.944e-18,NaN
590.0,5.352e-18,NaN
592.0,4.085e-18,NaN
594.0,3.38e-18,NaN
596.0,3.662e-18,NaN
598.0,3.099e-18,NaN
600.0,2.113e-18,NaN
602.0,2.535e-18,NaN
604.0,3.662e-18,NaN
606.0,3.099e-18,NaN
608.0,1.211e-18,NaN
610.0,1.127e-18,NaN
612.0,1.549e-18,NaN
614.0,2.113e-18,NaN
616.0,1.549e-18,NaN
618.0,1.69e-18,NaN
620.0,2.535e-18,NaN
622.0,6.197e-18,NaN
624.0,1.183e-17,NaN
626.0,6.338e-18,NaN
628.0,6.197e-18,NaN
630.0,5.915e-18,NaN
632.0,2.817e-18,NaN
634.0,1.127e-18,NaN
636.0,1.352e-18,NaN
638.0,1.69e-18,NaN
640.0,9.859e-19,NaN
642.0,8.451e-19,NaN
644.0,7.887e-19,NaN
646.0,5.634e-19,NaN
648.0,5.07e-19,NaN
650.0,4.225e-19,NaN
652.0,2.817e-19,NaN
654.0,2.254e-19,NaN
656.0,1.268e-18,NaN
658.0,1.831e-18,NaN
660.0,4.648e-18,NaN
662.0,1.78e-17,NaN
664.0,1.408e-17,NaN
666.0,5.07e-18,NaN
668.0,1.268e-18,NaN
670.0,6.479e-19,NaN
