λ,σ,Δσ
190.0,1.36e-17,NaN
195.0,1.016e-17,NaN
200.0,5.88e-18,NaN
205.0,2.8e-18,NaN
210.0,1.04e-18,NaN
215.0,3.65e-19,NaN
220.0,1.49e-19,NaN
225.0,8.81e-20,NaN
230.0,5.75e-20,NaN
235.0,3.75e-20,NaN
240.0,2.58e-20,NaN
245.0,2.11e-20,NaN
250.0,1.97e-20,NaN
255.0,1.95e-20,NaN
260.0,1.91e-20,NaN
265.0,1.8e-20,NaN
270.0,1.62e-20,NaN
275.0,1.38e-20,NaN
280.0,1.12e-20,NaN
285.0,8.58e-21,NaN
290.0,6.15e-21,NaN
295.0,4.12e-21,NaN
300.0,2.63e-21,NaN
305.0,1.5e-21,NaN
310.0,8.1e-22,NaN
315.0,4.1e-22,NaN
320.0,2.0e-22,NaN
325.0,9.5e-23,NaN
330.0,4.3e-23,NaN
335.0,2.2e-23,NaN
340.0,1.0e-23,NaN
345.0,6.0e-24,NaN
350.0,4.0e-24,NaN
