λ,σ,Δσ
0.99,4.2e-20,NaN
1.34,8.9e-20,NaN
4.46,1.8e-19,NaN
6.8,5.0e-19,NaN
10.0,8.4e-19,NaN
20.93,6.5e-18,NaN
24.72,9.8e-18,NaN
30.38,1.2e-17,NaN
43.0,2.1e-17,NaN
43.5,2.4e-17,NaN
50.75,2.4e-17,NaN
50.82,2.2e-17,NaN
52.22,2.4e-17,NaN
52.58,2.6e-17,NaN
53.7,2.5e-17,NaN
55.33,2.5e-17,NaN
55.41,2.5e-17,NaN
55.45,2.5e-17,NaN
55.53,2.5e-17,NaN
58.43,2.3e-17,NaN
59.96,2.3e-17,NaN
61.0,2.4e-17,NaN
62.5,2.4e-17,NaN
62.97,2.4e-17,NaN
68.5,2.5e-17,NaN
68.55,2.5e-17,NaN
68.58,2.6e-17,NaN
68.63,2.5e-17,NaN
70.23,2.6e-17,NaN
70.38,2.6e-17,NaN
76.11,4.0e-17,NaN
76.51,8.5e-17,NaN
77.04,1.5e-17,NaN
78.03,1.9e-17,NaN
78.77,9.0e-18,NaN
79.01,2.6e-17,NaN
79.02,2.4e-17,NaN
83.45,3.3e-18,NaN
83.51,2.6e-17,NaN
83.53,1.5e-17,NaN
90.4,6.3e-18,NaN
93.07,4.8e-18,NaN
93.78,1.0e-17,NaN
94.97,5.2e-18,NaN
97.25,3.7e-16,NaN
97.7,7.0e-19,NaN
98.98,1.1e-18,NaN
99.16,1.9e-18,NaN
102.57,1.0e-21,NaN
103.19,7.0e-22,NaN
103.76,7.0e-22,NaN
120.65,0.0,NaN
121.57,6.0e-23,NaN
