λ,σ,Δσ
140.0,6.66e-18,NaN
140.02,6.25e-18,NaN
140.04,4.71e-18,NaN
140.06,3.94e-18,NaN
140.08,3.35e-18,NaN
140.1,2.83e-18,NaN
140.12,2.52e-18,NaN
140.14,2.15e-18,NaN
140.16,2.11e-18,NaN
140.18,1.91e-18,NaN
140.2,1.82e-18,NaN
140.22,1.79e-18,NaN
140.24,1.59e-18,NaN
140.26,1.53e-18,NaN
140.28,1.59e-18,NaN
140.3,1.62e-18,NaN
140.32,1.53e-18,NaN
140.34,1.58e-18,NaN
140.36,1.69e-18,NaN
140.38,1.72e-18,NaN
140.4,2.5e-18,NaN
140.42,4.68e-18,NaN
140.44,9.02e-18,NaN
140.46,1.4e-17,NaN
140.48,1.55e-17,NaN
140.5,1.21e-17,NaN
140.52,1.06e-17,NaN
140.54,1.05e-17,NaN
140.56,9.5e-18,NaN
140.58,7.89e-18,NaN
140.6,6.33e-18,NaN
140.62,5.39e-18,NaN
140.64,4.5e-18,NaN
140.66,3.93e-18,NaN
140.68,3.57e-18,NaN
140.7,3.24e-18,NaN
140.72,3.27e-18,NaN
140.74,3.4e-18,NaN
140.76,4.67e-18,NaN
140.78,5.84e-18,NaN
140.8,4.74e-18,NaN
140.82,3.42e-18,NaN
140.84,3.39e-18,NaN
140.86,3.46e-18,NaN
140.88,3.47e-18,NaN
140.9,3.39e-18,NaN
140.92,3.3e-18,NaN
140.94,3.15e-18,NaN
140.96,2.99e-18,NaN
140.98,2.99e-18,NaN
141.0,2.64e-18,NaN
141.02,2.61e-18,NaN
141.04,2.6e-18,NaN
141.06,2.68e-18,NaN
141.08,2.64e-18,NaN
141.1,2.67e-18,NaN
141.12,2.3e-18,NaN
141.14,2.17e-18,NaN
141.16,2.37e-18,NaN
141.18,2.6e-18,NaN
141.2,2.76e-18,NaN
141.22,2.83e-18,NaN
141.24,3.33e-18,NaN
141.26,3.63e-18,NaN
141.28,3.7e-18,NaN
141.3,3.63e-18,NaN
141.32,3.63e-18,NaN
141.34,3.76e-18,NaN
141.36,3.78e-18,NaN
141.38,3.54e-18,NaN
141.4,3.1e-18,NaN
141.42,2.78e-18,NaN
141.44,2.32e-18,NaN
141.46,2.23e-18,NaN
141.48,2.19e-18,NaN
141.5,1.9e-18,NaN
141.52,1.66e-18,NaN
141.54,1.52e-18,NaN
141.56,1.33e-18,NaN
141.58,1.28e-18,NaN
141.6,1.12e-18,NaN
141.62,1.0e-18,NaN
141.64,9.7e-19,NaN
141.66,9.59e-19,NaN
141.68,9.89e-19,NaN
141.7,9.25e-19,NaN
141.72,9.65e-19,NaN
141.74,1.02e-18,NaN
141.76,1.1e-18,NaN
141.78,1.36e-18,NaN
141.8,2.21e-18,NaN
141.82,4.56e-18,NaN
141.84,6.34e-18,NaN
141.86,6.01e-18,NaN
141.88,4.98e-18,NaN
141.9,3.95e-18,NaN
141.92,3.93e-18,NaN
