λ,σ,Δσ
106.0,2.370773e-17,NaN
106.02,2.670699e-17,NaN
106.04,2.589293e-17,NaN
106.06,2.511369e-17,NaN
106.08,2.624445e-17,NaN
106.1,2.70921e-17,NaN
106.12,2.676919e-17,NaN
106.14,2.412781e-17,NaN
106.16,2.65395e-17,NaN
106.18,2.692751e-17,NaN
106.2,2.695267e-17,NaN
106.22,2.637045e-17,NaN
106.24,2.819579e-17,NaN
106.26,2.46246e-17,NaN
106.28,2.660061e-17,NaN
106.3,2.672515e-17,NaN
106.32,2.714084e-17,NaN
106.34,2.385349e-17,NaN
106.36,2.69542e-17,NaN
106.38,2.666042e-17,NaN
106.4,2.456646e-17,NaN
106.42,2.746141e-17,NaN
106.44,2.489542e-17,NaN
106.46,2.457453e-17,NaN
106.48,2.45891e-17,NaN
106.5,2.637914e-17,NaN
106.52,2.522586e-17,NaN
106.54,2.5923e-17,NaN
106.56,2.619673e-17,NaN
106.58,2.533055e-17,NaN
106.6,2.270451e-17,NaN
106.62,2.649948e-17,NaN
106.64,2.548986e-17,NaN
106.66,2.460242e-17,NaN
106.68,2.539695e-17,NaN
106.7,2.73899e-17,NaN
106.72,2.453494e-17,NaN
106.74,2.592969e-17,NaN
106.76,2.529688e-17,NaN
106.78,2.558587e-17,NaN
106.8,2.557763e-17,NaN
106.82,2.613807e-17,NaN
106.84,2.566425e-17,NaN
106.86,2.585816e-17,NaN
106.88,2.623484e-17,NaN
106.9,2.563409e-17,NaN
106.92,2.711243e-17,NaN
106.94,2.59452e-17,NaN
106.96,2.451406e-17,NaN
106.98,2.401481e-17,NaN
107.0,2.6829e-17,NaN
107.02,2.610876e-17,NaN
107.04,2.594764e-17,NaN
107.06,2.600778e-17,NaN
107.08,2.558001e-17,NaN
107.1,2.565186e-17,NaN
107.12,2.558073e-17,NaN
107.14,2.536401e-17,NaN
107.16,2.615792e-17,NaN
107.18,2.611814e-17,NaN
107.2,2.734576e-17,NaN
107.22,2.566961e-17,NaN
107.24,2.53321e-17,NaN
107.26,2.470956e-17,NaN
107.28,2.679657e-17,NaN
107.3,2.484767e-17,NaN
107.32,2.568591e-17,NaN
107.34,2.653348e-17,NaN
107.36,2.641641e-17,NaN
107.38,2.515161e-17,NaN
107.4,2.539526e-17,NaN
107.42,2.576052e-17,NaN
107.44,2.664009e-17,NaN
107.46,2.681792e-17,NaN
107.48,2.636393e-17,NaN
107.5,2.396706e-17,NaN
107.52,2.640635e-17,NaN
107.54,2.554554e-17,NaN
107.56,2.552422e-17,NaN
107.58,2.569027e-17,NaN
107.6,2.636451e-17,NaN
107.62,2.657958e-17,NaN
107.64,2.464923e-17,NaN
107.66,2.554078e-17,NaN
107.68,2.745035e-17,NaN
107.7,2.542621e-17,NaN
107.72,2.686749e-17,NaN
107.74,2.571687e-17,NaN
107.76,2.775982e-17,NaN
107.78,2.488031e-17,NaN
107.8,2.68346e-17,NaN
107.82,2.56496e-17,NaN
107.84,2.579261e-17,NaN
107.86,2.530412e-17,NaN
107.88,2.705847e-17,NaN
107.9,2.552074e-17,NaN
107.92,2.525046e-17,NaN
107.94,2.591808e-17,NaN
107.96,2.63446e-17,NaN
107.98,2.541539e-17,NaN
108.0,2.769505e-17,NaN
108.02,2.490915e-17,NaN
108.04,2.669636e-17,NaN
108.06,2.597957e-17,NaN
108.08,2.587017e-17,NaN
108.1,2.577973e-17,NaN
108.12,2.61177e-17,NaN
108.14,2.713227e-17,NaN
108.16,2.626527e-17,NaN
108.18,2.661641e-17,NaN
108.2,2.561656e-17,NaN
108.22,2.744884e-17,NaN
108.24,2.546091e-17,NaN
108.26,2.530142e-17,NaN
108.28,2.578027e-17,NaN
108.3,2.533136e-17,NaN
108.32,2.381866e-17,NaN
108.34,2.518614e-17,NaN
108.36,2.413552e-17,NaN
108.38,2.51999e-17,NaN
108.4,2.708002e-17,NaN
108.42,2.485266e-17,NaN
108.44,2.788478e-17,NaN
108.46,2.742015e-17,NaN
108.48,2.540045e-17,NaN
108.5,2.630922e-17,NaN
108.52,2.514226e-17,NaN
108.54,2.558172e-17,NaN
108.56,2.645554e-17,NaN
108.58,2.546653e-17,NaN
108.6,2.636072e-17,NaN
108.62,2.606346e-17,NaN
108.64,2.473907e-17,NaN
108.66,2.602854e-17,NaN
108.68,2.341449e-17,NaN
108.7,2.528033e-17,NaN
108.72,2.427857e-17,NaN
108.74,2.700686e-17,NaN
108.76,2.555369e-17,NaN
108.78,2.706203e-17,NaN
108.8,2.612902e-17,NaN
108.82,2.629562e-17,NaN
108.84,2.575883e-17,NaN
108.86,2.55018e-17,NaN
108.88,2.439305e-17,NaN
108.9,2.581904e-17,NaN
108.92,2.710873e-17,NaN
108.94,2.595692e-17,NaN
108.96,2.443454e-17,NaN
108.98,2.493906e-17,NaN
109.0,2.454723e-17,NaN
109.02,2.496999e-17,NaN
109.04,2.367243e-17,NaN
109.06,2.588765e-17,NaN
109.08,2.583076e-17,NaN
109.1,2.670392e-17,NaN
109.12,2.542568e-17,NaN
109.14,2.672279e-17,NaN
109.16,2.731811e-17,NaN
109.18,2.559882e-17,NaN
109.2,2.572039e-17,NaN
109.22,2.642115e-17,NaN
109.24,2.577665e-17,NaN
109.26,2.52934e-17,NaN
109.28,2.613519e-17,NaN
109.3,2.501179e-17,NaN
109.32,2.438237e-17,NaN
109.34,2.6177e-17,NaN
109.36,2.485245e-17,NaN
109.38,2.492526e-17,NaN
109.4,2.572224e-17,NaN
109.42,2.622062e-17,NaN
109.44,2.453911e-17,NaN
109.46,2.539925e-17,NaN
109.48,2.355872e-17,NaN
109.5,2.546151e-17,NaN
109.52,2.438099e-17,NaN
109.54,2.509346e-17,NaN
109.56,2.454077e-17,NaN
109.58,2.495941e-17,NaN
109.6,2.453958e-17,NaN
109.62,2.434963e-17,NaN
109.64,2.357422e-17,NaN
109.66,2.247056e-17,NaN
109.68,2.320059e-17,NaN
109.7,2.368273e-17,NaN
109.72,2.442093e-17,NaN
109.74,2.370438e-17,NaN
109.76,2.496627e-17,NaN
109.78,2.513568e-17,NaN
109.8,2.427578e-17,NaN
109.82,2.406603e-17,NaN
109.84,2.367824e-17,NaN
109.86,2.295321e-17,NaN
109.88,2.409876e-17,NaN
109.9,2.425699e-17,NaN
109.92,2.441574e-17,NaN
109.94,2.407848e-17,NaN
109.96,2.366492e-17,NaN
109.98,2.442783e-17,NaN
110.0,2.451157e-17,NaN
110.02,2.298586e-17,NaN
110.04,2.2729e-17,NaN
110.06,2.426899e-17,NaN
110.08,2.508646e-17,NaN
110.1,2.420112e-17,NaN
110.12,2.4999e-17,NaN
110.14,2.419469e-17,NaN
110.16,2.155219e-17,NaN
110.18,2.590988e-17,NaN
110.2,2.474996e-17,NaN
110.22,2.390545e-17,NaN
110.24,2.333985e-17,NaN
110.26,2.399133e-17,NaN
110.28,2.404454e-17,NaN
110.3,2.327816e-17,NaN
110.32,2.280288e-17,NaN
110.34,2.508998e-17,NaN
110.36,2.126258e-17,NaN
110.38,2.404968e-17,NaN
110.4,2.30759e-17,NaN
110.42,2.32327e-17,NaN
110.44,2.28641e-17,NaN
110.46,2.277663e-17,NaN
110.48,2.462679e-17,NaN
110.5,2.492073e-17,NaN
110.52,2.343138e-17,NaN
110.54,2.506125e-17,NaN
110.56,2.379693e-17,NaN
110.58,2.35772e-17,NaN
110.6,2.337787e-17,NaN
110.62,2.329167e-17,NaN
110.64,2.220827e-17,NaN
110.66,2.272253e-17,NaN
110.68,2.253348e-17,NaN
110.7,2.249252e-17,NaN
110.72,2.46709e-17,NaN
110.74,2.291199e-17,NaN
110.76,2.239752e-17,NaN
110.78,2.313388e-17,NaN
110.8,2.278949e-17,NaN
110.82,2.198648e-17,NaN
110.84,2.257583e-17,NaN
110.86,2.269704e-17,NaN
110.88,2.331415e-17,NaN
110.9,2.240364e-17,NaN
110.92,2.173487e-17,NaN
110.94,2.172414e-17,NaN
110.96,2.166113e-17,NaN
110.98,2.150185e-17,NaN
111.0,2.340139e-17,NaN
111.02,2.225338e-17,NaN
111.04,2.287923e-17,NaN
111.06,2.280834e-17,NaN
111.08,2.379064e-17,NaN
111.1,2.303124e-17,NaN
111.12,2.224502e-17,NaN
111.14,2.382304e-17,NaN
111.16,2.352704e-17,NaN
111.18,2.516402e-17,NaN
111.2,2.368426e-17,NaN
111.22,2.318189e-17,NaN
111.24,2.336266e-17,NaN
111.26,2.215914e-17,NaN
111.28,2.274769e-17,NaN
111.3,2.370125e-17,NaN
111.32,2.271857e-17,NaN
111.34,2.169077e-17,NaN
111.36,2.169984e-17,NaN
111.38,2.249978e-17,NaN
111.4,2.099108e-17,NaN
111.42,2.07748e-17,NaN
111.44,2.184886e-17,NaN
111.46,2.117675e-17,NaN
111.48,2.275221e-17,NaN
111.5,2.269814e-17,NaN
111.52,2.362224e-17,NaN
111.54,2.243378e-17,NaN
111.56,2.229544e-17,NaN
111.58,2.150828e-17,NaN
111.6,2.05889e-17,NaN
111.62,2.095565e-17,NaN
111.64,1.890837e-17,NaN
111.66,2.218977e-17,NaN
111.68,2.026148e-17,NaN
111.7,2.175872e-17,NaN
111.72,2.168407e-17,NaN
111.74,2.175106e-17,NaN
111.76,2.128899e-17,NaN
111.78,2.065759e-17,NaN
111.8,2.181012e-17,NaN
111.82,2.023742e-17,NaN
111.84,2.061619e-17,NaN
111.86,2.179847e-17,NaN
111.88,2.168238e-17,NaN
111.9,2.167827e-17,NaN
111.92,2.061352e-17,NaN
111.94,2.09556e-17,NaN
111.96,2.096436e-17,NaN
111.98,1.983264e-17,NaN
112.0,1.940307e-17,NaN
112.02,2.013173e-17,NaN
112.04,2.155004e-17,NaN
112.06,2.089778e-17,NaN
112.08,2.087518e-17,NaN
112.1,2.176012e-17,NaN
112.12,2.16293e-17,NaN
112.14,1.988601e-17,NaN
112.16,2.222927e-17,NaN
112.18,2.301466e-17,NaN
112.2,2.262697e-17,NaN
112.22,2.196888e-17,NaN
112.24,2.089474e-17,NaN
112.26,2.116133e-17,NaN
112.28,2.096771e-17,NaN
112.3,2.00823e-17,NaN
112.32,2.147494e-17,NaN
112.34,2.08453e-17,NaN
112.36,2.051971e-17,NaN
112.38,2.207001e-17,NaN
112.4,2.196785e-17,NaN
112.42,1.965885e-17,NaN
112.44,2.039695e-17,NaN
112.46,2.001213e-17,NaN
112.48,1.913341e-17,NaN
112.5,2.073163e-17,NaN
112.52,2.22239e-17,NaN
112.54,2.023629e-17,NaN
112.56,2.028993e-17,NaN
112.58,2.052434e-17,NaN
112.6,2.099756e-17,NaN
112.62,1.88626e-17,NaN
112.64,1.906233e-17,NaN
112.66,1.740393e-17,NaN
112.68,1.782045e-17,NaN
112.7,1.880112e-17,NaN
112.72,1.890024e-17,NaN
112.74,1.942256e-17,NaN
112.76,2.030462e-17,NaN
112.78,1.93154e-17,NaN
112.8,1.873368e-17,NaN
112.82,1.929701e-17,NaN
112.84,1.840984e-17,NaN
112.86,1.906815e-17,NaN
112.88,1.999319e-17,NaN
112.9,1.88532e-17,NaN
112.92,2.053011e-17,NaN
112.94,1.839971e-17,NaN
112.96,1.861354e-17,NaN
112.98,1.909135e-17,NaN
113.0,1.876221e-17,NaN
113.02,1.752964e-17,NaN
113.04,1.887489e-17,NaN
113.06,1.917661e-17,NaN
113.08,1.963156e-17,NaN
113.1,1.931782e-17,NaN
113.12,1.901901e-17,NaN
113.14,1.934883e-17,NaN
113.16,1.812829e-17,NaN
113.18,2.170562e-17,NaN
113.2,2.013017e-17,NaN
113.22,2.25614e-17,NaN
113.24,2.231249e-17,NaN
113.26,2.154393e-17,NaN
113.28,2.036332e-17,NaN
113.3,1.866881e-17,NaN
113.32,1.868681e-17,NaN
113.34,1.798095e-17,NaN
113.36,1.831803e-17,NaN
113.38,1.885061e-17,NaN
113.4,1.826402e-17,NaN
113.42,1.879967e-17,NaN
113.44,1.766506e-17,NaN
113.46,1.794261e-17,NaN
113.48,1.788844e-17,NaN
113.5,1.727935e-17,NaN
113.52,1.943902e-17,NaN
113.54,1.92438e-17,NaN
113.56,2.031549e-17,NaN
113.58,2.007417e-17,NaN
113.6,1.808121e-17,NaN
113.62,1.918236e-17,NaN
113.64,1.757489e-17,NaN
113.66,1.65936e-17,NaN
113.68,1.635299e-17,NaN
113.7,1.607936e-17,NaN
113.72,1.695673e-17,NaN
113.74,1.746954e-17,NaN
113.76,1.827031e-17,NaN
113.78,1.933722e-17,NaN
113.8,1.74309e-17,NaN
113.82,1.672608e-17,NaN
113.84,1.711355e-17,NaN
113.86,1.776217e-17,NaN
113.88,1.810113e-17,NaN
113.9,1.86288e-17,NaN
113.92,1.707793e-17,NaN
113.94,1.724757e-17,NaN
113.96,1.91482e-17,NaN
113.98,1.771665e-17,NaN
114.0,1.842144e-17,NaN
114.02,1.579549e-17,NaN
114.04,1.761756e-17,NaN
114.06,1.704371e-17,NaN
114.08,1.72517e-17,NaN
114.1,1.722475e-17,NaN
114.12,1.806565e-17,NaN
114.14,1.771626e-17,NaN
114.16,1.81182e-17,NaN
114.18,1.683387e-17,NaN
114.2,1.631716e-17,NaN
114.22,1.798506e-17,NaN
114.24,1.954528e-17,NaN
114.26,2.268534e-17,NaN
114.28,2.237813e-17,NaN
114.3,2.060725e-17,NaN
114.32,2.10717e-17,NaN
114.34,1.90946e-17,NaN
114.36,1.783299e-17,NaN
114.38,1.650251e-17,NaN
114.4,1.686888e-17,NaN
114.42,1.64048e-17,NaN
114.44,1.65138e-17,NaN
114.46,1.737232e-17,NaN
114.48,1.712475e-17,NaN
114.5,1.602022e-17,NaN
114.52,1.53166e-17,NaN
114.54,1.733739e-17,NaN
114.56,1.486272e-17,NaN
114.58,1.717997e-17,NaN
114.6,1.890435e-17,NaN
114.62,1.81635e-17,NaN
114.64,1.688381e-17,NaN
114.66,1.565809e-17,NaN
114.68,1.511673e-17,NaN
114.7,1.40773e-17,NaN
114.72,1.535711e-17,NaN
114.74,1.451913e-17,NaN
114.76,1.423575e-17,NaN
114.78,1.511144e-17,NaN
114.8,1.703124e-17,NaN
114.82,1.587577e-17,NaN
114.84,1.522599e-17,NaN
114.86,1.57282e-17,NaN
114.88,1.567211e-17,NaN
114.9,1.52938e-17,NaN
114.92,1.524023e-17,NaN
114.94,1.446667e-17,NaN
114.96,1.40714e-17,NaN
114.98,1.529831e-17,NaN
115.0,1.548495e-17,NaN
115.02,1.675937e-17,NaN
115.04,1.622609e-17,NaN
115.06,1.552189e-17,NaN
115.08,1.633223e-17,NaN
115.1,1.545563e-17,NaN
115.12,1.412086e-17,NaN
115.14,1.64084e-17,NaN
115.16,1.666252e-17,NaN
115.18,1.612534e-17,NaN
115.2,1.519234e-17,NaN
115.22,1.612762e-17,NaN
115.24,1.418513e-17,NaN
115.26,1.433699e-17,NaN
115.28,1.738094e-17,NaN
115.3,1.965725e-17,NaN
115.32,2.292205e-17,NaN
115.34,2.108303e-17,NaN
115.36,1.890886e-17,NaN
115.38,1.705446e-17,NaN
115.4,1.647667e-17,NaN
115.42,1.562337e-17,NaN
115.44,1.640429e-17,NaN
115.46,1.575904e-17,NaN
115.48,1.43776e-17,NaN
115.5,1.404731e-17,NaN
115.52,1.648786e-17,NaN
115.54,1.600379e-17,NaN
115.56,1.544488e-17,NaN
115.58,1.47331e-17,NaN
115.6,1.327306e-17,NaN
115.62,1.486553e-17,NaN
115.64,1.548804e-17,NaN
115.66,1.684457e-17,NaN
115.68,1.539061e-17,NaN
115.7,1.352917e-17,NaN
115.72,1.199202e-17,NaN
115.74,1.384055e-17,NaN
115.76,1.152563e-17,NaN
115.78,1.144229e-17,NaN
115.8,1.145755e-17,NaN
115.82,1.325801e-17,NaN
115.84,1.20681e-17,NaN
115.86,1.344408e-17,NaN
115.88,1.219131e-17,NaN
115.9,1.318021e-17,NaN
115.92,1.389678e-17,NaN
115.94,1.430344e-17,NaN
115.96,1.356905e-17,NaN
115.98,1.277201e-17,NaN
116.0,1.283049e-17,NaN
116.02,1.383257e-17,NaN
116.04,1.297725e-17,NaN
116.06,1.27659e-17,NaN
116.08,1.306485e-17,NaN
116.1,1.584929e-17,NaN
116.12,1.759831e-17,NaN
116.14,1.646666e-17,NaN
116.16,1.502549e-17,NaN
116.18,1.475341e-17,NaN
116.2,1.581354e-17,NaN
116.22,1.633784e-17,NaN
116.24,1.55423e-17,NaN
116.26,1.497335e-17,NaN
116.28,1.357749e-17,NaN
116.3,1.329464e-17,NaN
116.32,1.331494e-17,NaN
116.34,1.542399e-17,NaN
116.36,1.827723e-17,NaN
116.38,2.169182e-17,NaN
116.4,2.370924e-17,NaN
116.42,1.969183e-17,NaN
116.44,1.634176e-17,NaN
116.46,1.546786e-17,NaN
116.48,1.361603e-17,NaN
116.5,1.309398e-17,NaN
116.52,1.311373e-17,NaN
116.54,1.262352e-17,NaN
116.56,1.26235e-17,NaN
116.58,1.241674e-17,NaN
116.6,1.538599e-17,NaN
116.62,1.644261e-17,NaN
116.64,1.521544e-17,NaN
116.66,1.336945e-17,NaN
116.68,1.524797e-17,NaN
116.7,1.442255e-17,NaN
116.72,1.657135e-17,NaN
116.74,1.407877e-17,NaN
116.76,1.277911e-17,NaN
116.78,9.85396e-18,NaN
116.8,9.68307e-18,NaN
116.82,1.104453e-17,NaN
116.84,1.01784e-17,NaN
116.86,1.133858e-17,NaN
116.88,9.56748e-18,NaN
116.9,1.100742e-17,NaN
116.92,9.77703e-18,NaN
116.94,9.85122e-18,NaN
116.96,1.076065e-17,NaN
116.98,1.081893e-17,NaN
117.0,1.111678e-17,NaN
117.02,1.223259e-17,NaN
117.04,1.26366e-17,NaN
117.06,1.138396e-17,NaN
117.08,1.180914e-17,NaN
117.1,1.143374e-17,NaN
117.12,1.263178e-17,NaN
117.14,1.353353e-17,NaN
117.16,1.330532e-17,NaN
117.18,1.453856e-17,NaN
117.2,1.786964e-17,NaN
117.22,1.717732e-17,NaN
117.24,1.845443e-17,NaN
117.26,1.755971e-17,NaN
117.28,1.617838e-17,NaN
117.3,1.535936e-17,NaN
117.32,1.343164e-17,NaN
117.34,1.417581e-17,NaN
117.36,1.324402e-17,NaN
117.38,1.285994e-17,NaN
117.4,1.397394e-17,NaN
117.42,1.586594e-17,NaN
117.44,1.919609e-17,NaN
117.46,2.026777e-17,NaN
117.48,2.159732e-17,NaN
117.5,1.97262e-17,NaN
117.52,1.58081e-17,NaN
117.54,1.4423e-17,NaN
117.56,1.32143e-17,NaN
117.58,1.140782e-17,NaN
117.6,1.162685e-17,NaN
117.62,1.069548e-17,NaN
117.64,1.158387e-17,NaN
117.66,1.116294e-17,NaN
117.68,1.358679e-17,NaN
117.7,1.32203e-17,NaN
117.72,1.268291e-17,NaN
117.74,1.454368e-17,NaN
117.76,1.441783e-17,NaN
117.78,1.49284e-17,NaN
117.8,1.297065e-17,NaN
117.82,1.198807e-17,NaN
117.84,1.092258e-17,NaN
117.86,9.97147e-18,NaN
117.88,9.95878e-18,NaN
117.9,9.94694e-18,NaN
117.92,7.62121e-18,NaN
117.94,9.0055e-18,NaN
117.96,8.64356e-18,NaN
117.98,7.69014e-18,NaN
118.0,8.23735e-18,NaN
118.02,8.32852e-18,NaN
118.04,7.48631e-18,NaN
118.06,7.22009e-18,NaN
118.08,8.19855e-18,NaN
118.1,7.63556e-18,NaN
118.12,1.108377e-17,NaN
118.14,1.056511e-17,NaN
118.16,1.000416e-17,NaN
118.18,1.087371e-17,NaN
118.2,1.12745e-17,NaN
118.22,1.109296e-17,NaN
118.24,1.112054e-17,NaN
118.26,1.242696e-17,NaN
118.28,1.311084e-17,NaN
118.3,1.843602e-17,NaN
118.32,2.117245e-17,NaN
118.34,1.90391e-17,NaN
118.36,1.775156e-17,NaN
118.38,1.748961e-17,NaN
118.4,1.538649e-17,NaN
118.42,1.499286e-17,NaN
118.44,1.434769e-17,NaN
118.46,1.437876e-17,NaN
118.48,1.613749e-17,NaN
118.5,1.692375e-17,NaN
118.52,1.914866e-17,NaN
