λ,σ,Δσ
170.0,9.701e-19,NaN
170.01,9.365e-19,NaN
170.02,9.236e-19,NaN
170.03,9.608e-19,NaN
170.04,9.847e-19,NaN
170.05,9.468e-19,NaN
170.06,9.228e-19,NaN
170.07,9.524e-19,NaN
170.08,9.524e-19,NaN
170.09,9.42e-19,NaN
170.1,9.763e-19,NaN
170.11,9.504e-19,NaN
170.12,9.355e-19,NaN
170.13,9.873e-19,NaN
170.14,1.047e-18,NaN
170.15,9.598e-19,NaN
170.16,1.057e-18,NaN
170.17,1.024e-18,NaN
170.18,9.933e-19,NaN
170.19,9.623e-19,NaN
170.2,1.018e-18,NaN
170.21,1.031e-18,NaN
170.22,9.813e-19,NaN
170.23,1.046e-18,NaN
170.24,1.026e-18,NaN
170.25,1.014e-18,NaN
170.26,1.025e-18,NaN
170.27,1.042e-18,NaN
170.28,1.072e-18,NaN
170.29,1.105e-18,NaN
170.3,1.099e-18,NaN
170.31,1.102e-18,NaN
170.32,1.123e-18,NaN
170.33,1.151e-18,NaN
170.34,1.095e-18,NaN
170.35,1.064e-18,NaN
170.36,1.078e-18,NaN
170.37,1.06e-18,NaN
170.38,1.14e-18,NaN
170.39,1.126e-18,NaN
170.4,1.151e-18,NaN
170.41,1.118e-18,NaN
170.42,1.134e-18,NaN
170.43,1.17e-18,NaN
170.44,1.187e-18,NaN
170.45,1.208e-18,NaN
170.46,1.207e-18,NaN
170.47,1.202e-18,NaN
170.48,1.205e-18,NaN
170.49,1.219e-18,NaN
170.5,1.201e-18,NaN
170.51,1.187e-18,NaN
170.52,1.156e-18,NaN
170.53,1.213e-18,NaN
170.54,1.208e-18,NaN
170.55,1.27e-18,NaN
170.56,1.305e-18,NaN
170.57,1.264e-18,NaN
170.58,1.298e-18,NaN
170.59,1.319e-18,NaN
170.6,1.296e-18,NaN
170.61,1.39e-18,NaN
170.62,1.353e-18,NaN
170.63,1.284e-18,NaN
170.64,1.336e-18,NaN
170.65,1.365e-18,NaN
170.66,1.363e-18,NaN
170.67,1.402e-18,NaN
170.68,1.418e-18,NaN
170.69,1.402e-18,NaN
170.7,1.464e-18,NaN
