λ,σ
58.02,2.83e-17
58.24,2.84e-17
58.45,2.85e-17
58.66,2.87e-17
58.88,2.88e-17
59.09,2.89e-17
59.31,2.9e-17
59.52,2.91e-17
59.73,2.93e-17
59.94,2.94e-17
60.15,2.95e-17
60.37,2.97e-17
60.6,2.98e-17
60.8,2.99e-17
61.02,3.0e-17
61.24,3.02e-17
61.47,3.03e-17
61.68,3.04e-17
61.89,3.05e-17
62.1,3.06e-17
62.33,3.08e-17
62.54,3.09e-17
62.75,3.1e-17
62.97,3.11e-17
63.19,3.12e-17
63.4,3.13e-17
63.62,3.14e-17
63.83,3.15e-17
64.0,3.15e-17
64.22,3.16e-17
64.45,3.18e-17
64.67,3.18e-17
64.88,3.2e-17
65.09,3.21e-17
65.31,3.22e-17
65.54,3.23e-17
65.76,3.24e-17
65.98,3.25e-17
66.2,3.25e-17
66.44,3.26e-17
66.66,3.27e-17
66.87,3.28e-17
67.09,3.29e-17
67.31,3.3e-17
67.54,3.31e-17
67.71,3.32e-17
67.78,3.32e-17
67.94,3.33e-17
68.17,3.34e-17
68.39,3.35e-17
68.62,3.35e-17
68.84,3.36e-17
69.07,3.37e-17
69.3,3.38e-17
69.53,3.39e-17
69.75,3.39e-17
69.99,3.4e-17
70.21,3.41e-17
70.43,3.42e-17
70.67,3.42e-17
70.91,3.42e-17
71.14,3.43e-17
71.37,3.43e-17
71.6,3.44e-17
71.84,3.44e-17
72.08,3.44e-17
72.32,3.44e-17
72.56,3.44e-17
72.78,3.44e-17
73.02,3.44e-17
73.25,3.43e-17
73.48,3.43e-17
73.72,3.43e-17
73.95,3.42e-17
74.18,3.42e-17
74.41,3.42e-17
74.65,3.42e-17
74.87,3.41e-17
75.1,3.41e-17
75.33,3.4e-17
75.57,3.4e-17
75.8,3.39e-17
75.98,3.39e-17
76.22,3.38e-17
76.44,3.38e-17
76.66,3.37e-17
76.9,3.37e-17
77.13,3.36e-17
77.35,3.35e-17
77.59,3.35e-17
77.81,3.34e-17
78.02,3.33e-17
78.25,3.33e-17
78.47,3.31e-17
78.69,3.31e-17
78.92,3.3e-17
79.2,3.29e-17
79.42,3.28e-17
79.63,3.26e-17
79.86,3.25e-17
80.07,3.24e-17
80.28,3.23e-17
80.5,3.21e-17
80.71,3.2e-17
80.93,3.19e-17
81.13,3.17e-17
81.33,3.15e-17
81.52,3.13e-17
81.71,3.12e-17
81.92,3.1e-17
82.12,3.08e-17
82.32,3.07e-17
82.5,3.04e-17
82.69,3.02e-17
82.88,3.0e-17
83.06,2.98e-17
83.23,2.96e-17
83.43,2.94e-17
83.6,2.92e-17
83.78,2.9e-17
83.94,2.87e-17
84.08,2.85e-17
84.19,2.84e-17
84.22,2.83e-17
84.36,2.81e-17
84.53,2.79e-17
84.71,2.77e-17
84.88,2.74e-17
85.06,2.72e-17
85.22,2.69e-17
85.4,2.67e-17
85.57,2.65e-17
85.75,2.62e-17
85.93,2.6e-17
86.09,2.58e-17
86.25,2.55e-17
86.41,2.52e-17
86.59,2.5e-17
86.75,2.47e-17
86.91,2.45e-17
87.08,2.43e-17
87.26,2.4e-17
87.42,2.38e-17
87.59,2.35e-17
87.76,2.33e-17
87.94,2.31e-17
88.13,2.29e-17
88.3,2.26e-17
88.5,2.24e-17
88.68,2.22e-17
88.86,2.2e-17
89.05,2.18e-17
89.22,2.16e-17
89.4,2.13e-17
89.56,2.11e-17
89.75,2.09e-17
89.91,2.06e-17
90.08,2.04e-17
90.25,2.02e-17
90.42,1.99e-17
90.59,1.96e-17
90.76,1.94e-17
90.94,1.92e-17
91.1,1.89e-17
91.28,1.87e-17
91.43,1.84e-17
91.61,1.82e-17
91.77,1.79e-17
91.93,1.77e-17
92.09,1.74e-17
92.26,1.72e-17
92.44,1.7e-17
92.61,1.67e-17
92.78,1.65e-17
92.97,1.63e-17
93.15,1.61e-17
93.36,1.59e-17
93.57,1.58e-17
93.78,1.57e-17
94.03,1.56e-17
94.26,1.56e-17
94.48,1.57e-17
94.69,1.58e-17
94.9,1.6e-17
95.09,1.62e-17
95.27,1.64e-17
95.44,1.67e-17
95.62,1.68e-17
95.76,1.71e-17
95.93,1.73e-17
96.09,1.76e-17
96.27,1.78e-17
96.43,1.81e-17
96.59,1.83e-17
96.75,1.86e-17
96.91,1.88e-17
97.06,1.9e-17
97.22,1.93e-17
97.37,1.95e-17
97.53,1.97e-17
97.69,2.0e-17
97.84,2.02e-17
98.0,2.05e-17
98.16,2.07e-17
98.32,2.1e-17
98.49,2.12e-17
98.65,2.14e-17
98.81,2.16e-17
98.98,2.19e-17
99.15,2.21e-17
99.32,2.23e-17
99.5,2.25e-17
99.68,2.27e-17
99.84,2.29e-17
100.04,2.31e-17
