T,author_year,download_url,comments,formula,name,citation,fname
298.0,BeckerWelge(1964),"https://uv-vis-spectral-atlas-mainz.org//uvvis_data/cross_sections/Nitrogen+compounds(N,H,O)/NH3_BeckerWelge(1964)_298K_116.5-147.0nm.txt","Absorption coefficients k(atm, 273K)",NH3,ammonia,"

  K.H. Becker and K.H. Welge, ""Fluoreszenzuntersuchungen und photochemische Primärprozesse im Vakuum-UV bei NH","data/cross-sections/Nitrogen+compounds(N,H,O)/NH3/NH3_BeckerWelge(1964)_298K_116.csv"
295.0,Bennett(1971),"https://uv-vis-spectral-atlas-mainz.org//uvvis_data/cross_sections/Nitrogen+compounds(N,H,O)/NH3_Bennett(1971)_295K_58.4nm.txt","Absorption coefficient k (atm, 273 K)",NH3,ammonia,"

  S.W. Bennett, J.B. Tellinghuisen, and L.F. Phillips, ""Absorption coefficients and ionization yields of some small molecules at 58.4 nm"",
  J. Phys. Chem. 75, 719-721 (1971); 


  DOI: ","data/cross-sections/Nitrogen+compounds(N,H,O)/NH3/NH3_Bennett(1971)_295K_58.csv"
298.0,Bertrand(1975),"https://uv-vis-spectral-atlas-mainz.org//uvvis_data/cross_sections/Nitrogen+compounds(N,H,O)/NH3_Bertrand(1975)_298K_123.6nm.txt",Kr resonance line as a light source,NH3,ammonia,"

  C. Bertrand, G.J. Collin, and H. Gagnon, ""Coefficients d'absorption et rendements quantiques ioniques de composés inorganiques et d'hydrocarbones insaturés"",
  J. Chim. Phys. 72, 719-723 (1975); 	


  DOI: ","data/cross-sections/Nitrogen+compounds(N,H,O)/NH3/NH3_Bertrand(1975)_298K_123.csv"
298.0,Burton(1993),"https://uv-vis-spectral-atlas-mainz.org//uvvis_data/cross_sections/Nitrogen+compounds(N,H,O)/NH3_Burton(1993)_298K_6.2-225nm(e,e).txt","Measured by dipole (e,e) spectroscopy; energies E (in eV) and differential oscillator strengths df/dE (in 10",NH3,ammonia,"

  G.R. Burton, W.F. Chan, G. Cooper, and C.E. Brion, ""The electronic absorption spectrum of NH","data/cross-sections/Nitrogen+compounds(N,H,O)/NH3/NH3_Burton(1993)_298K_6.csv"
175.0,Chen(1999),"https://uv-vis-spectral-atlas-mainz.org//uvvis_data/cross_sections/Nitrogen+compounds(N,H,O)/NH3_Chen(1999)_175K_170-218nm(0.01nm).txt","Absorption measurements at 175, 195, and 295 K using synchrotron radiation; spectral resolution 0.05 nm",NH3,ammonia,"

  F.Z. Chen, D.L. Judge, C.Y.R. Wu, and J. Caldwell, ""Low and room temperature photoabsorption cross sections of NH","data/cross-sections/Nitrogen+compounds(N,H,O)/NH3/NH3_Chen(1999)_175K_170-218nm(0.csv"
195.0,Chen(1999),"https://uv-vis-spectral-atlas-mainz.org//uvvis_data/cross_sections/Nitrogen+compounds(N,H,O)/NH3_Chen(1999)_195K_170-222nm(0.01nm).txt","Absorption measurements at 175, 195, and 295 K using synchrotron radiation; spectral resolution 0.05 nm",NH3,ammonia,"

  F.Z. Chen, D.L. Judge, C.Y.R. Wu, and J. Caldwell, ""Low and room temperature photoabsorption cross sections of NH","data/cross-sections/Nitrogen+compounds(N,H,O)/NH3/NH3_Chen(1999)_195K_170-222nm(0.csv"
295.0,Chen(1999),"https://uv-vis-spectral-atlas-mainz.org//uvvis_data/cross_sections/Nitrogen+compounds(N,H,O)/NH3_Chen(1999)_295K_170-226nm(0.01nm).txt","Absorption measurements at 175, 195, and 295 K using synchrotron radiation; spectral resolution 0.05 nm",NH3,ammonia,"

  F.Z. Chen, D.L. Judge, C.Y.R. Wu, and J. Caldwell, ""Low and room temperature photoabsorption cross sections of NH","data/cross-sections/Nitrogen+compounds(N,H,O)/NH3/NH3_Chen(1999)_295K_170-226nm(0.csv"
298.0,Cheng(2006),"https://uv-vis-spectral-atlas-mainz.org//uvvis_data/cross_sections/Nitrogen+compounds(N,H,O)/NH3_Cheng(2006)_298K_140-230nm(0.02nm).txt",The absorption spectra of NH,NH3,ammonia,"

  B.-M. Cheng, H.-C. Lu, H.-K. Chen, M. Bahou, Y.-P. Lee, A.M. Mebel, L.C. Lee, M.-C. Liang, and Y.L. Yung, ""Absorption cross sections of NH","data/cross-sections/Nitrogen+compounds(N,H,O)/NH3/NH3_Cheng(2006)_298K_140-230nm(0.csv"
298.0,Cheng(2006),"https://uv-vis-spectral-atlas-mainz.org//uvvis_data/cross_sections/Nitrogen+compounds(N,H,O)/NH3_Cheng(2006)_298K_142.38-168.82nm(B-X).txt",The absorption spectra of NH,NH3,ammonia,"

  B.-M. Cheng, H.-C. Lu, H.-K. Chen, M. Bahou, Y.-P. Lee, A.M. Mebel, L.C. Lee, M.-C. Liang, and Y.L. Yung, ""Absorption cross sections of NH","data/cross-sections/Nitrogen+compounds(N,H,O)/NH3/NH3_Cheng(2006)_298K_142.csv"
298.0,Cheng(2006),"https://uv-vis-spectral-atlas-mainz.org//uvvis_data/cross_sections/Nitrogen+compounds(N,H,O)/NH3_Cheng(2006)_298K_168.82-216.76nm(A-X).txt",The absorption spectra of NH,NH3,ammonia,"

  B.-M. Cheng, H.-C. Lu, H.-K. Chen, M. Bahou, Y.-P. Lee, A.M. Mebel, L.C. Lee, M.-C. Liang, and Y.L. Yung, ""Absorption cross sections of NH","data/cross-sections/Nitrogen+compounds(N,H,O)/NH3/NH3_Cheng(2006)_298K_168.csv"
