λ,σ,Δσ
156.89,1.02e-17,NaN
157.23,1.03e-17,NaN
157.56,1.04e-17,NaN
157.91,1.05e-17,NaN
158.23,1.06e-17,NaN
158.6,1.07e-17,NaN
158.97,1.08e-17,NaN
159.33,1.09e-17,NaN
159.73,1.09e-17,NaN
160.12,1.1e-17,NaN
160.52,1.1e-17,NaN
160.9,1.11e-17,NaN
161.3,1.11e-17,NaN
161.73,1.12e-17,NaN
162.15,1.12e-17,NaN
162.58,1.12e-17,NaN
163.01,1.12e-17,NaN
163.44,1.11e-17,NaN
163.85,1.11e-17,NaN
164.27,1.1e-17,NaN
164.69,1.1e-17,NaN
165.11,1.09e-17,NaN
165.48,1.08e-17,NaN
165.89,1.07e-17,NaN
166.3,1.06e-17,NaN
166.68,1.05e-17,NaN
167.07,1.05e-17,NaN
167.45,1.04e-17,NaN
167.85,1.02e-17,NaN
168.23,1.01e-17,NaN
168.56,9.98e-18,NaN
168.94,9.84e-18,NaN
169.31,9.72e-18,NaN
169.66,9.58e-18,NaN
170.01,9.44e-18,NaN
170.4,9.32e-18,NaN
170.84,9.23e-18,NaN
171.29,9.18e-18,NaN
171.79,9.17e-18,NaN
172.26,9.17e-18,NaN
172.75,9.18e-18,NaN
173.21,9.19e-18,NaN
173.72,9.18e-18,NaN
174.21,9.18e-18,NaN
174.68,9.18e-18,NaN
175.17,9.14e-18,NaN
175.61,9.16e-18,NaN
176.19,9.17e-18,NaN
176.68,9.18e-18,NaN
177.18,9.18e-18,NaN
177.71,9.19e-18,NaN
178.18,9.18e-18,NaN
178.68,9.21e-18,NaN
179.17,9.21e-18,NaN
179.69,9.22e-18,NaN
180.2,9.23e-18,NaN
180.7,9.24e-18,NaN
181.23,9.29e-18,NaN
181.74,9.32e-18,NaN
182.52,9.41e-18,NaN
182.96,9.48e-18,NaN
183.4,9.56e-18,NaN
183.85,9.67e-18,NaN
184.36,9.77e-18,NaN
184.84,9.84e-18,NaN
185.46,9.91e-18,NaN
186.09,9.95e-18,NaN
186.6,1.0e-17,NaN
187.1,1.01e-17,NaN
187.62,1.02e-17,NaN
188.14,1.03e-17,NaN
188.62,1.04e-17,NaN
189.07,1.05e-17,NaN
189.53,1.06e-17,NaN
189.94,1.08e-17,NaN
190.4,1.09e-17,NaN
190.84,1.11e-17,NaN
191.26,1.13e-17,NaN
191.7,1.14e-17,NaN
192.09,1.16e-17,NaN
192.49,1.17e-17,NaN
192.99,1.19e-17,NaN
193.26,1.2e-17,NaN
193.69,1.22e-17,NaN
194.2,1.24e-17,NaN
194.8,1.26e-17,NaN
195.17,1.28e-17,NaN
195.54,1.29e-17,NaN
195.96,1.31e-17,NaN
196.34,1.33e-17,NaN
196.76,1.34e-17,NaN
197.07,1.36e-17,NaN
197.46,1.38e-17,NaN
198.04,1.39e-17,NaN
198.51,1.41e-17,NaN
198.99,1.43e-17,NaN
199.47,1.44e-17,NaN
199.92,1.46e-17,NaN
200.46,1.47e-17,NaN
200.83,1.48e-17,NaN
201.19,1.49e-17,NaN
201.66,1.5e-17,NaN
202.46,1.5e-17,NaN
203.09,1.51e-17,NaN
203.79,1.51e-17,NaN
204.46,1.5e-17,NaN
205.12,1.5e-17,NaN
205.69,1.48e-17,NaN
206.06,1.47e-17,NaN
206.72,1.45e-17,NaN
207.22,1.43e-17,NaN
207.66,1.42e-17,NaN
207.92,1.4e-17,NaN
208.33,1.39e-17,NaN
208.69,1.37e-17,NaN
209.07,1.35e-17,NaN
209.43,1.33e-17,NaN
209.64,1.31e-17,NaN
209.91,1.29e-17,NaN
210.21,1.27e-17,NaN
210.51,1.25e-17,NaN
210.78,1.22e-17,NaN
211.06,1.2e-17,NaN
211.33,1.18e-17,NaN
211.61,1.15e-17,NaN
211.91,1.13e-17,NaN
212.16,1.1e-17,NaN
212.5,1.06e-17,NaN
212.84,1.03e-17,NaN
213.18,1.01e-17,NaN
213.43,9.85e-18,NaN
213.68,9.64e-18,NaN
213.96,9.43e-18,NaN
214.18,9.2e-18,NaN
214.46,8.91e-18,NaN
214.62,8.74e-18,NaN
214.87,8.53e-18,NaN
215.06,8.32e-18,NaN
215.38,8.05e-18,NaN
215.64,7.81e-18,NaN
215.89,7.6e-18,NaN
216.14,7.39e-18,NaN
216.43,7.18e-18,NaN
216.78,6.98e-18,NaN
217.17,6.78e-18,NaN
217.43,6.57e-18,NaN
217.78,6.32e-18,NaN
218.1,6.12e-18,NaN
218.43,5.92e-18,NaN
218.76,5.71e-18,NaN
219.15,5.51e-18,NaN
219.57,5.32e-18,NaN
220.16,5.02e-18,NaN
220.66,4.78e-18,NaN
221.06,4.59e-18,NaN
221.47,4.43e-18,NaN
221.89,4.27e-18,NaN
222.42,4.13e-18,NaN
223.06,3.99e-18,NaN
223.7,3.86e-18,NaN
224.38,3.75e-18,NaN
225.13,3.66e-18,NaN
225.85,3.59e-18,NaN
226.61,3.51e-18,NaN
227.38,3.47e-18,NaN
228.19,3.41e-18,NaN
229.0,3.38e-18,NaN
229.85,3.36e-18,NaN
230.74,3.38e-18,NaN
231.61,3.38e-18,NaN
232.44,3.38e-18,NaN
233.32,3.39e-18,NaN
234.17,3.41e-18,NaN
235.09,3.42e-18,NaN
235.99,3.42e-18,NaN
236.9,3.43e-18,NaN
237.69,3.42e-18,NaN
238.65,3.4e-18,NaN
239.58,3.36e-18,NaN
240.47,3.36e-18,NaN
241.41,3.33e-18,NaN
242.32,3.28e-18,NaN
243.15,3.22e-18,NaN
244.07,3.17e-18,NaN
244.96,3.08e-18,NaN
245.9,3.01e-18,NaN
246.72,2.89e-18,NaN
247.59,2.78e-18,NaN
248.46,2.66e-18,NaN
249.3,2.55e-18,NaN
250.18,2.42e-18,NaN
251.07,2.31e-18,NaN
251.89,2.19e-18,NaN
252.71,2.08e-18,NaN
253.57,1.95e-18,NaN
254.49,1.83e-18,NaN
255.37,1.72e-18,NaN
256.3,1.61e-18,NaN
257.14,1.48e-18,NaN
258.04,1.36e-18,NaN
258.94,1.26e-18,NaN
259.13,1.24e-18,NaN
260.04,1.12e-18,NaN
260.91,1.01e-18,NaN
261.88,9.01e-19,NaN
262.86,7.91e-19,NaN
263.84,6.99e-19,NaN
264.5,6.35e-19,NaN
265.31,5.62e-19,NaN
266.26,4.7e-19,NaN
267.27,3.88e-19,NaN
268.34,3.24e-19,NaN
269.46,2.61e-19,NaN
270.59,2.06e-19,NaN
271.73,1.52e-19,NaN
272.78,9.77e-20,NaN
273.74,6.16e-20,NaN
