λ,σ,Δσ
202.23,1.21e-17,NaN
202.44,1.17e-17,NaN
202.7,1.11e-17,NaN
202.96,1.06e-17,NaN
203.11,1.01e-17,NaN
203.27,9.79e-18,NaN
203.48,9.37e-18,NaN
203.69,8.95e-18,NaN
203.89,8.41e-18,NaN
204.21,7.9e-18,NaN
204.47,7.34e-18,NaN
204.74,6.93e-18,NaN
205.0,6.53e-18,NaN
205.32,6.1e-18,NaN
205.64,5.61e-18,NaN
205.96,5.21e-18,NaN
206.12,4.95e-18,NaN
206.49,4.55e-18,NaN
206.81,4.21e-18,NaN
207.19,3.84e-18,NaN
207.51,3.5e-18,NaN
208.05,3.11e-18,NaN
208.6,2.72e-18,NaN
209.25,2.35e-18,NaN
209.9,1.99e-18,NaN
210.67,1.65e-18,NaN
211.6,1.45e-18,NaN
212.6,1.3e-18,NaN
213.61,1.2e-18,NaN
214.21,1.15e-18,NaN
214.82,1.11e-18,NaN
215.43,1.08e-18,NaN
216.04,1.04e-18,NaN
216.65,1.0e-18,NaN
217.31,9.64e-19,NaN
218.14,9.3e-19,NaN
219.3,9.12e-19,NaN
220.63,9.07e-19,NaN
221.9,9.22e-19,NaN
222.95,9.48e-19,NaN
223.95,9.75e-19,NaN
224.94,1.0e-18,NaN
226.0,1.03e-18,NaN
227.27,1.04e-18,NaN
228.54,1.04e-18,NaN
229.87,1.04e-18,NaN
231.03,1.02e-18,NaN
232.02,9.95e-19,NaN
233.08,9.7e-19,NaN
233.79,9.33e-19,NaN
234.68,9.01e-19,NaN
235.56,8.74e-19,NaN
236.39,8.42e-19,NaN
237.33,8.12e-19,NaN
238.16,7.82e-19,NaN
238.83,7.45e-19,NaN
239.71,7.15e-19,NaN
240.65,6.85e-19,NaN
241.43,6.5e-19,NaN
242.04,6.13e-19,NaN
242.81,5.78e-19,NaN
243.69,5.46e-19,NaN
244.36,5.11e-19,NaN
245.02,4.75e-19,NaN
245.74,4.39e-19,NaN
246.63,4.01e-19,NaN
247.57,3.61e-19,NaN
248.4,3.27e-19,NaN
249.28,2.96e-19,NaN
249.94,2.77e-19,NaN
250.19,2.59e-19,NaN
251.76,2.32e-19,NaN
253.4,2.09e-19,NaN
255.21,1.91e-19,NaN
257.02,1.73e-19,NaN
258.82,1.59e-19,NaN
260.79,1.48e-19,NaN
262.67,1.39e-19,NaN
264.63,1.33e-19,NaN
266.67,1.27e-19,NaN
268.7,1.26e-19,NaN
270.58,1.24e-19,NaN
272.45,1.25e-19,NaN
274.4,1.27e-19,NaN
276.27,1.3e-19,NaN
278.23,1.33e-19,NaN
280.18,1.36e-19,NaN
282.13,1.41e-19,NaN
284.0,1.41e-19,NaN
285.95,1.44e-19,NaN
287.91,1.46e-19,NaN
289.86,1.42e-19,NaN
291.82,1.41e-19,NaN
293.61,1.36e-19,NaN
295.57,1.32e-19,NaN
297.53,1.25e-19,NaN
300.0,1.22e-19,NaN
302.19,1.09e-19,NaN
304.15,1.0e-19,NaN
306.03,9.35e-20,NaN
307.99,8.52e-20,NaN
309.95,8.01e-20,NaN
311.83,7.17e-20,NaN
313.79,6.67e-20,NaN
315.66,6.16e-20,NaN
317.54,5.32e-20,NaN
319.5,4.98e-20,NaN
321.46,4.14e-20,NaN
323.34,3.8e-20,NaN
325.3,3.29e-20,NaN
327.26,2.79e-20,NaN
329.13,2.28e-20,NaN
332.56,1.1e-20,NaN
