λ,σ,Δσ
115.15,2.63e-17,NaN
115.38,2.66e-17,NaN
115.59,2.69e-17,NaN
115.8,2.72e-17,NaN
116.47,2.85e-17,NaN
116.63,2.88e-17,NaN
116.84,2.91e-17,NaN
117.14,2.95e-17,NaN
117.62,3.04e-17,NaN
118.07,3.08e-17,NaN
118.49,3.08e-17,NaN
118.86,3.05e-17,NaN
119.14,3.03e-17,NaN
119.47,3.0e-17,NaN
119.84,2.98e-17,NaN
120.07,2.96e-17,NaN
120.54,2.96e-17,NaN
121.02,2.97e-17,NaN
121.51,2.97e-17,NaN
122.0,2.95e-17,NaN
122.44,2.94e-17,NaN
122.86,2.92e-17,NaN
123.37,2.9e-17,NaN
123.9,2.87e-17,NaN
124.32,2.84e-17,NaN
124.65,2.82e-17,NaN
125.02,2.79e-17,NaN
125.39,2.77e-17,NaN
125.72,2.74e-17,NaN
126.02,2.72e-17,NaN
126.32,2.69e-17,NaN
126.6,2.66e-17,NaN
126.85,2.63e-17,NaN
126.9,2.63e-17,NaN
127.18,2.6e-17,NaN
127.46,2.57e-17,NaN
127.67,2.55e-17,NaN
127.95,2.52e-17,NaN
128.27,2.49e-17,NaN
128.57,2.47e-17,NaN
128.9,2.44e-17,NaN
129.22,2.41e-17,NaN
129.55,2.39e-17,NaN
129.92,2.36e-17,NaN
130.27,2.34e-17,NaN
130.43,2.32e-17,NaN
130.76,2.3e-17,NaN
131.1,2.27e-17,NaN
131.43,2.24e-17,NaN
131.75,2.21e-17,NaN
132.08,2.19e-17,NaN
132.43,2.16e-17,NaN
132.85,2.14e-17,NaN
133.19,2.12e-17,NaN
133.29,2.11e-17,NaN
133.52,2.08e-17,NaN
134.08,1.99e-17,NaN
134.31,1.96e-17,NaN
134.75,1.89e-17,NaN
135.05,1.87e-17,NaN
135.33,1.84e-17,NaN
135.61,1.81e-17,NaN
135.91,1.78e-17,NaN
136.07,1.77e-17,NaN
136.38,1.74e-17,NaN
137.17,1.65e-17,NaN
137.47,1.63e-17,NaN
137.75,1.6e-17,NaN
138.03,1.57e-17,NaN
138.37,1.55e-17,NaN
138.75,1.52e-17,NaN
139.21,1.5e-17,NaN
139.26,1.5e-17,NaN
139.65,1.48e-17,NaN
139.98,1.45e-17,NaN
140.23,1.43e-17,NaN
140.53,1.4e-17,NaN
140.84,1.37e-17,NaN
140.95,1.36e-17,NaN
141.32,1.34e-17,NaN
141.67,1.32e-17,NaN
142.02,1.29e-17,NaN
142.39,1.27e-17,NaN
142.81,1.25e-17,NaN
143.0,1.23e-17,NaN
143.37,1.21e-17,NaN
143.74,1.18e-17,NaN
143.93,1.17e-17,NaN
144.27,1.14e-17,NaN
144.62,1.12e-17,NaN
145.02,1.09e-17,NaN
145.39,1.07e-17,NaN
145.78,1.05e-17,NaN
146.25,1.06e-17,NaN
146.62,1.07e-17,NaN
146.71,1.08e-17,NaN
146.99,1.1e-17,NaN
147.22,1.13e-17,NaN
147.41,1.16e-17,NaN
147.96,1.26e-17,NaN
148.26,1.3e-17,NaN
148.73,1.33e-17,NaN
148.76,1.33e-17,NaN
149.24,1.32e-17,NaN
149.83,1.32e-17,NaN
150.41,1.32e-17,NaN
150.92,1.31e-17,NaN
151.4,1.3e-17,NaN
151.87,1.28e-17,NaN
152.36,1.28e-17,NaN
152.82,1.29e-17,NaN
153.24,1.29e-17,NaN
153.68,1.28e-17,NaN
154.17,1.27e-17,NaN
154.59,1.29e-17,NaN
155.03,1.31e-17,NaN
155.35,1.33e-17,NaN
155.72,1.35e-17,NaN
156.14,1.37e-17,NaN
156.65,1.38e-17,NaN
157.03,1.36e-17,NaN
157.58,1.36e-17,NaN
158.05,1.35e-17,NaN
158.56,1.34e-17,NaN
159.05,1.33e-17,NaN
159.58,1.32e-17,NaN
160.11,1.31e-17,NaN
160.63,1.32e-17,NaN
161.07,1.31e-17,NaN
161.35,1.28e-17,NaN
161.67,1.26e-17,NaN
162.14,1.24e-17,NaN
162.41,1.22e-17,NaN
162.83,1.2e-17,NaN
162.99,1.2e-17,NaN
163.51,1.18e-17,NaN
164.09,1.18e-17,NaN
164.62,1.18e-17,NaN
165.13,1.18e-17,NaN
165.48,1.16e-17,NaN
165.85,1.13e-17,NaN
166.15,1.1e-17,NaN
166.6,1.08e-17,NaN
167.11,1.08e-17,NaN
167.62,1.06e-17,NaN
168.17,1.06e-17,NaN
168.71,1.05e-17,NaN
169.22,1.04e-17,NaN
169.75,1.03e-17,NaN
170.29,1.02e-17,NaN
170.85,1.02e-17,NaN
171.36,1.01e-17,NaN
171.89,1.0e-17,NaN
172.4,9.91e-18,NaN
172.98,9.86e-18,NaN
173.52,9.78e-18,NaN
174.07,9.72e-18,NaN
174.65,9.72e-18,NaN
175.21,9.72e-18,NaN
175.75,9.69e-18,NaN
176.3,9.76e-18,NaN
176.86,9.81e-18,NaN
177.42,9.83e-18,NaN
177.88,9.99e-18,NaN
178.35,9.93e-18,NaN
178.86,9.89e-18,NaN
179.37,1.0e-17,NaN
179.86,1.01e-17,NaN
180.37,1.02e-17,NaN
180.93,1.02e-17,NaN
181.32,1.04e-17,NaN
181.69,1.07e-17,NaN
182.04,1.09e-17,NaN
182.41,1.08e-17,NaN
182.76,1.06e-17,NaN
183.2,1.04e-17,NaN
183.67,1.05e-17,NaN
184.11,1.06e-17,NaN
184.57,1.05e-17,NaN
185.05,1.03e-17,NaN
