λ,σ
238,1.179e-19
240,9.804e-20
242,8.307e-20
244,7.243e-20
246,6.475e-20
248,5.935e-20
250,5.57e-20
252,5.32e-20
254,5.13e-20
256,4.987e-20
258,4.856e-20
260,4.729e-20
262,4.6e-20
264,4.459e-20
266,4.293e-20
268,4.11e-20
270,3.912e-20
272,3.71e-20
274,3.488e-20
276,3.251e-20
278,3.011e-20
280,2.77e-20
282,2.538e-20
284,2.304e-20
286,2.068e-20
288,1.842e-20
290,1.622e-20
292,1.441e-20
294,1.256e-20
296,1.051e-20
298,9.005e-21
300,7.696e-21
302,6.483e-21
304,5.409e-21
306,4.337e-21
308,3.561e-21
310,2.867e-21
312,2.318e-21
314,1.837e-21
316,1.478e-21
318,1.163e-21
320,9.031e-22
322,6.93e-22
324,5.35e-22
326,4.02e-22
328,3.118e-22
330,2.396e-22
332,1.764e-22
334,1.327e-22
336,9.682e-23
338,7.147e-23
340,5.963e-23
