λ,σ
238,1.126e-19
240,9.202e-20
242,7.694e-20
244,6.601e-20
246,5.833e-20
248,5.279e-20
250,4.925e-20
252,4.679e-20
254,4.515e-20
256,4.391e-20
258,4.263e-20
260,4.154e-20
262,4.026e-20
264,3.885e-20
266,3.74e-20
268,3.569e-20
270,3.385e-20
272,3.201e-20
274,2.99e-20
276,2.778e-20
278,2.573e-20
280,2.354e-20
282,2.139e-20
284,1.927e-20
286,1.725e-20
288,1.52e-20
290,1.331e-20
292,1.164e-20
294,1.009e-20
296,8.405e-21
298,7.116e-21
300,6.005e-21
302,4.972e-21
304,4.084e-21
306,3.3e-21
308,2.648e-21
310,2.095e-21
312,1.615e-21
314,1.238e-21
316,9.434e-22
318,7.048e-22
320,5.27e-22
322,3.93e-22
324,2.806e-22
326,1.948e-22
328,1.4e-22
330,1.048e-22
332,7.028e-23
334,4.623e-23
336,3.638e-23
338,2.885e-23
340,1.871e-23
342,1.268e-23
344,7.744e-24
