λ,σ,Δσ
112.85,1.59779e-17,NaN
112.95,1.801271e-17,NaN
113.05,1.854365e-17,NaN
113.15,1.711066e-17,NaN
113.25,1.935081e-17,NaN
113.34,1.904901e-17,NaN
113.44,1.794443e-17,NaN
113.54,1.743236e-17,NaN
113.64,1.890932e-17,NaN
113.74,1.802187e-17,NaN
113.84,1.753926e-17,NaN
113.94,1.808574e-17,NaN
114.04,1.808348e-17,NaN
114.14,1.516129e-17,NaN
114.23,1.297467e-17,NaN
114.33,9.99222e-18,NaN
114.43,7.31454e-18,NaN
114.53,4.95647e-18,NaN
114.63,4.55679e-18,NaN
114.73,8.39977e-18,NaN
114.83,1.011118e-17,NaN
114.93,1.346257e-17,NaN
115.03,1.748054e-17,NaN
115.13,2.156474e-17,NaN
115.22,2.374887e-17,NaN
115.32,2.721123e-17,NaN
115.42,3.033214e-17,NaN
115.52,3.351908e-17,NaN
115.62,3.622295e-17,NaN
115.72,3.960107e-17,NaN
115.82,4.159514e-17,NaN
115.92,4.268203e-17,NaN
116.02,4.278585e-17,NaN
116.11,4.233216e-17,NaN
116.21,4.224225e-17,NaN
116.31,4.235498e-17,NaN
116.41,4.3668e-17,NaN
116.51,4.37564e-17,NaN
116.61,4.268512e-17,NaN
116.71,4.431804e-17,NaN
116.81,4.395655e-17,NaN
116.91,4.538089e-17,NaN
117.0,4.581448e-17,NaN
117.1,4.75787e-17,NaN
117.2,4.685584e-17,NaN
117.3,4.758385e-17,NaN
117.4,4.810453e-17,NaN
117.5,4.708923e-17,NaN
117.6,4.861145e-17,NaN
117.7,4.820844e-17,NaN
117.8,4.859183e-17,NaN
117.9,4.773214e-17,NaN
117.99,4.776506e-17,NaN
118.09,4.720056e-17,NaN
118.19,4.760801e-17,NaN
118.29,4.792253e-17,NaN
118.39,4.70459e-17,NaN
118.49,4.729962e-17,NaN
118.59,4.738789e-17,NaN
118.69,4.803878e-17,NaN
118.79,4.721219e-17,NaN
118.88,4.718005e-17,NaN
118.98,4.767942e-17,NaN
119.08,4.826468e-17,NaN
119.18,4.911424e-17,NaN
119.28,4.887119e-17,NaN
119.38,4.91709e-17,NaN
119.48,5.008126e-17,NaN
119.58,5.060172e-17,NaN
119.68,5.123573e-17,NaN
119.77,5.263051e-17,NaN
119.87,5.15507e-17,NaN
119.97,5.132204e-17,NaN
120.07,5.048351e-17,NaN
120.17,4.938364e-17,NaN
120.27,4.98301e-17,NaN
120.37,4.88838e-17,NaN
120.47,4.847926e-17,NaN
120.57,4.914818e-17,NaN
120.67,4.77121e-17,NaN
120.76,4.717068e-17,NaN
120.86,4.701149e-17,NaN
120.96,4.725902e-17,NaN
121.06,4.75779e-17,NaN
121.16,4.768084e-17,NaN
121.26,4.729388e-17,NaN
121.36,4.751009e-17,NaN
121.46,4.743439e-17,NaN
121.56,4.640336e-17,NaN
121.65,4.782794e-17,NaN
121.75,4.797965e-17,NaN
121.85,4.861483e-17,NaN
121.95,4.900663e-17,NaN
122.05,4.957859e-17,NaN
122.15,4.866106e-17,NaN
122.25,5.073435e-17,NaN
122.35,5.14104e-17,NaN
122.45,5.136696e-17,NaN
122.54,4.996432e-17,NaN
122.64,5.036141e-17,NaN
122.74,4.947093e-17,NaN
122.84,4.866686e-17,NaN
122.94,4.709267e-17,NaN
123.04,4.615901e-17,NaN
123.14,4.654702e-17,NaN
123.24,4.51833e-17,NaN
123.34,4.526134e-17,NaN
123.44,4.508361e-17,NaN
123.53,4.541026e-17,NaN
123.63,4.583597e-17,NaN
123.73,4.517136e-17,NaN
123.83,4.523777e-17,NaN
123.93,4.542359e-17,NaN
124.03,4.619586e-17,NaN
124.13,4.869171e-17,NaN
124.23,5.02539e-17,NaN
124.33,4.801668e-17,NaN
124.42,5.271405e-17,NaN
124.52,4.758952e-17,NaN
124.62,4.589931e-17,NaN
124.72,4.665301e-17,NaN
124.82,4.61402e-17,NaN
124.92,4.593162e-17,NaN
125.02,4.509819e-17,NaN
125.12,4.48511e-17,NaN
125.22,4.557503e-17,NaN
125.32,4.565044e-17,NaN
125.41,4.499157e-17,NaN
125.51,4.504107e-17,NaN
125.61,4.49607e-17,NaN
125.71,4.509139e-17,NaN
125.81,4.549574e-17,NaN
125.91,4.54727e-17,NaN
126.01,4.628119e-17,NaN
126.11,4.523199e-17,NaN
126.21,4.534475e-17,NaN
126.3,4.619274e-17,NaN
126.4,4.637663e-17,NaN
126.5,4.685193e-17,NaN
126.6,4.732831e-17,NaN
126.7,4.777023e-17,NaN
126.8,4.767576e-17,NaN
126.9,4.659774e-17,NaN
127.0,4.725117e-17,NaN
127.1,4.695229e-17,NaN
127.19,4.60978e-17,NaN
127.29,4.64388e-17,NaN
127.39,4.668905e-17,NaN
127.49,4.643916e-17,NaN
127.59,4.660286e-17,NaN
127.69,4.636232e-17,NaN
127.79,4.642303e-17,NaN
127.89,4.580876e-17,NaN
127.99,4.565748e-17,NaN
128.09,4.504661e-17,NaN
128.18,4.417632e-17,NaN
128.28,4.288328e-17,NaN
128.38,4.16557e-17,NaN
128.48,4.123792e-17,NaN
128.58,4.073773e-17,NaN
128.68,4.065858e-17,NaN
128.78,3.964049e-17,NaN
128.88,4.020016e-17,NaN
128.98,3.961837e-17,NaN
129.07,3.913687e-17,NaN
129.17,3.759613e-17,NaN
129.27,3.771059e-17,NaN
129.37,3.783199e-17,NaN
129.47,3.732042e-17,NaN
129.57,3.745587e-17,NaN
129.67,3.764974e-17,NaN
129.77,3.59831e-17,NaN
129.87,3.563389e-17,NaN
129.96,3.545356e-17,NaN
130.06,3.68192e-17,NaN
130.16,3.6634e-17,NaN
130.26,3.530266e-17,NaN
130.36,3.551215e-17,NaN
