λ,σ,Δσ
170.16,3.16e-19,NaN
170.68,3.23e-19,NaN
171.11,2.85e-19,NaN
171.59,2.38e-19,NaN
172.14,2.28e-19,NaN
172.64,2.23e-19,NaN
173.15,2.31e-19,NaN
173.65,2.05e-19,NaN
174.08,2.55e-19,NaN
174.47,1.48e-19,NaN
174.61,1.91e-19,NaN
174.98,2.58e-19,NaN
175.29,2.2e-19,NaN
175.73,1.64e-19,NaN
176.25,1.59e-19,NaN
176.78,1.37e-19,NaN
177.3,1.28e-19,NaN
177.83,1.44e-19,NaN
178.35,1.35e-19,NaN
178.9,1.51e-19,NaN
179.43,1.63e-19,NaN
179.95,1.41e-19,NaN
180.48,1.49e-19,NaN
180.96,1.9e-19,NaN
181.49,1.98e-19,NaN
181.99,2.06e-19,NaN
182.36,2.14e-19,NaN
182.79,1.58e-19,NaN
183.29,1.28e-19,NaN
183.79,1.27e-19,NaN
184.27,1.22e-19,NaN
184.8,1.21e-19,NaN
185.21,1.12e-19,NaN
185.71,1.16e-19,NaN
186.08,1.7e-19,NaN
186.21,1.32e-19,NaN
186.62,8.5e-20,NaN
187.17,7.58e-20,NaN
187.56,1.51e-19,NaN
187.97,1.21e-19,NaN
188.45,1.08e-19,NaN
188.52,1.37e-19,NaN
188.93,1.28e-19,NaN
189.07,2.11e-19,NaN
189.15,2.92e-19,NaN
189.4,2.24e-19,NaN
189.69,1.35e-19,NaN
190.17,1.43e-19,NaN
190.67,1.3e-19,NaN
191.17,1.21e-19,NaN
191.56,1.75e-19,NaN
192.04,1.32e-19,NaN
192.57,1.48e-19,NaN
192.67,2.06e-19,NaN
192.89,1.98e-19,NaN
193.1,2.11e-19,NaN
193.34,3.33e-19,NaN
193.49,2.9e-19,NaN
193.76,2.01e-19,NaN
194.22,1.79e-19,NaN
194.72,1.91e-19,NaN
194.95,2.61e-19,NaN
195.0,3.34e-19,NaN
195.13,4.21e-19,NaN
195.21,3.76e-19,NaN
195.36,2.79e-19,NaN
195.7,1.98e-19,NaN
196.07,1.64e-19,NaN
196.22,2.7e-19,NaN
196.34,3.6e-19,NaN
196.53,2.8e-19,NaN
196.72,6.31e-19,NaN
196.74,4.13e-19,NaN
196.87,8.01e-19,NaN
196.98,6.46e-19,NaN
197.02,5.68e-19,NaN
197.11,4.62e-19,NaN
197.2,3.38e-19,NaN
197.31,2.51e-19,NaN
197.71,1.91e-19,NaN
198.12,1.27e-19,NaN
198.6,1.44e-19,NaN
199.13,1.22e-19,NaN
199.22,1.43e-19,NaN
199.61,1.89e-19,NaN
200.07,1.33e-19,NaN
200.57,1.24e-19,NaN
200.82,2.08e-19,NaN
201.12,1.61e-19,NaN
201.31,2.68e-19,NaN
201.43,3.85e-19,NaN
201.63,2.57e-19,NaN
201.85,1.64e-19,NaN
201.92,1.43e-19,NaN
202.4,1.59e-19,NaN
202.88,1.96e-19,NaN
203.07,3.24e-19,NaN
203.23,5.36e-19,NaN
203.37,4.19e-19,NaN
203.46,3.52e-19,NaN
203.73,2.58e-19,NaN
203.97,1.65e-19,NaN
204.36,1.44e-19,NaN
204.54,2.26e-19,NaN
204.63,4.07e-19,NaN
204.76,6.46e-19,NaN
204.92,4.28e-19,NaN
205.05,6.72e-19,NaN
205.12,9.43e-19,NaN
205.22,1.36e-18,NaN
205.41,9.85e-19,NaN
205.51,8.25e-19,NaN
205.56,6.29e-19,NaN
205.64,4.27e-19,NaN
205.83,2.6e-19,NaN
206.19,1.83e-19,NaN
206.58,1.24e-19,NaN
207.03,1.02e-19,NaN
207.4,1.6e-19,NaN
207.73,1.31e-19,NaN
207.88,1.64e-19,NaN
207.96,1.89e-19,NaN
208.27,1.63e-19,NaN
208.77,1.33e-19,NaN
209.25,1.7e-19,NaN
209.6,1.95e-19,NaN
209.8,1.74e-19,NaN
210.06,2.37e-19,NaN
210.27,3.19e-19,NaN
210.53,2.07e-19,NaN
210.81,1.16e-19,NaN
210.92,1.55e-19,NaN
211.34,2.01e-19,NaN
211.77,1.79e-19,NaN
211.94,3.38e-19,NaN
212.16,5.77e-19,NaN
212.4,3.58e-19,NaN
212.5,4.8e-19,NaN
212.63,2.89e-19,NaN
212.78,2.03e-19,NaN
213.14,1.27e-19,NaN
213.57,1.13e-19,NaN
213.78,2.39e-19,NaN
213.91,5.69e-19,NaN
