λ,σ,Δσ
185.0,6.0e-18,NaN
190.0,8.0e-18,NaN
195.0,8.7e-18,NaN
198.0,8.8e-18,NaN
200.0,8.5e-18,NaN
205.0,7.0e-18,NaN
210.0,5.3e-18,NaN
215.0,3.6e-18,NaN
220.0,2.0e-18,NaN
225.0,8.0e-19,NaN
230.0,3.0e-19,NaN
235.0,1.0e-19,NaN
238.0,5.3e-20,NaN
240.0,4.8e-20,NaN
241.0,4.7e-20,NaN
245.0,5.1e-20,NaN
250.0,6.4e-20,NaN
255.0,8.4e-20,NaN
260.0,1.1e-19,NaN
265.0,1.37e-19,NaN
270.0,1.6e-19,NaN
275.0,1.69e-19,NaN
276.0,1.7e-19,NaN
280.0,1.6e-19,NaN
285.0,1.45e-19,NaN
290.0,1.23e-19,NaN
295.0,1.0e-19,NaN
300.0,7.2e-20,NaN
305.0,4.5e-20,NaN
310.0,2.8e-20,NaN
315.0,1.8e-20,NaN
320.0,1.3e-20,NaN
325.0,1.0e-20,NaN
330.0,7.7e-21,NaN
335.0,6.0e-21,NaN
340.0,4.6e-21,NaN
345.0,3.6e-21,NaN
350.0,2.8e-21,NaN
355.0,2.2e-21,NaN
360.0,1.7e-21,NaN
365.0,1.3e-21,NaN
370.0,1.0e-21,NaN
