λ,σ
105.96,2.1e-17
106.27,2.16e-17
106.51,2.2e-17
106.89,2.22e-17
107.38,2.23e-17
108.04,2.21e-17
108.48,2.18e-17
108.94,2.16e-17
109.25,2.13e-17
109.34,2.16e-17
109.65,2.18e-17
109.98,2.13e-17
110.21,2.17e-17
110.7,2.12e-17
111.09,2.15e-17
111.25,2.12e-17
111.58,2.2e-17
111.9,2.15e-17
112.14,2.22e-17
112.35,2.28e-17
112.56,2.27e-17
112.68,2.3e-17
112.94,2.35e-17
113.11,2.31e-17
113.56,2.33e-17
113.7,2.28e-17
113.94,2.23e-17
114.21,2.26e-17
114.54,2.18e-17
115.2,2.15e-17
115.4,2.18e-17
115.82,2.08e-17
116.01,2.03e-17
116.24,2.06e-17
116.51,2.0e-17
116.86,1.92e-17
117.07,1.99e-17
117.13,2.06e-17
117.35,1.97e-17
117.73,1.91e-17
117.91,1.95e-17
118.12,2.01e-17
118.36,1.97e-17
118.57,2.05e-17
118.83,2.1e-17
119.07,2.08e-17
119.31,2.13e-17
119.6,2.17e-17
120.0,2.17e-17
120.17,2.23e-17
120.48,2.15e-17
120.72,2.11e-17
121.02,2.09e-17
121.1,2.04e-17
121.26,1.97e-17
121.56,1.91e-17
121.89,1.9e-17
122.05,1.86e-17
122.29,1.78e-17
122.65,1.74e-17
122.99,1.75e-17
123.52,1.7e-17
123.78,1.74e-17
124.24,1.75e-17
124.7,1.81e-17
125.05,1.88e-17
125.58,1.97e-17
125.91,2.06e-17
126.42,2.09e-17
126.75,2.15e-17
127.17,2.17e-17
127.56,2.23e-17
128.26,2.25e-17
128.48,2.28e-17
128.64,2.35e-17
129.38,2.39e-17
129.88,2.45e-17
130.7,2.39e-17
131.18,2.47e-17
131.4,2.42e-17
131.65,2.34e-17
131.92,2.4e-17
132.18,2.48e-17
132.5,2.37e-17
132.65,2.26e-17
133.01,2.19e-17
133.33,2.11e-17
133.75,2.02e-17
134.21,1.92e-17
134.64,1.82e-17
135.41,1.71e-17
135.88,1.63e-17
136.57,1.57e-17
137.33,1.52e-17
137.82,1.51e-17
138.42,1.53e-17
139.25,1.53e-17
139.72,1.57e-17
140.15,1.55e-17
140.78,1.6e-17
141.37,1.58e-17
141.78,1.59e-17
142.22,1.52e-17
142.82,1.5e-17
143.62,1.46e-17
144.43,1.41e-17
145.28,1.37e-17
146.02,1.34e-17
146.42,1.3e-17
146.86,1.28e-17
147.46,1.26e-17
148.06,1.22e-17
148.67,1.2e-17
149.58,1.16e-17
149.99,1.16e-17
150.53,1.09e-17
151.2,1.03e-17
151.45,9.56e-18
152.17,8.77e-18
152.59,8.15e-18
153.42,7.88e-18
153.85,7.53e-18
155.27,7.19e-18
156.07,6.66e-18
156.34,6.86e-18
157.02,6.38e-18
157.3,6.62e-18
157.85,6.14e-18
158.31,6.21e-18
158.87,5.66e-18
159.43,5.87e-18
159.9,5.32e-18
160.47,5.47e-18
160.94,4.38e-18
161.28,4.65e-18
162.05,3.66e-18
162.39,3.95e-18
163.08,4.19e-18
163.52,3.24e-18
164.32,3.89e-18
165.07,3.08e-18
165.84,3.39e-18
166.71,3.29e-18
168.22,3.6e-18
169.39,3.84e-18
170.25,4.27e-18
171.83,4.75e-18
172.99,5.23e-18
174.29,5.89e-18
175.72,6.53e-18
176.93,7.07e-18
177.58,7.6e-18
178.65,8.28e-18
179.67,8.93e-18
180.7,9.55e-18
181.32,1.02e-17
182.0,1.05e-17
182.81,1.13e-17
183.95,1.22e-17
185.29,1.31e-17
186.45,1.39e-17
187.63,1.46e-17
188.63,1.53e-17
189.7,1.6e-17
190.72,1.66e-17
191.67,1.69e-17
192.44,1.76e-17
193.48,1.79e-17
195.17,1.84e-17
196.38,1.87e-17
197.0,1.86e-17
197.97,1.86e-17
200.02,1.84e-17
201.59,1.8e-17
202.41,1.76e-17
203.32,1.72e-17
204.16,1.66e-17
204.85,1.61e-17
205.86,1.57e-17
206.48,1.52e-17
207.35,1.46e-17
208.46,1.4e-17
209.26,1.34e-17
209.98,1.28e-17
210.95,1.21e-17
211.86,1.18e-17
212.18,1.13e-17
213.27,1.08e-17
213.51,1.04e-17
214.44,9.87e-18
215.37,9.38e-18
216.23,8.75e-18
217.09,8.19e-18
218.48,7.51e-18
219.89,6.86e-18
221.06,6.36e-18
222.88,5.87e-18
224.54,5.4e-18
226.42,5.02e-18
229.89,4.84e-18
