λ,σ,Δσ
210.0,1.69e-18,NaN
212.0,1.5e-18,NaN
214.0,1.31e-18,NaN
216.0,1.12e-18,NaN
218.0,9.72e-19,NaN
220.0,8.37e-19,NaN
222.0,7.25e-19,NaN
224.0,6.29e-19,NaN
226.0,5.51e-19,NaN
228.0,4.8e-19,NaN
230.0,4.21e-19,NaN
232.0,3.69e-19,NaN
234.0,3.23e-19,NaN
236.0,2.83e-19,NaN
238.0,2.47e-19,NaN
240.0,2.16e-19,NaN
242.0,1.88e-19,NaN
244.0,1.65e-19,NaN
246.0,1.44e-19,NaN
248.0,1.27e-19,NaN
250.0,1.11e-19,NaN
252.0,9.79e-20,NaN
254.0,8.6e-20,NaN
256.0,7.6e-20,NaN
258.0,6.69e-20,NaN
260.0,5.88e-20,NaN
262.0,5.14e-20,NaN
264.0,4.48e-20,NaN
266.0,3.91e-20,NaN
268.0,3.39e-20,NaN
270.0,2.93e-20,NaN
272.0,2.53e-20,NaN
274.0,2.17e-20,NaN
276.0,1.86e-20,NaN
278.0,1.58e-20,NaN
280.0,1.34e-20,NaN
282.0,1.13e-20,NaN
284.0,9.42e-21,NaN
286.0,7.84e-21,NaN
288.0,6.53e-21,NaN
290.0,5.42e-21,NaN
292.0,4.47e-21,NaN
294.0,3.71e-21,NaN
296.0,3.1e-21,NaN
298.0,2.56e-21,NaN
300.0,2.13e-21,NaN
302.0,1.76e-21,NaN
304.0,1.47e-21,NaN
306.0,1.22e-21,NaN
308.0,1.02e-21,NaN
310.0,8.41e-22,NaN
312.0,7.04e-22,NaN
314.0,6.02e-22,NaN
316.0,4.91e-22,NaN
318.0,4.03e-22,NaN
320.0,3.41e-22,NaN
322.0,3.04e-22,NaN
324.0,2.4e-22,NaN
326.0,1.89e-22,NaN
328.0,1.6e-22,NaN
330.0,1.34e-22,NaN
332.0,1.12e-22,NaN
334.0,9.24e-23,NaN
336.0,6.68e-23,NaN
338.0,5.53e-23,NaN
340.0,4.0e-23,NaN
